['বিশ্বে', 'পাগলামি', 'উমর', 'ভুয়ো', 'অপরাধ', 'মণ্ডলের', 'পড়লে', 'ভাইকে', 'লঞ্চ', 'রানওয়ে']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'রাখিস', '৫ম', 'ব্যাপক', 'লাইব্রেরী', 'বেডের', 'হয়না', 'আম্মুকে', 'বৃহত্তম', 'হাসিনাকে']
['ফটক', 'সেটিও', 'আবহে', 'স্রেফ', 'সিসিটিভি', 'অনৈতিক', 'ব্রাত্য', 'কৃতজ্ঞতা', 'এটুকু', 'সদ্ব্যবহার']
['সবসময়ই', 'অদ্বিত', 'শ্লে', 'পঞ্চাশ', 'ফেন', 'দুঃসহ', 'কপূর', 'ভাবটা', 'রাতেও', 'সাদ']
['ফ্রান', 'ইয়াহিয়ার', 'উভয়', 'আপাতত', 'অবহেলা', 'সারি', 'ব্যাকরণ', 'মজিদ', 'তারের', 'রেস্তোরাঁ']
['গরিষ্ঠ', 'বরিষ্ঠ', 'বিশিষ্ঠ', 'সন্তষ্ট', 'শষ্য', 'ঘোরতর', 'ডেবিট', 'শীতলতর', 'গুণাঙ্ক', 'ক্ষুদ্রতর']
['খ্যাতি', 'মালয়েশিয়ার', 'ব্যাটালিয়নের', 'চাপে', 'মাইল', 'মেটে', 'তাকালেই', 'কিন', 'পাঠাবেন', 'ঝর্ণা']
['কানা', 'বাচ', 'লোকটিকে', 'সুস', 'অবস্থার', 'ওঃ', 'পিপল', 'বন্যা', 'আত্মহারা', 'ফেরাতে']
['গঞ্জনা', 'ডালনা', 'ডায়না', 'কলিনা', 'পলিনা', 'মালেনা', 'রাবনা', 'বেচাকেনা', 'জালনা', 'রঙ্গনা']
['গরল', 'লইল', 'সিকল', 'সুবিল', 'থ্রিল', 'কমাল', 'এলেল', 'পালাল', 'কনেল', 'শিখেছিল']
['গৌণ', 'বহণ', 'অতিক্রমণ', 'সারণ', 'কৃষ্ণণ', 'সংক্ষেপণ', 'গমণ', 'বিস্তারণ', 'নির্মণ', 'বারীণ']
['এইরকম', 'যেটার', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'শীঘ্র', 'সিসিটিভি', 'অসাধারন']
['আলুর', 'দড়ি', 'মুখ্যমন্ত্রী', 'শিখে', 'চিরস্থায়ী', 'পঞ্চ', 'সুড়ঙ্গ', 'বিড়াল', 'অক্ষরের', 'অক্ষ\u200cরের']
['পোহাতে', 'ঘরবাড়ি', 'সিডনি', 'জামান', 'অনুশীলন', 'গান্ধী', 'কম্বল', 'প্যাট', 'সান্নিধ্য', 'শুক্র']
['ঠুনকো', 'কীর্ণাহার', 'মেস্কিটো', 'মালুরিডি', 'কস্তুরী', 'সিন্যাপটিক', 'বিকিকিনি', 'বোস্তামি', 'গড়িমসি', 'ভাট্টাল']
['বহিঃসংযোগ', 'সেটি', 'সে\u200cটি', 'সংগ্রহ', 'মীন', 'আমাদিগকে', 'ব্যবহূত', 'দার্জিলিং', 'মানছে', 'চাচ্ছি']
['দুর্নাম', 'বয়াম', 'আইয়াম', 'মোকাম', 'সেলাম', 'ইথান', 'জাফরান', 'ইয়াহান', 'হিসাম', 'কিয়ান']
['দুর্ভাগ্য', 'সম্ভ্রম', 'স্বৈরাচার', 'ছেলেটি', 'গ্রহণ', 'দ্বারাই', 'দ্বী', 'দাদাভাই', 'হ্যা', 'দলও']
['১৯৯', 'দেশী', 'এডি', 'ফ্যান', 'কাপ', 'হাড়', 'তুললে', 'অনেকে', 'পাও', 'ক্ষমা']
['ধূর্ত', 'জোটের', 'দোষারোপ', 'সিদ্দিকী', 'ভুগে', 'গিলে', 'রেখেই', 'প্লেন', 'বন্দুকযুদ্ধে', 'ভেবে']
['সদ্ব্যবহার', 'স্রেফ', 'ফটক', 'ব্রাত্য', 'সেটিও', 'সিসিটিভি', 'হরণ', 'অবরুদ্ধ', 'অনৈতিক', 'কৃতজ্ঞতা']
['দোষী', 'পিরামিড', 'রাজকুমারী', '১৭৬', 'থলে', 'সারাজ', 'অভিজিৎ', 'দায়বদ্ধ', 'ঈমানের', 'ওয়াশিংটনে']
['ধনাত্মক', 'আক্রমনাত্মক', 'পরিত্যাক্ত', 'নিউট্রিয়াল', 'পুরুষাঙ্গ', 'আইনজ্ঞ', 'নস্কর', 'ফ্রেন্ডশিপ', 'ক্রিটিকাল', 'প্রাজ্ঞ']
['নতুন', 'ক্যাপিটাল', 'কেন্দ্রীয়', 'প্রতি', 'সঙ্গে', 'স\u200cঙ্গে', 'যেত', 'শাসকের', 'অবিশ্বাস', 'তাঁহারা']
['নশ্বর', 'দিল্লীশ্বর', 'দক্ষিণেশ্বর', 'জ্ঞানেশ্বর', 'বিশ্বেশ্বর', 'যোগেন্দ্র', 'অ্যাকর্ড', 'বটেশ্বর', 'অবর্তমান', 'কমলেশ্বর']
['নিরস', 'কেবলস', 'প্রতিভাস', 'মরিস', 'বলস', 'মনস', 'পালাস', 'মেলেস', 'দিয়াস', 'দেওয়াস']
['মিথ্যা', 'ছল', 'টাউন', 'বলিব', 'বর্ষ', 'তিনিও', 'শাসন', 'তৃণমূলের', 'বৃষ্টি', 'মারধর']
['তোর', 'থাকার', 'তোলে', 'আনতে', 'কফির', 'বস্তির', 'ঘাঁটি', 'মানুষটির', 'রোল', 'যাদের']
['মেসিকে', 'দেশবাসী', 'সংগত', 'সেনগুপ্ত', 'বিদায়', 'বাঙলা', 'তফাত', 'হিল', 'নীরব', 'ভক্ত']
['স্ট্রাইক', 'খাওয়াদাওয়া', 'l', 'ভরা', 'এতবড়', 'সালাত', 'বেষ্ট', 'যথাসাধ্য', 'কাপটা', 'হৃদয়কে']
['বীরত্ব', 'শূন্য', 'স্বাতন্ত্র', 'মামী', 'বউ', 'পী', 'ঝামেলার', 'লোকটা', 'আত্মত্যাগ', 'খেলাধুলা']
['ভুগতে', 'বিনোদ', 'গুড়', 'মূল্যবান', 'ঋদ্ধি', 'কোস্ট', 'ধোঁয়াশা', 'হটাৎ', 'চত্বরে', 'জঞ্জাল']
['এটুকু', 'স্রেফ', 'সেটিই', 'সিসিটিভি', 'যেটার', 'এটাতো', 'একটাও', 'দ্যুতি', 'বটেই', 'কোনোটাই']
['ধনী', 'রক্ষায়', 'সাজাপ্রাপ্ত', 'সিট', 'বলেছিলে', 'শুনেছিলাম', 'বৈধতা', 'অনুভূতিতে', 'একদিন', 'বাড়ল']
['এটাতো', 'সংগ্রহ', 'বৈকি', 'ডেস', 'রেই', 'রাণী', 'উৎকর্ষ', 'কুমিল্লা', 'চাচ্ছি', 'এসকল']
['এটাতো', 'যেটার', 'এটুকু', 'স্রেফ', 'এসেও', 'রেই', 'ডেস', 'সেটিই', 'সেটাকে', 'সিরাজগঞ্জ']
['নিরাপদ', 'ঝুঁকিপূর্ণ', 'পর্যবেক্ষণে', 'গোলাপি', 'বীর', 'প্রতিনিয়ত', 'শেষমেষ', 'এবছর', 'টাঙানো', 'বর্তমানে']
['অস্ত্রশস্ত্র', 'ঝিনুকের', 'টিক্কা', 'ড্রাম', 'এগুলোকে', 'উৎসুক', 'ছত্রভঙ্গ', 'ভুট', 'ফন্ট', 'সমরেশ']
['ব্যাপারটা', 'স্রেফ', 'অদ্বিত', 'সবসময়ই', 'সদ্ব্যবহার', 'কৃতজ্ঞতা', 'এটুকু', 'সুহাস', 'অনৈতিক', 'বটেই']
['অফিসারের', 'শিশুটির', 'হুদ', 'আলুর', 'মমতার', 'পাঁচবার', 'মার্কিন', 'পদার্থের', 'পুত্রের', 'পাইকারি']
['ভিজা', 'আস্তা', 'জানো', 'রমিজা', 'শাসা', 'চুকা', 'বাঙালা', 'বানানা', 'কুণ্ঠা', 'জামিলা']
['সুস', 'লোকটিকে', 'কানা', 'জানায়নি', 'লোড', 'চলছেই', 'কাদা', 'ঘন্টা', 'লোকটি', 'ব্যক্ত']
['এগুলি', 'কৃষ্ণনগর', 'কুমিল্লায়', 'সয়', 'যেটাকে', 'শ্যাল', 'কাপ্তাই', 'ভ্রমন', 'বেচারা', 'সেটি']
['আঁটসাঁট', 'মচমচে', 'কালীপ্রসন্ন', 'অনৈচ্ছিক', 'সর্বজনশ্রদ্ধেয়', 'মোহাইমিনুল', 'উপঢৌকন', 'অজাতশত্রু', 'উলুধ্বনি', 'সমস্যাসঙ্কুল']
['ভালো', 'ভা\u200cলো', 'পাবলিক', 'ডাক্তারদের', 'পরেছে', 'একদিন', 'প্রজন্ম', 'সিট', 'আছে', 'আ\u200cছে']
['এটুকুই', 'বেধ', 'অবাধ', 'অডি', 'ড্রিঙ্ক', 'একাত্ম', 'ক্ষোভের', 'পাড়', 'মানবে', 'গর্ব']
['স্ট্রাইক', 'খাওয়াদাওয়া', 'l', 'ভরা', 'এতবড়', 'সালাত', 'বেষ্ট', 'যথাসাধ্য', 'কাপটা', 'হৃদয়কে']
['পোর্ট', 'জানা', 'এলাকায়', 'সযত্নে', 'জন্মস্থান', 'জুতোর', 'আড়ত', 'চালাচ্ছেন', 'ডিফেন্স', 'বাড়ায়']
['খুড়তুতো', 'বিউরেন', 'থেইন', 'তওবা', 'অ্যারিয়ানা', 'ক্লাশ', 'মিরপুর', 'প্রসব', 'উদ্বাস্তু', 'হোসে']
['শিগগির', 'ভীরু', 'কাজটি', 'ফেইন', 'এহন', 'পেইজ', 'এটন', 'সময়টাতে', 'প্রত্ন', 'আমাকেই']
['পলাশ', 'নড়েচড়ে', 'ওসি', 'বাজেট', 'গোল', 'বুকিং', 'যথা', 'বরণ', 'প্রাণিসম্পদ', 'বেষ্ট']
['গোল', 'পলাশ', 'জরুরী', 'অনতি', 'প্রাণিসম্পদ', 'নড়েচড়ে', 'অনুমোদন', 'বান্দর', 'রুমা', 'বাজেট']
['জরুরী', 'গোল', 'অনুমোদন', 'পলাশ', 'বান্দর', 'অনতি', 'প্রাণিসম্পদ', 'রুমা', 'নড়েচড়ে', 'দমবন্ধ']
['ট্রেনটা', 'ঘটিয়েছে', 'সাপ', 'শহর', 'কনফারেন্স', 'গুহা', 'উপজেলার', 'শতাব্দীর', 'পাটি', 'বদলায়']
['হরতাল', 'পাউডার', 'স্যার', 'মানসম্মত', 'বান্ধবীদের', 'ধর্মভিত্তিক', 'ঘটিয়েছে', 'হিজ', 'গাও', 'খবরই']
['স্মারক', 'আজকে', 'জাদুঘরে', '১৩৪', 'প্রেরণ', 'দুটিতে', 'অনিয়ম', 'গির্জার', 'পদক', 'বাস্তবতায়']
['ফিল্ডিং', 'নত', 'জরুরী', 'দরখাস্ত', 'অনুকূল', 'রাসূল', 'অনুমোদন', 'বিব্রতকর', 'নুয়ে', 'স্বামীজী']
['জরুরী', 'অনুমোদন', 'নত', 'ফিল্ডিং', 'বান্দর', 'অনুকূল', 'মতলব', 'পারমিশন', 'মদদ', 'রুমা']
['নির্বিকার', 'অনতি', 'অজু', 'উদ্দিন', 'নির্বিঘ্নে', 'স্বস্তি', 'কীসের', 'স্পোর্টিং', 'হাসিখুশি', 'কর্নার']
['জরুরী', 'গোল', 'পলাশ', 'অনুমোদন', 'অনতি', 'বান্দর', 'প্রাণিসম্পদ', 'রুমা', 'নড়েচড়ে', 'বাজেট']
['পলাশ', 'নড়েচড়ে', 'গোল', 'বাজেট', 'ওসি', 'প্রাণিসম্পদ', 'অনতি', 'বুকিং', 'দমবন্ধ', 'বরণ']
['গোল', 'পলাশ', 'নড়েচড়ে', 'অনতি', 'প্রাণিসম্পদ', 'বাজেট', 'ওসি', 'দমবন্ধ', 'রুমা', 'বরণ']
['পলাশ', 'গোল', 'নড়েচড়ে', 'বাজেট', 'অনতি', 'প্রাণিসম্পদ', 'ওসি', 'দমবন্ধ', 'রুমা', 'বরণ']
['পলাশ', 'গোল', 'নড়েচড়ে', 'বাজেট', 'প্রাণিসম্পদ', 'অনতি', 'ওসি', 'দমবন্ধ', 'বরণ', 'বুকিং']
['নিকটতম', 'ইকবাল', 'জানানো', 'হাজির', 'কুইন্স', 'কুইন্\u200cস', 'দাত', 'প্রয়োজনে', 'মহারাজের', 'রাষ্ট্রদূত']
['পলাশ', 'গোল', 'নড়েচড়ে', 'বাজেট', 'অনতি', 'প্রাণিসম্পদ', 'ওসি', 'দমবন্ধ', 'বরণ', 'বুকিং']
['পলাশ', 'গোল', 'নড়েচড়ে', 'বাজেট', 'ওসি', 'প্রাণিসম্পদ', 'অনতি', 'দমবন্ধ', 'বুকিং', 'বরণ']
['হরতাল', 'পড়ালেখা', 'হাঁটতে', 'সংলাপ', 'বিসিবি', 'শিক্ষকতা', 'কমিশন', 'যাইতে', 'ভিজিট', 'ডানে']
['', '', '', '', '', '', '', '', '', '']
['দুলাভাই', 'ইনজেকশন', 'নারী', 'সাবান', 'হেমা', 'হাসি', 'মোজা', 'দ্রব্য', 'প্রণাম', 'মাওলানা']
['গোল', 'পলাশ', 'নড়েচড়ে', 'বাজেট', 'প্রাণিসম্পদ', 'অনতি', 'ওসি', 'দমবন্ধ', 'রুমা', 'বরণ']
['পলাশ', 'গোল', 'নড়েচড়ে', 'বাজেট', 'প্রাণিসম্পদ', 'অনতি', 'ওসি', 'দমবন্ধ', 'বরণ', 'বুকিং']
['জরুরী', 'গোল', 'পলাশ', 'অনুমোদন', 'প্রাণিসম্পদ', 'বান্দর', 'অনতি', 'নড়েচড়ে', 'বাজেট', 'রুমা']
['ট্রেইলার', 'ভঙ্গিতে', 'বানর', 'সুজ', 'পঞ্জ', 'লাফাতে', 'صلى', 'চাচাতো', 'উপজাত', 'জিডি']
['কাজটি', 'পিচ্চি', 'বানর', 'ফেইন', 'প্রত্ন', 'স্ট্যাম্প', 'পিং', 'এহন', 'বিলীন', '198']
['গোল', 'পলাশ', 'নড়েচড়ে', 'প্রাণিসম্পদ', 'বাজেট', 'অনতি', 'ওসি', 'দমবন্ধ', 'রুমা', 'বরণ']
['শেখা', 'বাহক', 'ভয়াবহ', 'প্রতিষ্ঠানটি', 'দুনিয়াতে', 'মিরপুরের', 'নীচে', 'অকুলার', 'বিমানের', 'সেবা']
['ট্রেইলার', 'এনসিও', 'বানর', 'থেইন', 'পাউরুটির', 'বিউরেন', 'ফোটে', 'শেখা', 'ছেলেবেলা', 'প্রামানিক']
['ড্রিংক', 'আজকে', 'পদক', 'ভাষ্যমতে', 'মিশরের', 'নিরস্ত্র', 'পরিচিত', 'ঘের', 'রিক', 'হাট']
['পলাশ', 'গোল', 'নড়েচড়ে', 'বাজেট', 'অনতি', 'প্রাণিসম্পদ', 'ওসি', 'দমবন্ধ', 'বরণ', 'রুমা']
['জরুরী', 'অনুমোদন', 'গোল', 'বান্দর', 'পলাশ', 'প্রাণিসম্পদ', 'রুমা', 'অনতি', 'নড়েচড়ে', 'বাজেট']
['গোল', 'জরুরী', 'পলাশ', 'অনুমোদন', 'প্রাণিসম্পদ', 'অনতি', 'বান্দর', 'নড়েচড়ে', 'রুমা', 'বাজেট']
['হ্যাট্রিক', 'কিউবার', 'হন্তদন্ত', 'ভাজ', 'ক্রেতারা', 'স্যান্ড', 'মমিন', 'আদা', 'য়ে', 'আল্লাহ']
['পলাশ', 'গোল', 'নড়েচড়ে', 'বাজেট', 'ওসি', 'প্রাণিসম্পদ', 'অনতি', 'দমবন্ধ', 'বুকিং', 'বরণ']
['পাউরুটির', 'সহযোদ্ধার', 'সিপিলার', 'ঘাটলার', 'অকুলার', 'অ্যাডলার', 'শেখা', 'বানর', 'অস্তিমান', 'ভেনেজুয়েলার']
['পিচ্চি', 'বানর', 'কাজটি', 'প্রত্ন', 'পিং', 'স্ট্যাম্প', 'জিডি', 'ভীরু', 'শিগগির', '198']
['জরুরী', 'নত', 'ফিল্ডিং', 'অনুমোদন', 'অনুকূল', 'বান্দর', 'পারমিশন', 'দরখাস্ত', 'জ্বি', 'রসুল']
['নত', 'জরুরী', 'ফিল্ডিং', 'অনুমোদন', 'অনুকূল', 'দরখাস্ত', 'কতটুকু', 'জ্বি', 'পারমিশন', 'বাস্তবতায়']
['গোল', 'পলাশ', 'নড়েচড়ে', 'বাজেট', 'অনতি', 'প্রাণিসম্পদ', 'ওসি', 'দমবন্ধ', 'রুমা', 'বরণ']
['জরুরি', 'জরু\u200cরি', 'সেক্রেটারী', 'স্বাস্থ্যকেন্দ্র', 'গিনি', 'বিব্রতকর', 'ফাতেমা', 'নুয়ে', 'ফিল্ডিং', 'নত']
['কুইন্স', 'কুইন্\u200cস', 'মিশরে', 'সংগ্রহে', 'অনিয়ম', 'রক্ষক', 'নিকটতম', 'সূচকে', 'মেলে', 'জানানো']
['বানর', 'পিচ্চি', 'স্ট্যাম্প', 'পিং', 'জরুরি', 'জরু\u200cরি', 'আফরোজা', 'সেক্রেটারী', 'মন্ট', 'কাজটি']
['শেখা', 'বিবিসিকে', 'ট্রাফিক', 'বানর', 'স্বাস্থ্যকেন্দ্র', 'আর্সেন', 'মদিনা', 'সেবা', 'অনুরোধে', 'জব্বার']
['অবগত', 'লিখেছে', 'দমনের', 'বেটার', 'মুহাম্মাদ', 'ইবনে', 'ব্যালেন্স', 'জ্বালিয়ে', 'গভীরতা', 'ভ্যাল']
['ফেইন', 'স্ট্যাম্প', 'সেক্রেটারী', 'পিং', 'জরুরি', 'জরু\u200cরি', 'পিচ্চি', 'বানর', 'মন্ট', 'কাজটি']
['জরুরী', 'অনুমোদন', 'গোল', 'বান্দর', 'রুমা', 'অনতি', 'প্রাণিসম্পদ', 'পলাশ', 'মদদ', 'নড়েচড়ে']
['গোল', 'পলাশ', 'অনতি', 'প্রাণিসম্পদ', 'জরুরী', 'নড়েচড়ে', 'বাজেট', 'রুমা', 'অনুমোদন', 'বান্দর']
['গোল', 'পলাশ', 'অনতি', 'নড়েচড়ে', 'প্রাণিসম্পদ', 'বাজেট', 'দমবন্ধ', 'রুমা', 'ওসি', 'জরুরী']
['গোল', 'পলাশ', 'নড়েচড়ে', 'অনতি', 'প্রাণিসম্পদ', 'বাজেট', 'জরুরী', 'দমবন্ধ', 'রুমা', 'ওসি']
['গোল', 'জরুরী', 'পলাশ', 'অনতি', 'অনুমোদন', 'প্রাণিসম্পদ', 'বান্দর', 'নড়েচড়ে', 'রুমা', 'বাজেট']
['পলাশ', 'গোল', 'নড়েচড়ে', 'বাজেট', 'প্রাণিসম্পদ', 'অনতি', 'ওসি', 'দমবন্ধ', 'বরণ', 'বুকিং']
['ইনজেকশন', 'দুলাভাই', 'নারী', 'হাসি', 'ছুঁয়ে', 'ফ্রেন্ড', 'হেমা', 'সাম্রাজ্যবাদ', 'মাহফিল', 'ত্বকের']
['পলাশ', 'গোল', 'নড়েচড়ে', 'বাজেট', 'ওসি', 'প্রাণিসম্পদ', 'অনতি', 'দমবন্ধ', 'বরণ', 'বুকিং']
['পলাশ', 'গোল', 'নড়েচড়ে', 'বাজেট', 'অনতি', 'প্রাণিসম্পদ', 'ওসি', 'দমবন্ধ', 'বরণ', 'বুকিং']
['দুলাভাই', 'স্টে', 'মাওলানা', 'সাম্রাজ্যবাদ', 'ফ্রেন্ড', 'পিকনিক', 'ইনজেকশন', 'স্বাধীনতা', 'দ্রব্য', 'স্কেল']
['গোল', 'পলাশ', 'প্রাণিসম্পদ', 'নড়েচড়ে', 'অনতি', 'জরুরী', 'বাজেট', 'অনুমোদন', 'ওসি', 'বান্দর']
['পলাশ', 'গোল', 'নড়েচড়ে', 'বাজেট', 'প্রাণিসম্পদ', 'অনতি', 'ওসি', 'দমবন্ধ', 'রুমা', 'বরণ']
['জরুরী', 'অনুমোদন', 'বান্দর', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'পলাশ', 'অনতি', 'মদদ', 'মতলব']
['গোল', 'পলাশ', 'নড়েচড়ে', 'প্রাণিসম্পদ', 'অনতি', 'বাজেট', 'ওসি', 'দমবন্ধ', 'রুমা', 'জরুরী']
['গোল', 'পলাশ', 'নড়েচড়ে', 'প্রাণিসম্পদ', 'বাজেট', 'অনতি', 'ওসি', 'দমবন্ধ', 'রুমা', 'বরণ']
['পলাশ', 'নড়েচড়ে', 'গোল', 'বাজেট', 'ওসি', 'প্রাণিসম্পদ', 'অনতি', 'বুকিং', 'দমবন্ধ', 'বরণ']
['ফেইন', 'এটন', 'বাইরন', 'এহন', 'বিউরেন', 'হেইল', 'শর্টস', 'খুশল', 'এডলার', 'অ্যানাস']
['দুঃখী', 'প্রজেক্ট', 'ফ্রেন্ড', 'বলিউড', 'সাম্রাজ্যবাদ', 'ভালোবাসা', 'স্বাধীনতা', 'ম্যালেরিয়া', 'মা', 'নববর্ষ']
['গোল', 'জরুরী', 'পলাশ', 'অনতি', 'প্রাণিসম্পদ', 'অনুমোদন', 'বান্দর', 'রুমা', 'নড়েচড়ে', 'দমবন্ধ']
['গোল', 'পলাশ', 'অনতি', 'নড়েচড়ে', 'প্রাণিসম্পদ', 'বাজেট', 'দমবন্ধ', 'রুমা', 'ওসি', 'জরুরী']
['জরুরী', 'নত', 'ফিল্ডিং', 'অনুমোদন', 'অনুকূল', 'বান্দর', 'পারমিশন', 'রসুল', 'মতলব', 'জ্বি']
['অকর্মক', 'সকর্মক', 'কুত্তক', 'নিপতিত', 'মূষিক', 'আজীবক', 'চাণক', 'আপতিত', 'সিদাক', 'বুদ্রুক']
['অক্ষম', 'পড়লে', 'বিশ্বে', 'রিলেশন', 'মণ্ডলের', '১৬টি', 'কাকিমার', 'পড়তে', 'শ্রোতাদের', 'তৃষা']
['সিঙ্গাপুরে', 'চীফ', 'রাষ্ট্রভাষা', 'কলস', 'নাড়ি', 'ফ্রান্স', 'ছুটল', 'শব্দগুলি', 'প্রতীকী', 'নন্দিনী']
['সাহায্যের', 'ভবিষ্যতের', 'সুমিতা', 'অভিষেকের', '৬৫', 'রাফায়েল', 'সাহ', 'ঋদ্ধি', 'চিরতরে', 'ভিয়েতনাম']
['ভাঙনের', 'রসুল', 'বিনয়ের', 'পানি', 'বহি', 'বিগ্রহ', 'বাঁধে', 'ইচ্ছের', 'ভোটে', 'ইঙ্গিতে']
['অনুরাগ', 'জাহির', 'খোঁজাখুঁজি', 'দাঁড়ায়', 'ফেলেন', 'রিমান্ড', 'প্রবীণ', 'খেলে', 'ভেবেছিলাম', 'পাচ্ছিল']
['অহিংস', 'কামনা', 'একাই', 'বিদ্যুৎকেন্দ্র', 'নেবেন', '34', '33', 'শুনতে', 'শুন\u200cতে', 'হবে']
['আলস্য', 'ব্যাণ্ড', 'হাত্তা', 'দায়িত্ববান', 'গ্জা', 'গোণ্ড', 'ক্রীড়াঙ্গন', 'সৌভাগ্যবান', 'তুণ্ড', 'চরিত্রাবলি']
['আসক্ত', 'ভ্রূ', 'দিচ্ছি', 'মৌল', 'ক্রিকেট', 'গা', 'হাদিসের', 'জন্ম', 'উঠবে', 'বনু']
['বোনের', 'ভাবেই', 'একদিকে', 'ষড়', 'এক্সাম', 'নিক', 'ঋত', 'আস্তিক', 'জে', 'বোঝাপড়া']
['ইতর', 'সম্বর', 'লর', 'রের', 'বিদর', 'সগর', 'মর্মর', 'বারোর', 'বিবর', 'সঙ্কর']
['ছোটখাট', 'মোহন', 'খা', 'অরুন', 'ইলিশের', 'মনুষ্য', 'সনাতন', 'কেদার', 'অপরাধীদের', 'ঘোষের']
['ব্যাটা', 'কাপ্তাই', 'বেচারা', 'যেটাকে', 'টাকাপয়সা', 'ব্যবহূত', 'কুমিল্লায়', 'নারায়ণগঞ্জ', 'হুঁ', 'এনাম']
['রান্নাঘরের', 'ভিতরের', 'দারুন', 'প্রতিক', 'আড়াইটার', 'চিত্তে', 'পুষিয়ে', 'ভরসা', 'অধীনস্থ', '১৯টি']
['কখনোই', 'মোক্ষম', 'বিচরণ', 'এইটুকু', 'গাঁথা', 'কজন', 'আরামদায়ক', 'ঘুরেফিরে', 'প্রতাপ', '১১০']
['পিস', 'বাধার', 'দিল্লীর', 'একতলা', 'সমাগম', 'ফোনটি', 'অন্যদিন', 'আচ্ছা', 'যাতায়াত', 'হট']
['উপকারিতা', 'হৃদিতা', 'নিকিতা', 'প্রতিবন্ধিতা', 'আলাপচারিতা', 'অবন্তিকা', 'নারিতা', 'আদ্রিতা', 'ইশিতা', 'কন্ডিশন']
['গাঁথা', 'আরোহণ', 'চিরকাল', 'এরকম', 'মোক্ষম', 'সাহস', 'সেইরকম', 'হাঁফ', 'সেসময়', 'কখনোই']
['ষোড়শ', 'ভেল', 'জায়ে', 'অবতীর্ণ', 'মেয়েটির', 'দমকা', 'ভোটের', 'শুভ্রর', 'ব্যবহারিক', 'ব্যবহা\u200cরিক']
['কুৎসিত', 'হাস্যকর', 'বাইর', 'সুশীল', 'চাইতেই', 'অপমান', 'বিদেশী', 'লব', 'ট্রাইব্যুনালে', 'উৎসব']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'রাখিস', '৫ম', 'ব্যাপক', 'লাইব্রেরী', 'বেডের', 'হয়না', 'আম্মুকে', 'বৃহত্তম', 'হাসিনাকে']
['শফিউল', 'সম', 'শীল', 'গতকালের', 'পরিবহনের', 'সময়টায়', 'কখনো', 'কখ\u200cনো', '১০৬', 'কাশ্মীরের']
['বাগেরহাট', 'ইলেকট্রিক', 'ভয়েস', 'কোয়ার', 'নিয়াজ', 'খ', 'পারভেজ', 'রশীদ', 'অর্থাৎ', 'ব্যক্তিদের']
['আইনস্টাইন', 'সারি', 'গোলাকার', 'ইয়াহিয়ার', 'মাঝেমাঝে', 'মাথাব্যথা', 'শ্রেণিতে', 'তারের', 'মোটরস', 'প্রতিদিনই']
['গরিষ্ঠ', 'বরিষ্ঠ', 'বিশিষ্ঠ', 'ঘোরতর', 'সন্তষ্ট', 'শষ্য', 'ডেবিট', 'শীতলতর', 'গুণাঙ্ক', 'ক্ষুদ্রতর']
['খ্যাতি', 'মালয়েশিয়ার', 'ব্যাটালিয়নের', 'চাপে', 'মধ্য', 'মধ\u200d্য', 'কিন', 'ঝর্ণা', 'মেটে', 'মাইল']
['স্থপতি', 'অনর্গল', 'রূপান্তরিত', 'বাতাসের', 'রচনার', 'মার্ট', 'হবার', 'হতাহতের', 'একাদশ', 'মিমির']
['গঞ্জনা', 'ডালনা', 'ডায়না', 'কলিনা', 'মালেনা', 'পলিনা', 'বেচাকেনা', 'রাবনা', 'জালনা', 'খরনা']
['গরল', 'লইল', 'সিকল', 'সুবিল', 'থ্রিল', 'কমাল', 'কনেল', 'এলেল', 'পালাল', 'শিখেছিল']
['গৌণ', 'বহণ', 'অতিক্রমণ', 'সারণ', 'কৃষ্ণণ', 'সংক্ষেপণ', 'গমণ', 'নির্মণ', 'বিস্তারণ', 'বারীণ']
['এইরকম', 'ক্যাসিনো', 'গাঁথা', 'অসাধারন', 'সমীহ', 'সেইরকম', 'চিরকাল', 'যেগুলো', 'যেগু\u200cলো', 'প্রতিদ্বন্দ্বিতা']
['পাঁচবার', 'অফিসারের', 'পুত্রের', 'শিশুটির', 'গৃহে', 'আলুর', 'পদার্থের', 'শরী', 'অনবরত', 'দড়ি']
['প্রতিদিনই', 'পেনসিল', 'মোটরস', 'ঘুমে', 'কিছুতে', 'চিকিৎসকরা', 'দিনগুলি', 'মোমবাতি', 'দ্বিতীয়', 'শাস্ত্রীয়']
['ঠুনকো', 'কীর্ণাহার', 'মালুরিডি', 'মেস্কিটো', 'কস্তুরী', 'সিন্যাপটিক', 'বিকিকিনি', 'গড়িমসি', 'বোস্তামি', 'ভাট্টাল']
['আক্রমন', 'ডেস', 'রেই', 'উৎকর্ষ', 'এতটুকু', 'য়ুর', 'কোথা', 'সংগ্রহ', 'এসকল', 'বাউল']
['দুর্নাম', 'বয়াম', 'মোকাম', 'আইয়াম', 'সেলাম', 'ইথান', 'জাফরান', 'ইয়াহান', 'হিসাম', 'কিয়ান']
