['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'পেয়েছেন', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো']
['খামিস', 'ডিসকোর্সেস', 'বিবেচন', 'আলবার্ট', 'জ্যাকোবিন', 'স্লাজ', 'মাচিস', 'অনারিস', 'অ্যাস্টেরিক্স', 'সুমেরীয়রা']
['', '', '', '', '', '', '', '', '', '']
['পোর্টাল', 'এখন', 'গেয়েছেন', 'শিকারি', 'ভৌমিক', 'ইউনিটে', 'মানসিকতার', 'হাসপাতালে', 'হাসপাতা\u200cলে', 'মর্গে']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'স্মৃতিকথা', 'পেগান', 'কর্ণাবতী', 'অরগান', 'উপযুগ', 'কেরামত', 'নামগান']
['পাঞ্জেরী', 'চান্দেরী', 'লিটারেরী', 'বালাকোট', 'মন্টেরী', 'খুরেরমুখ', 'জুবেরী', 'ইউরোপ', 'অস্তরকীয়', 'হাবেরী']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['দিওয়ানা', 'মানববন্ধনসহ', 'সাহিত্যধারার', 'তেরিয়ান', 'আহমদসহ', 'কলেজসহ', 'স্বেচ্ছাসেবকগণ', 'নিউক্লিওসাইড', 'শিক্ষকসহ', 'অ্যানালস']
['১৯০৫', '১৯৮৬', 'পৃষ্ঠায়', 'পশ্চিমা', 'মৌলবাদী', 'জমিদারের', 'ফাউ', 'অনুষদ', 'হাবীব', 'রহিত']
['প্রশ্বাস', 'কুরগান', 'পেগান', 'নাট্যঞ্জন', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'স্মৃতিকথা', 'পেগান', 'কর্ণাবতী', 'অরগান', 'কেরামত', 'উপযুগ', 'নামগান']
['প্রশ্বাস', 'এঙ্গেল', 'অরগান', 'আওলাদ', 'স্মৃতিকথা', 'ম্যারিয়াস', 'এমএক্স', 'ব্র্যাগ', 'কাজভিন', 'অয়ান্ড']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['বিবেচন', 'মাঝারিপাল্লার', 'প্রবাজ', 'ট্র্যাজিক', 'নাট্যাচার্য', 'ডগার্ট', 'ইনলেট', 'বকশিশ', 'স্ক্রিম', 'অনুশোচনা']
['প্রশ্বাস', 'স্মৃতিকথা', 'অরগান', 'এঙ্গেল', 'নাট্যঞ্জন', 'জনকন্ঠ', 'কর্ণাবতী', 'অংশুমান', 'কুরগান', 'এলহাম']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'অরগান', 'উপযুগ', 'কেরামত', 'নামগান']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'অরগান', 'উপযুগ', 'কেরামত', 'নামগান']
['প্রশ্বাস', 'নাট্যঞ্জন', 'স্মৃতিকথা', 'কুরগান', 'পেগান', 'কর্ণাবতী', 'অরগান', 'কেরামত', 'জনকন্ঠ', 'নামগান']
['প্রশ্বাস', 'কুরগান', 'পেগান', 'নাট্যঞ্জন', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['প্রশ্বাস', 'স্মৃতিকথা', 'নাট্যঞ্জন', 'অরগান', 'কুরগান', 'কর্ণাবতী', 'পেগান', 'জনকন্ঠ', 'এঙ্গেল', 'কেরামত']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['প্রশ্বাস', 'কুরগান', 'পেগান', 'নাট্যঞ্জন', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['প্রশ্বাস', 'নাট্যঞ্জন', 'স্মৃতিকথা', 'কুরগান', 'পেগান', 'কর্ণাবতী', 'অরগান', 'কেরামত', 'জনকন্ঠ', 'নামগান']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['মাঝারিপাল্লার', 'হুবার্ট', 'কন্সার্ট', 'বিবেচন', 'অ্যাপার্ট', 'পুরোহিত', 'সিরাপ', 'ঘরামী', 'নিনিত', 'রেকিট']
['কমান্ডারসহ', 'বাংলাদেশিসহ', 'মানববন্ধনসহ', 'অ্যাডেলা', 'গেস্টরুমে', 'তেরিয়ান', 'আহমদসহ', 'স্কুলটিতে', 'ফ্রিডম', 'ফ্রিম্যান']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'পেগান', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['প্রশ্বাস', 'কুরগান', 'পেগান', 'নাট্যঞ্জন', 'স্মৃতিকথা', 'কর্ণাবতী', 'উপযুগ', 'অরগান', 'কেরামত', 'উত্তরভাগ']
['প্রশ্বাস', 'নাট্যঞ্জন', 'কুরগান', 'স্মৃতিকথা', 'পেগান', 'কর্ণাবতী', 'অরগান', 'কেরামত', 'উপযুগ', 'নামগান']
['প্রশ্বাস', 'নাট্যঞ্জন', 'স্মৃতিকথা', 'কুরগান', 'পেগান', 'কর্ণাবতী', 'অরগান', 'জনকন্ঠ', 'কেরামত', 'নামগান']
['প্রশ্বাস', 'নাট্যঞ্জন', 'কুরগান', 'স্মৃতিকথা', 'পেগান', 'কর্ণাবতী', 'অরগান', 'কেরামত', 'জনকন্ঠ', 'নামগান']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'স্মৃতিকথা', 'পেগান', 'কর্ণাবতী', 'অরগান', 'কেরামত', 'উপযুগ', 'নামগান']
['মুহাম্মদ', 'বরং', 'ধর্ম', 'দিতে', 'দি\u200cতে', 'দিতেও', 'প্রত্যাশার', 'ফুচকা', 'কাজে', 'আহ']
['প্রশ্বাস', 'কুরগান', 'নাট্যঞ্জন', 'স্মৃতিকথা', 'পেগান', 'কর্ণাবতী', 'অরগান', 'উপযুগ', 'কেরামত', 'নামগান']
['১৯০৫', '১৯৮৬', 'হাবীব', 'হাবিল', 'و', 'ফাউ', 'মৌলবাদী', 'জমিদারের', 'যুদ্ধাপরাধী', 'গাল']
['অতীত', 'লজ্জার', 'লিখব', 'ভয়ে', 'পঠিত', 'ভাববে', 'জেল', 'মঞ্চ', 'বুঝলাম', 'নির্লজ্জ']
['ফুর', 'দূর্বল', 'শঙ্কর', 'তালিম', 'মজিব', 'লক্ষ্মণ', 'রাত্রি', 'সোনার', 'কল্প', 'অপ']
['বৃন্দ', 'পোকার', 'মধ্যাহ্ন', 'বিপত্তি', 'উত্তেজনার', 'উদ্বোধনী', 'ক্ষণিকের', 'বিস্ময়ের', 'অলোক', 'বোট']
['বিদায়ের', 'আলোকপাত', 'অর্ণবের', 'কলা', 'যান', 'কাকের', 'রৌনক', 'লোকসভা', 'ক্ষ', 'মান্য']
['আজ', 'অনুপস্থিতিতে', 'ভালই', 'দফতরে', 'মেয়াদি', 'এতই', 'দিনটা', 'করল', 'বিল্ডিং', 'মাজার']
['আদি', 'আর', 'দেখে', 'দেখিয়া', 'পাবেন', 'পড়ছে', 'পদক্ষেপে', 'সদস্য', 'সদস\u200d্য', 'চাইলেও']
['ভক্তরা', 'আরাম', 'জায়গা', 'মনটাকে', 'ম্যাচেই', 'চিনি', 'নভেম্বর', 'সুন্দর', 'ডে', 'এখানেও']
['আরোহন', 'এরান', 'নাহিন', 'থেরন', 'এক্সন', 'খিলান', 'ফিনিন', 'ইলেক্ট্রন', 'মার্ন', 'ব্রায়ন']
['টালি', 'বিষয়টিকে', 'বাহুল্য', 'চত্বর', 'ব্রিটিশরা', 'শহীদদের', 'সৃষ্টি', 'সৃ\u200cষ্টি', 'স্থলে', 'মিনিস্টার']
['আশীর্বাদ', 'চুলগুলো', 'উনিও', 'জবাব', 'অসময়ে', 'কারনেই', 'বুঝলেন', 'দ্বিপক্ষীয়', 'পেস্ট', 'সো']
['দেখার', 'বর্ণনার', 'শ্রেয়', 'পূরণ', 'সরকারকে', 'রঞ্জিত', 'পো', 'গ্রাহকদের', 'কদর', 'ফজলে']
['ইহকাল', 'সংক্ষিপ্তকাল', 'মেয়াদকাল', 'সূচনাকাল', 'স্থাপনকাল', 'সমাপ্তিকাল', 'প্রজননকাল', 'বিরতিকাল', 'প্যাসকাল', 'শিক্ষাকাল']
['উস', 'দক্ষিন', 'সিদ্ধান্তে', 'বাহিনীর', 'সম্পূর্ণ', 'আন্দাজ', 'আকাশটা', 'প্রকৃতিতে', 'ইঞ্চি', 'অনেকদিন']
['', '', '', '', '', '', '', '', '', '']
['উত্থান', 'অস্বাভাবিক', 'থেমে', 'ওয়ার্ন', 'ভেদা', 'করিবে', 'ক্ষমতার', 'প্রকাশ্য', 'চান্দ', 'নর']
['দী', 'সায়ন', 'শ্রমিকদের', 'স্পর্শে', 'মারামারি', 'আবেগের', 'ডাটা', 'ইন্দ্রনীল', 'পার্থক্য', 'চিৎকার']
['অতিবৃষ্টি', 'শিলাবৃষ্টি', 'বজ্রবৃষ্টি', 'ঝড়বৃষ্টি', 'রহস্যপত্রিকা', 'কুশবৃক্ষ', 'ব্যবসাবাণিজ্য', 'তুষারঝড়', 'জয়জয়ন্তী', 'কাব্যরচনা']
['জোয়ারে', 'ছাত্রীদের', 'ফ্রেশ', 'গভীরতা', 'ব্যালেন্স', 'উজান', 'অর্থনৈতিকভাবে', 'প্রশান্তি', 'বুঝা', 'জঙ্গিবাদ']
['উৎরাই', 'সেন্টরাই', 'ক্যাডাররাই', 'শ্রোতারাই', 'খিরাই', 'শরণার্থীরাই', 'ধামরাই', 'রামরাই', 'উতরাই', 'অভিজ্ঞরাই']
['উত্তীর্ণ', 'লইয়া', 'বাইরের', 'ছেলেদের', 'এনে', 'শিল্পে', 'চালাতে', 'তম', 'মিডিয়া', 'নিজের']
['', '', '', '', '', '', '', '', '', '']
['ঊষা', 'চষা', 'অন্বেষা', 'গ্লাসগো', 'গর্জিয়া', 'ওটাগো', 'ইগো', 'কার্গো', 'বোগা', 'ভূপেশ']
['একাল', 'নির্জল', 'আলাল', 'ঝরল', 'শল', 'শূল', 'জৈল', 'ক্যাটল', 'এমএল', 'বাকল']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'গেয়েছেন', 'শিকারি', 'পোশাকে', 'মর্গে', 'ইউনিটে', 'মানসিকতার', 'ভৌমিক', 'পোর্টাল', 'এমনিতেই']
['গুজব', 'প্রধানমন্ত্রীর', 'কপালে', 'বুদ্ধি', 'হল', 'রাজী', '১৯৩২', 'ভাবনা', 'বেদের', 'কাও']
['কুমেরু', 'সুমেরু', 'নেহেরু', 'শিগেরু', 'দ্বিমেরু', 'জলদস্যুতা', 'মন্টেরী', 'তিমারু', 'জুবেরী', 'কাশ্মিরী']
['দী', 'সায়ন', 'শ্রমিকদের', 'স্পর্শে', 'মারামারি', 'আবেগের', 'ডাটা', 'ইন্দ্রনীল', 'পার্থক্য', 'চিৎকার']
['কৃষ্ণাঙ্গ', 'নাচতে', 'উদার', 'বৃহত্তর', 'ছেলেও', 'যোগ্যতার', 'জন্মভূমি', 'অপরাজিত', 'যাব', 'নেতৃবৃন্দ']
['ঘৃণা', 'হিন্দুত্ব', 'খুঁজছি', 'চাইলো', 'উপন্যাসে', 'অসুখে', 'খেলেও', 'শুনবে', 'বর্ষসেরা', 'খেললে']
['কাদের', 'সতীর্থ', 'বিকার', 'জিও', 'টানছে', 'বন্ধুকে', 'ঢুকল', 'মুহূর্তে', 'জির', 'সাধনার']
['উপর', 'আকাশে', 'শতাব্দী', 'জিলা', 'নিপ', 'ইন্দ্রিয়', 'বাজ', 'ত্রি', 'কাছ', 'শ্রুতি']
['গ্রহণ', 'সাইট', 'দাদাভাই', '৯', 'দ্বারাই', 'সম্ভ্রম', 'ডাল', 'ইমাম', 'ওবামা', 'ছেলেটি']
['অব্যক্ত', 'লীগে', 'বিচারের', 'নিরু', 'দুঃখের', 'সেন্স', 'শীতের', 'গৌরী', 'দুটোই', '১১১']
['চলিত', 'দুত', 'উদ্দীষ্ট', 'প্রধানতম', 'তালিশ', 'বাহ্যত', 'জরিত', 'বেড়াত', 'মুনিম', 'জিনিশ']
['জন্ম', 'ক্রিকেট', 'চেষ্টা', 'টাও', 'আসক্ত', 'নাটোরের', 'হাদিসের', 'ভ্রূ', 'খেতেই', '17']
['হেল্পলাইন', 'হরি', 'ডেভেলপমেন্ট', 'গ্রামবাসীর', 'মুন্না', 'দুধ', 'ওপেনার', 'অনুপ্রবেশ', 'ভিডিও', 'ভি\u200cডিও']
['গহীন', 'ঠিকাছে', 'সিদ্ধান্তে', 'লালন', 'ছেদ', 'আকাশটা', 'মৌখিক', 'গ্যাস', 'যেদিকে', 'নেহা']
['দী', 'সায়ন', 'শ্রমিকদের', 'স্পর্শে', 'মারামারি', 'আবেগের', 'ডাটা', 'ইন্দ্রনীল', 'পার্থক্য', 'চিৎকার']
['রসিকতা', 'ম্যাচ', 'উদীয়মান', 'রিনি', 'ইবাদত', '১১১', 'সেন্স', 'পরেশ', 'সজল', 'বক্ষে']
['ছাড়াতে', 'সচিন', 'ঝগড়ার', 'চলল', 'অ্যাডভেঞ্চার', 'অধিনায়কত্ব', 'দৌড়ে', 'খেসার', 'গঠনমূলক', 'সৈনিকের']
['লেট', 'অন্ধকার', 'পেমেন্ট', 'ব্রিফ', 'অন্ধকারের', 'তুষ্ট', 'নাহ', 'গর্জে', 'মার্জ', 'দীপ']
['সতীর্থ', 'রিড', 'তাৎক্ষণিক', 'ঢুকল', 'পরিকল্পনার', 'শীতকালীন', 'কাদের', 'পাতলা', 'গতিবিধি', 'বন্ধুকে']
['দিবস', 'অনেকে', 'আহলে', 'উদ্দীন', 'উদ্\u200cদীন', 'ভাট', 'প্রতিকার', 'দরজা', 'আয়োজনে', 'ইশা']
['দী', 'সায়ন', 'শ্রমিকদের', 'স্পর্শে', 'মারামারি', 'আবেগের', 'ডাটা', 'ইন্দ্রনীল', 'পার্থক্য', 'চিৎকার']
['সাধনার', 'কাদের', 'জিও', 'পাঠা', 'আবহাওয়া', 'তরুণের', 'সতীর্থ', 'টানছে', 'শত্রুকে', 'যান']
['সুরু', 'থাকতেন', 'মাইলের', 'চিব', 'খুলি', 'গুরু', 'আয়োজনের', 'হলুদের', 'পন্থা', 'যাত্রীদের']
['ঈদ', 'পাঠালে', 'মিতালী', 'গাবতলী', 'খবরও', 'সীমান্ত', 'সিঁদুর', 'জাহাঙ্গীর', 'জনকে', 'জন\u200cকে']
['দী', 'সায়ন', 'শ্রমিকদের', 'স্পর্শে', 'মারামারি', 'আবেগের', 'ডাটা', 'ইন্দ্রনীল', 'পার্থক্য', 'চিৎকার']
['হয়', 'হয়েছে', 'নিয়ে', 'হয়ে', 'সময়', 'যায়', 'দিয়ে', 'দেওয়া', 'জাতীয়', 'নয়']
['প্রসারণ', 'সঞ্চারণ', 'পূণ', 'মহারণ', 'গ্রীণ', 'প্রয়াণ', 'বিভীষণ', 'নিরূপণ', 'কার্যকারণ', 'সঞ্চালণ']
['বক্তা', 'ব্যানার্জি', 'দাদার', 'পাটি', 'মেরে', 'গুহা', 'তৃপ্ত', 'পাইবে', 'করাতে', 'স্তুতি']
['গফুর', 'চাইল', 'খোশ', 'নিরু', 'আবহাওয়ার', 'দুঃখের', 'যাইহোক', 'অনির্দিষ্ট', 'শশাঙ্ক', 'জীবনকে']
['দিগন্তে', 'সমান্তর', 'কাঁপা', 'শিল্পীরা', 'বরুণ', 'প্রযুক্তির', 'কাদের', 'মাঘ', 'আলু', 'ছিন্ন']
['বিজিবির', 'ফোকাস', 'বিরুদ্ধ', 'বিসর্জন', 'উদ্দীপনা', 'সংস্কৃতিকে', 'স্বজনদের', 'রাফি', 'আপনারা', 'لا']
['সাহায্যে', 'প্রেশার', 'ধারায়', 'দূরে', 'হোস্টেলে', 'লায়', 'খেলেই', 'টিকে', 'অর্নব', 'জীবনযাত্রার']
['কর্মীদের', 'সামনাসামনি', 'চন্দ', 'মোড়ে', 'বুঝা', 'ঠান্ডা', 'তাছাড়া', 'রুন', 'নবীর', 'অন']
['টালি', 'বিষয়টিকে', 'বাহুল্য', 'চত্বর', 'ব্রিটিশরা', 'শহীদদের', 'সৃষ্টি', 'সৃ\u200cষ্টি', 'স্থলে', 'মিনিস্টার']
['অনেক', 'অ\u200cনেক', 'দিয়েছেন', '৩৯', 'দিচ্ছেন', 'কাটিয়েছি', 'পারলে', 'বেচে', 'বাড়তে', 'করলো']
['পাঠাই', 'যোজন', 'বিশ্বব্যাংকের', 'অর্জুনের', 'মাগুর', 'ভো', 'সন্ধ্যা', 'দেবেন্দ্র', 'নিয়মে', 'পেজের']
['তরুণ', 'আসুক', 'অধঃ', 'নির্বিশেষে', 'অধরা', 'তিনজন', 'অনিতা', 'এগোচ্ছে', 'ওয়াইফ', 'চিল']
['অতীত', 'লজ্জার', 'লিখব', 'ভয়ে', 'পঠিত', 'ভাববে', 'জেল', 'মঞ্চ', 'বুঝলাম', '08']
['অলীক', 'মাতাল', 'শর্মা', 'লিঙ্গ', 'কড়ি', 'জাতের', 'আটলান্টিক', 'মনোজ', 'পেত', 'অক্ষরে']
['আকর্ষণ', 'শ্রীকান্ত', 'মুঘল', 'ধু', 'কালু', 'কেল্লা', 'স্বায়ত্ত', 'এভার', 'রিগ', 'ভিস']
['আগমন', 'দুম', 'উপদ্রব', 'টুক', 'জিনিষ', '২৫', 'বিকাশের', 'মালদহ', 'বিষয়টা', 'মুরু']
['আজ', 'অনুপস্থিতিতে', 'ভালই', 'দফতরে', 'এতই', 'মেয়াদি', 'দিনটা', 'করল', 'বিল্ডিং', 'মাজার']
['আদি', 'আর', 'দেখে', 'দেখিয়া', 'পাবেন', 'পড়ছে', 'পদক্ষেপে', 'সদস্য', 'সদস\u200d্য', 'চাইলেও']
['আবশ্যক', 'বেলা', 'গোলাপ', 'উত্তরবঙ্গ', 'পাগলা', 'কালি', 'সমার্থক', 'সম্মুখ', 'তপ', 'মং']
['আরোহন', 'এরান', 'নাহিন', 'থেরন', 'এক্সন', 'ইলেক্ট্রন', 'খিলান', 'ফিনিন', 'মার্ন', 'ব্রায়ন']
['আলো', 'সন্ধ্যা', 'ঋষভ', 'কিছুকে', 'প্যারিসের', 'তোমায়', 'রিয়াজ', 'অন্তু', 'আহবান', 'লই']
['আশীর্বাদ', 'সো', 'দ্বিপক্ষীয়', 'চুলগুলো', 'উনিও', 'বিতর্কের', 'আমলে', 'পেলো', 'আলতো', 'দেখবেন']
['ইচ্ছুক', 'বিপর্যয়', 'রাহুল', 'আয়াতের', 'চিন', '৯৯', 'আক্ষরিক', 'দিচ্ছ', 'আতা', 'গুলোকে']
['ইহকাল', 'সংক্ষিপ্তকাল', 'মেয়াদকাল', 'সূচনাকাল', 'স্থাপনকাল', 'সমাপ্তিকাল', 'প্রজননকাল', 'বিরতিকাল', 'প্যাসকাল', 'শিক্ষাকাল']
['উত্তর', '☆', 'ছক', 'বসেই', 'টন', 'অর্থবছরে', 'তুলিতে', 'সৃষ্টির', 'তন্ত্র', 'দীর্ঘদিনের']
['', '', '', '', '', '', '', '', '', '']
['উত্থান', 'অস্বাভাবিক', 'থেমে', 'ভেদা', 'চান্দ', 'করিবে', 'ওয়ার্ন', 'নর', 'মাইরা', 'তুলনা']
['হয়', 'হয়েছে', 'নিয়ে', 'হয়ে', 'সময়', 'যায়', 'দিয়ে', 'দেওয়া', 'জাতীয়', 'নয়']
['অতিবৃষ্টি', 'শিলাবৃষ্টি', 'বজ্রবৃষ্টি', 'ঝড়বৃষ্টি', 'রহস্যপত্রিকা', 'কুশবৃক্ষ', 'তুষারঝড়', 'ব্যবসাবাণিজ্য', 'জয়জয়ন্তী', 'কাব্যরচনা']
['উজান', 'তাছাড়া', 'মোড়ে', 'লাথি', 'জোয়ারে', 'ঝা', 'সামনাসামনি', 'সাধনের', 'জঙ্গিবাদ', 'অর্থনৈতিকভাবে']
['উৎরাই', 'সেন্টরাই', 'ক্যাডাররাই', 'শ্রোতারাই', 'খিরাই', 'শরণার্থীরাই', 'রামরাই', 'ধামরাই', 'উতরাই', 'অভিজ্ঞরাই']
['উত্তীর্ণ', 'লইয়া', 'বাইরের', 'ছেলেদের', 'এনে', 'শিল্পে', 'চালাতে', 'তম', 'মিডিয়া', 'নিজের']
['', '', '', '', '', '', '', '', '', '']
['ঊষা', 'চষা', 'অন্বেষা', 'গ্লাসগো', 'গর্জিয়া', 'ওটাগো', 'ইগো', 'কার্গো', 'বোগা', 'ভূপেশ']
['একাল', 'নির্জল', 'আলাল', 'ঝরল', 'শল', 'শূল', 'জৈল', 'ক্যাটল', 'এমএল', 'বাকল']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'গেয়েছেন', 'শিকারি', 'পোশাকে', 'মর্গে', 'ইউনিটে', 'মানসিকতার', 'ভৌমিক', 'পোর্টাল', 'এমনিতেই']
['কল্পনা', 'পরিকল্পনা', 'বুখারী', 'সীমানা', 'ঢুকলে', 'কমিউনিস্ট', 'ভিসার', 'দুর্গা', 'অর্থ', 'ফিরবেন']
['কুমেরু', 'সুমেরু', 'নেহেরু', 'শিগেরু', 'দ্বিমেরু', 'জলদস্যুতা', 'মন্টেরী', 'তিমারু', 'জুবেরী', 'কাশ্মিরী']
['হয়', 'হয়েছে', 'নিয়ে', 'হয়ে', 'সময়', 'যায়', 'দিয়ে', 'দেওয়া', 'জাতীয়', 'নয়']
['কৃষ্ণাঙ্গ', 'নাচতে', 'ছেলেও', 'উদার', 'জন্মভূমি', 'বৃহত্তর', 'যোগ্যতার', 'অপরাজিত', 'যাব', 'অভিষেক']
['ঘৃণা', 'হিন্দুত্ব', 'খুঁজছি', 'চাইলো', 'উপন্যাসে', 'অসুখে', 'খেলেও', 'শুনবে', 'বর্ষসেরা', 'খেললে']
['গোপন', 'চিরন্তন', 'দিবা', 'পরম', 'পাঠাবে', 'আরম্ভ', 'ফিনি', 'সবজি', 'সূরা', 'বেবি']
['গুপ্ত', 'জয়েন্ট', 'সমেত', 'হৃদ', 'ব্যাটারির', 'বাদুড়', 'বার্তায়', 'জানবেন', 'বাক্যের', 'উঠ']
['গ্রহণ', 'সাইট', '৯', 'দাদাভাই', 'দ্বারাই', 'সম্ভ্রম', 'ওবামা', 'ইমাম', 'স্বৈরাচার', 'ডিউ']
['গ্রাম্য', 'দিশেহারা', 'প্রারম্ভ', 'লেখন', 'আলোকপাত', 'উঠুন', 'প্রাক্\u200c', 'প্রাক্', 'পাক', 'প্রতিজ্ঞ']
['চলিত', 'দুত', 'উদ্দীষ্ট', 'প্রধানতম', 'তালিশ', 'বাহ্যত', 'জরিত', 'মুনিম', 'মাসিহ', 'বেড়াত']
['জন্ম', 'ক্রিকেট', 'চেষ্টা', 'তুলসী', 'হাদিসের', 'আসক্ত', 'বসেছিল', 'মৌল', 'নাটোরের', 'টাও']
['জরিমানা', 'বিশ্বকাপ', 'প্রকৃতি', 'বাবলু', 'হেফাজতের', 'ছিট', 'কথাটা', 'মশিউর', 'জামিন', 'টাইটেল']
['জলে', '70', 'ধর্মকে', 'দেশবাসীকে', 'সংস্কৃতির', 'মহাকর্ষ', 'গঙ্গ', 'সাধ', 'জিয়ার', '১২১']
['হয়', 'হয়েছে', 'নিয়ে', 'হয়ে', 'সময়', 'যায়', 'দিয়ে', 'দেওয়া', 'জাতীয়', 'নয়']
['দুর্লভ', 'শৃঙ্খল', 'প্রস্তাবটি', 'নাটকে', 'নিয়ো', 'বিদায়ের', 'কৃষ্ণা', 'বাবু', 'লয়ে', 'ওজন']
['তিরস্কার', 'গীতিকার', 'বুম', 'তাকাল', 'বজ্রপাত', 'রিনি', 'চললো', 'প্রীতির', 'মিয়ানমারের', 'সম্পর্ককে']
['তুষ্ট', 'প্রকাশনা', 'পেমেন্ট', 'হারাতে', 'বোকা', 'আজেবাজে', 'কনফার্ম', 'স্বামীকে', 'ক্রোম', 'অধিনায়ক']
['দিবা', 'চিরন্তন', 'পরম', 'আরম্ভ', 'গোপন', 'শ্রমিকরা', 'পাঠাবে', 'পূর্ণিমার', 'দর্শনের', 'উল্টে']
['দিবস', 'ভাট', 'আহলে', 'শিয়াল', 'উদ্দীন', 'উদ্\u200cদীন', 'প্রতিকার', 'সাইটটি', 'রামপাল', 'দরজা']
['হয়', 'হয়েছে', 'নিয়ে', 'হয়ে', 'সময়', 'যায়', 'দিয়ে', 'দেওয়া', 'জাতীয়', 'নয়']
['দূর', 'আধ', 'নাটকের', 'বগ', 'পরিত্যাগ', 'নাড়া', 'ওমনি', 'পাঠান', 'অবস্থার', 'পাঠাবে']
['দেনা', 'কান', 'মনোনীত', 'অ্যাডমিন', 'সুরু', 'আঁক', 'পাড়ায়', 'নামাজে', 'কোর', 'ভারে']
['নিঃশ্বাস', 'অন্যকিছু', '৮৮', 'বারণ', 'ভ্রমণ', 'বিস্মিত', 'ট', 'চতুর্দিকে', 'বরে', 'কানে']
['নির্দিষ্ট', 'নি\u200cর্দিষ্ট', 'অ্যা', 'পূর্ববর্তী', 'কোণায়', 'জ্যো', '৪৫', 'তারকা', 'জোড়া', 'বছরও']
['পূর্ণিমা', 'অক্সিজেনের', 'তাপমাত্রা', 'ট্রেড', 'স্থাপত্য', 'গ্রীক', 'ঝর', 'শোনান', 'কানে', 'বীরশ্রেষ্ঠ']
['প্রসারণ', 'সঞ্চারণ', 'পূণ', 'মহারণ', 'গ্রীণ', 'প্রয়াণ', 'বিভীষণ', 'নিরূপণ', 'কার্যকারণ', 'সঞ্চালণ']
['বক্তা', 'ব্যানার্জি', 'দাদার', 'পাটি', 'মেরে', 'গুহা', 'তৃপ্ত', 'পাইবে', 'করাতে', 'স্তুতি']
['প্রারম্ভ', 'আলোকপাত', 'পাক', 'ক্ষ', 'গ্রাম্য', 'উমা', 'প্রাক্\u200c', 'প্রাক্', 'দৈ', 'করুণ']
