['চাচা', '২০১২', 'তৃতীয়', 'পরিত্রাণ', 'মৃত্যুদন্ড', 'সালে', 'সা\u200cলে', '\u200eসালে', 'বাংলাদেশেও', 'বংশধর']
['খুকি', 'কাকি', 'জোড়ি', 'হালি', 'চিরি', 'টানি', 'বাঁকি', 'শালি', 'তকি', 'ছিপি']
['নিনিত', 'রক্তবাহ', 'কনসালটিং', 'চিত্রলের', 'স্মৃতিচারণামূলক', 'খোদিত', 'কন্সার্ট', 'কাপলের', 'ব্যাপিত', 'ডানায়িনি']
['খুকি', 'কাকি', 'জোড়ি', 'হালি', 'চিরি', 'টানি', 'বাঁকি', 'শালি', 'ছিপি', 'তকি']
['খুকি', 'অনাদি', 'তকি', 'মন্দি', 'রুমালি', 'মেনি', 'দিঘি', 'তিব্বতি', 'কংগো', 'জাহিরি']
['খুকি', 'জোড়ি', 'কাকি', 'হালি', 'চিরি', 'তকি', 'শালি', 'মোরি', 'টানি', 'বাঁকি']
['চিত্রলের', 'নিনিত', 'রৌদ্রে', 'পাটাতন', 'রক্তবাহ', 'ডানায়িনি', 'ব্যাপিত', 'কাপলের', 'মিশালের', 'ঘরামী']
['নিনিত', 'চিত্রলের', 'রৌদ্রে', 'প্রথিত', 'ডানায়িনি', 'ব্যাপিত', 'পাটাতন', 'কার্ডিনি', 'ঘরামী', 'ব্যবহিত']
['খুকি', 'অনাদি', 'তকি', 'মন্দি', 'রুমালি', 'জাহিরি', 'চিরি', 'আচি', 'মেনি', 'জোড়ি']
['নিনিত', 'প্রথিত', 'চিত্রলের', 'রৌদ্রে', 'মাজিনি', 'গদ্যে', 'স্তাগ', 'ডানায়িনি', 'কার্ডিনি', 'বেলিনি']
['খুকি', 'কাকি', 'জোড়ি', 'হালি', 'চিরি', 'টানি', 'বাঁকি', 'শালি', 'ছিপি', 'অকালি']
['খুকি', 'তকি', 'জোড়ি', 'চিরি', 'কাকি', 'হালি', 'অনাদি', 'মোরি', 'জাহিরি', 'অকালি']
['খুকি', 'কাকি', 'জোড়ি', 'হালি', 'চিরি', 'তকি', 'টানি', 'বাঁকি', 'শালি', 'ছিপি']
['খুকি', 'কাকি', 'জোড়ি', 'হালি', 'চিরি', 'টানি', 'বাঁকি', 'শালি', 'ছিপি', 'অকালি']
['ধরে', 'ধ\u200cরে', 'সংখ্যালঘুদের', 'সন্ত্রাসী', 'চাইনা', 'বেকারত্ব', 'হাসছে', 'কর্মকাণ্ডে', 'পুলিশকে', 'ছেলেমেয়ে']
['টিচার', 'হইয়াছে', 'অসন্তুষ্ট', 'লাইগা', 'খাই', 'অগ্রগতি', 'প্রশিক্ষক', 'হইলেও', 'কাউন্সিলর', 'ভালবাসে']
['মানববন্ধনসহ', 'আহমদসহ', 'আছিয়া', 'ইসলামিসহ', 'কলেজসহ', 'কমান্ডারসহ', 'তেরিয়ান', 'রক্সের', 'বাংলাদেশিসহ', 'শিক্ষকসহ']
['খুকি', 'কাকি', 'জোড়ি', 'হালি', 'চিরি', 'টানি', 'বাঁকি', 'শালি', 'ছিপি', 'অকালি']
['খুকি', 'কাকি', 'জোড়ি', 'হালি', 'চিরি', 'টানি', 'বাঁকি', 'শালি', 'ছিপি', 'অকালি']
['খুকি', 'জোড়ি', 'কাকি', 'হালি', 'চিরি', 'বাঁকি', 'তকি', 'টানি', 'শালি', 'অকালি']
['খুকি', 'চিরি', 'তকি', 'জোড়ি', 'অনাদি', 'কাকি', 'হালি', 'জাহিরি', 'অকালি', 'মোরি']
['জরো', 'ডিসকারাস', 'অন্নপূর্ণে', 'কঙ্গো', 'পেঁচ', 'গারো', 'একগামী', 'রুগ্\u200cণ', 'রুগ্ণ', 'দুষে']
['জেনেসিও', 'ফ্লোয়েম', 'র\u200d্যাফট', 'এক্টন', 'কেইন', 'তারেন', 'ওনানা', 'স্যানিটারি', 'মুভস', 'হোয়ান']
['পড়লেও', 'উন্মোচিত', 'নিলে', 'খোঁজাখুঁজি', 'নির্মিত', 'ঘটেনি', 'প্রবীণ', 'নেতৃত্ব', 'দাড়িয়ে', 'মেম্বার']
['জেনেসিও', 'ফ্লোয়েম', 'ওনানা', 'এক্টন', 'র\u200d্যাফট', 'তারেন', 'কেইন', 'ডেইস', 'রোডস', 'মুভস']
['', '', '', '', '', '', '', '', '', '']
['জেনেসিও', 'ফ্লোয়েম', 'ওনানা', 'এক্টন', 'তারেন', 'র\u200d্যাফট', 'ডেইস', 'কেইন', 'রোডস', 'মুভস']
['ভক্তের', 'অনুরাগ', 'সদস্যের', 'বার্ধক্য', 'দাঁড়ায়', 'জেলে', 'যায়', 'ভোটার', 'আহমেদকে', 'তরুণদের']
['মাতসুরি', 'মনঃপুত', 'ক্ষুধামন্দা', 'পূর্বসুরি', 'উদয়নারায়ণপুর', 'নাগার্জুনা', 'জাঁদরেল', 'মৃগীরোগে', 'হরিরাম', 'বায়োমেট্রিক']
['ওয়েম্বলিতে', 'মাজিদি', 'টেকনাফে', 'মৈথুন', 'অন্নপূর্ণে', 'ইন্ড্রাস্টি', 'হিঙ্গিস', 'ডিমে', 'মানববন্ধনসহ', 'শিজুকা']
['জেনেসিও', 'ফ্লোয়েম', 'র\u200d্যাফট', 'এক্টন', 'ওনানা', 'তারেন', 'কেইন', 'স্যানিটারি', 'মুভস', 'ডেইস']
['ঘটেনি', 'খ্রিস্টাব্দে', 'নায়ক', 'নামলেন', 'হেলাল', 'একটাই', 'উন্মোচিত', 'সুরাহা', 'সংস্থান', 'ছেড়ে']
['রাকিব', 'পারছ', 'ভট্ট', 'ধরিয়ে', 'মঞ্চ', 'অনুরাগ', 'আদিত্য', 'আদিত\u200d্য', 'রিমান্ড', 'ডিবি']
['জেনেসিও', 'ফ্লোয়েম', 'ওনানা', 'এক্টন', 'তারেন', 'র\u200d্যাফট', 'ডেইস', 'রোডস', 'কেইন', 'মুভস']
['হলোগ্রাম', 'অনুষ্ঠানে', 'উদ্দেশ্য', 'উদ্দেশ\u200d্য', 'জমিদারবাড়ি', 'বাংলাদেশিসহ', 'আহ্', 'লাশ', 'লেখা', 'আঁখ']
['ভক্তের', 'ভোটার', 'সদস্যের', 'জোয়ার', 'যায়', 'তরুণদের', 'অনুরাগ', 'বার্ধক্য', 'গোত্র', 'ধরেছে']
['জেনেসিও', 'ফ্লোয়েম', 'ওনানা', 'এক্টন', 'র\u200d্যাফট', 'তারেন', 'কেইন', 'ডেইস', 'রোডস', 'মুভস']
['হাইড্রোলাইসিস', 'বায়োমেট্রিক', 'এবডাকটিভ', 'ভ্রষ্টাচারী', 'এক্সিলেন্স', 'হাঁড়সমূহ', 'আনিকেতোস', 'মৈথুন', 'ওব্লাস্টে', 'প্রোসেসিং']
['জেনেসিও', 'ফ্লোয়েম', 'ওনানা', 'এক্টন', 'র\u200d্যাফট', 'তারেন', 'কেইন', 'ডেইস', 'রোডস', 'মুভস']
['কবরের', 'দিবসটি', 'আতর', 'নিলা', 'থেকো', 'হরতাল', 'সেঞ্চুরির', 'ভিজিট', 'হাততালি', 'ঘর']
['জেনেসিও', 'ফ্লোয়েম', 'এক্টন', 'ওনানা', 'র\u200d্যাফট', 'তারেন', 'কেইন', 'ডেইস', 'রোডস', 'মুভস']
['বায়োমেট্রিক', 'এবডাকটিভ', 'হাঁড়সমূহ', 'হটস্পট', 'মৈথুন', 'জাঁদরেল', 'পূর্বসুরি', 'নাগার্জুনা', 'গরিয়াবন্দ', 'ইনোভেশন']
['বায়োমেট্রিক', 'হাঁড়সমূহ', 'মাতসুরি', 'এবডাকটিভ', 'পূর্বসুরি', 'নাগার্জুনা', 'হটস্পট', 'জাঁদরেল', 'গেস্টরুমে', 'থিউরি']
['ফ্লোয়েম', 'র\u200d্যাফট', 'জেনেসিও', 'কবরের', 'স্যানিটারি', 'কেইন', 'ভিজিট', 'আতর', 'দেখতো', 'হরতাল']
['অনুষ্ঠানে', 'মাতসুরি', 'লাশ', 'উদ্দেশ্য', 'উদ্দেশ\u200d্য', 'আঁখ', 'লুৎফুর', 'হলোগ্রাম', 'বিএসএনএল', 'মনঃপুত']
['জেনেসিও', 'ফ্লোয়েম', 'ওনানা', 'এক্টন', 'তারেন', 'র\u200d্যাফট', 'ডেইস', 'কেইন', 'রোডস', 'মুভস']
['জেনেসিও', 'ফ্লোয়েম', 'র\u200d্যাফট', 'এক্টন', 'ওনানা', 'তারেন', 'কেইন', 'স্যানিটারি', 'ডেইস', 'মুভস']
['জেনেসিও', 'ফ্লোয়েম', 'ওনানা', 'এক্টন', 'র\u200d্যাফট', 'তারেন', 'কেইন', 'ডেইস', 'রোডস', 'মুভস']
['জেনেসিও', 'ফ্লোয়েম', 'ওনানা', 'এক্টন', 'তারেন', 'র\u200d্যাফট', 'ডেইস', 'কেইন', 'রোডস', 'মুভস']
['জেনেসিও', 'ফ্লোয়েম', 'ওনানা', 'এক্টন', 'র\u200d্যাফট', 'তারেন', 'কেইন', 'ডেইস', 'রোডস', 'মুভস']
['ষড়যন্ত্রের', 'আলীকে', 'এত', 'যোগ্য', 'প্রকাশিত', 'প্রকা\u200cশিত', 'প্রতিবাদ', 'অটোরিকশার', 'দোকান', 'দরুন']
['দেখেছিল', 'তুললো', 'সুপ', 'পাহাড়ের', 'জানানোর', 'অর্জন', 'হোলি', 'কৃষকের', 'খোঁজে', 'হিমালয়ের']
['জেনেসিও', 'ফ্লোয়েম', 'ওনানা', 'এক্টন', 'তারেন', 'র\u200d্যাফট', 'ডেইস', 'কেইন', 'রোডস', 'মুভস']
['জেনেসিও', 'ফ্লোয়েম', 'ওনানা', 'এক্টন', 'তারেন', 'র\u200d্যাফট', 'ডেইস', 'কেইন', 'রোডস', 'মুভস']
['জেনেসিও', 'ফ্লোয়েম', 'এক্টন', 'ওনানা', 'র\u200d্যাফট', 'তারেন', 'কেইন', 'ডেইস', 'রোডস', 'মুভস']
['জেনেসিও', 'ফ্লোয়েম', 'র\u200d্যাফট', 'এক্টন', 'ওনানা', 'তারেন', 'কেইন', 'স্যানিটারি', 'ডেইস', 'মুভস']
['শহর', 'ঘটিয়েছে', 'ফেলে', 'ফে\u200cলে', 'স্তুতি', 'চাচ্ছেন', 'প্লেনে', 'দুইজনে', 'কেমন', 'পত্রিকাটি']
['র\u200d্যাফট', 'তাসামুল', 'ভেলোরে', 'বক্কর', 'তারেন', 'স্যানিটারি', 'কেইন', 'জেনেসিও', 'হটন', 'ফ্লোয়েম']
['২০১২', 'সালে', 'সা\u200cলে', '\u200eসালে', 'আশিক', 'নির্মল', 'মাহমুদুর', 'উদ্যোগ', 'অর্থায়নে', 'চাচা']
['ভেলোরে', 'র\u200d্যাফট', 'জেনেসিও', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'হটন', 'স্যানিটারি']
['', '', '', '', '', '', '', '', '', '']
['ভেলোরে', 'র\u200d্যাফট', 'জেনেসিও', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'হটন', 'স্যানিটারি']
['হাবিল', 'বিশ্ববিদ্যালয়', 'ধামাচাপা', 'সুখের', 'হয়রানির', 'পেছন', 'গাল', 'ধসে', 'খেলেছেন', 'و']
['বিরাহিমপুর', 'মৃগীরোগে', 'নিউক্লিওসাইড', 'হাঁড়সমূহ', 'পূর্বসুরি', 'দীর্ঘসূত্রতা', 'বায়োমেট্রিক', 'লুথারীয়', 'দন্ডায়মানা', 'স্কারলেট']
['মানববন্ধনসহ', 'আছিয়া', 'কলেজসহ', 'ক্যাথিড্রাল', 'ইনস্টিটিউটসহ', 'ওয়েম্বলিতে', 'মাজিদি', 'জীবাশ্মবিজ্ঞান', 'কার্তেসীয়', 'এটুআই']
['র\u200d্যাফট', 'তাসামুল', 'ভেলোরে', 'বক্কর', 'তারেন', 'কেইন', 'স্যানিটারি', 'জেনেসিও', 'হটন', 'এক্টন']
['আশিক', 'সাপোর্ট', 'সা\u200cপোর্ট', 'নির্মল', 'ছেলে', 'ছে\u200cলে', 'ডিসেম্বর', 'উদ্যোগ', 'হলফ', 'ফেয়ার']
['স্মিত', 'মাহির', 'ক্যাম্প', 'আসো', 'বার্ধক্য', 'কমেন্ট', 'অস্থিরতা', 'দেয়ায়', '63', 'বৈঠকে']
['ভেলোরে', 'জেনেসিও', 'র\u200d্যাফট', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'হটন', 'ওয়াইলস']
['ধর্মপুত্র', 'বাংলাদেশিসহ', 'স্ক্রিবনার্স', 'ভিকারুননিসার', 'বিরাহিমপুর', 'ইউটিলিটিস', 'তেরিয়ান', 'স্ট্রনসিয়াম', 'কমান্ডারসহ', 'ফিজিশিয়ানস']
['হাবিল', 'গাল', 'বিশ্ববিদ্যালয়', 'ফর্সা', 'হয়রানির', 'ফাউ', 'পেছন', 'ধামাচাপা', 'সুখের', '১৯০৫']
['ভেলোরে', 'র\u200d্যাফট', 'জেনেসিও', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'হটন', 'স্যানিটারি']
['ক্যাথিড্রাল', 'শ্বসনতন্ত্র', 'আনিকেতোস', 'জীবাশ্মবিদ্যা', 'জীবাশ্মবিজ্ঞান', 'পুষ্করিনী', 'গ্যালভানোমিটার', 'অ্যাকোয়ারিয়া', 'ডিসকারাস', 'ব্রাম্ভসমাজ']
['ভেলোরে', 'র\u200d্যাফট', 'জেনেসিও', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'হটন', 'স্যানিটারি']
['কবরের', 'শেখে', 'লিখলাম', 'চেহারার', 'প্রতিচ্ছবি', 'আঁকতে', 'হও', 'হরতাল', 'অন্তর্ভুক্ত', 'থেকো']
['র\u200d্যাফট', 'ভেলোরে', 'তারেন', 'তাসামুল', 'জেনেসিও', 'বক্কর', 'কেইন', 'এক্টন', 'হটন', 'স্যানিটারি']
['মানববন্ধনসহ', 'পুষ্করিনী', 'ক্যাথিড্রাল', 'আনিকেতোস', 'বিরাহিমপুর', 'সাহিত্যধারার', 'শ্বসনতন্ত্র', 'ডিসকারাস', 'অ্যাকোয়ারিয়া', 'এক্সটেনশনস']
['মানববন্ধনসহ', 'বিরাহিমপুর', 'আনিকেতোস', 'পুষ্করিনী', 'সাহিত্যধারার', 'ক্যাথিড্রাল', 'কলেজসহ', 'লুথারীয়', 'হাঁড়সমূহ', 'মহাসপ্তমী']
['তাসামুল', 'র\u200d্যাফট', 'বক্কর', 'স্যানিটারি', 'কবরের', 'লিখলাম', 'হরতাল', 'আঁকতে', 'পড়ালেখা', 'শেখে']
['বিরাহিমপুর', 'মানববন্ধনসহ', 'স্কারলেট', 'পুষ্করিনী', 'আনিকেতোস', 'মৃগীরোগে', 'তৈজস', 'নিউক্লিওসাইড', 'অ্যাডোনিস', 'ক্যাথিড্রাল']
['ভেলোরে', 'জেনেসিও', 'র\u200d্যাফট', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'হটন', 'ফ্লোয়েম']
['র\u200d্যাফট', 'ভেলোরে', 'তাসামুল', 'তারেন', 'বক্কর', 'কেইন', 'জেনেসিও', 'স্যানিটারি', 'হটন', 'ফ্লোয়েম']
['ভেলোরে', 'র\u200d্যাফট', 'জেনেসিও', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'হটন', 'স্যানিটারি']
['ভেলোরে', 'জেনেসিও', 'র\u200d্যাফট', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'হটন', 'ফ্লোয়েম']
['ভেলোরে', 'র\u200d্যাফট', 'জেনেসিও', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'হটন', 'স্যানিটারি']
['বিবরণী', 'ছেলে', 'ছে\u200cলে', 'পিটি', '21', 'ক্ষমার', 'সাপোর্ট', 'সা\u200cপোর্ট', 'ফটোগ্রাফার', 'বিচারাধীন']
['ডেকেছে', 'গন্ধে', 'খেলেছে', 'জনসংখ্যা', 'জঘন্য', 'পরিচালনায়', 'কাউন্সিলের', 'রাগী', 'প্রার্থীকে', 'অবজ্ঞা']
['ভেলোরে', 'জেনেসিও', 'র\u200d্যাফট', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'হটন', 'স্যানিটারি']
['ভেলোরে', 'জেনেসিও', 'র\u200d্যাফট', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'হটন', 'ফ্লোয়েম']
['র\u200d্যাফট', 'ভেলোরে', 'জেনেসিও', 'তারেন', 'বক্কর', 'তাসামুল', 'কেইন', 'এক্টন', 'স্যানিটারি', 'হটন']
['র\u200d্যাফট', 'ভেলোরে', 'তাসামুল', 'তারেন', 'বক্কর', 'জেনেসিও', 'কেইন', 'স্যানিটারি', 'ফ্লোয়েম', 'হটন']
['ছাত্রকে', 'উঠি', 'ব্রাহ্ম', 'শহর', 'অমু', 'সাম্প্রদায়িকতা', 'পত্রিকাটি', 'চায়', 'স্মারকলিপি', 'আওয়ামীলীগ']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'এগুলি', 'পাবনার', 'মীন', 'বহিঃসংযোগ', 'কাপ্তাই']
['দিলমা', 'আহমেদনগর', 'স্ট্রং', 'পড়েছিলেন', 'হারং', 'দিলমুন', 'ব্লগারের', 'চিকিৎসায়', 'যেও', 'বুঝতাম']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'পাবনার', 'এগুলি', 'বহিঃসংযোগ', 'মীন', 'অইছে']
['', '', '', '', '', '', '', '', '', '']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'পাবনার', 'এগুলি', 'অইছে', 'বহিঃসংযোগ', 'মীন']
['একধারে', 'রকভিল', 'রক্সি', 'অর্থায়ণে', 'বদিপুর', 'আহমেদনগর', 'পিয়ার্সি', 'নেতাকর্মীরা', 'ককটেলটি', '1977']
['সেঞ্চুরিসংখ্যা', 'হতাশজনক', 'হতাশাজনক', 'কলঙ্কজনক', 'উল্লেখজনক', 'ভীতিজনক', 'লজ্জাজনক', 'অপরাধজনক', 'দৌরাত্ম্য', 'ছন্দপতন']
['মোহনপুরে', 'রানীনগরে', 'শিবপুরে', 'কাটারায়', 'শহীদনগরে', 'বীরনগরে', 'গোবিন্দপুরে', 'গোপালপুরে', 'মাল্টায়', 'ভোলায়']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'এগুলি', 'মীন', 'বহিঃসংযোগ', 'পাবনার', 'কাপ্তাই']
['ইয়ারে', 'বুঝতাম', 'খ্রিষ্টান', 'প্রমাণিত', 'পড়েই', 'রাজনীতিকে', 'পড়েছিলেন', 'বাঁচে', 'ফেলো', 'পুড়ে']
['একধারে', 'আহমেদনগর', 'পিয়ার্সি', 'রেডিং', 'হতোনা', 'বদিপুর', 'অন্তর্জাতিক', 'অফিসকক্ষ', 'স্ট্রং', 'ক্লাবসংলগ্ন']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'পাবনার', 'কুমিল্লায়', 'এগুলি', 'অইছে', 'বহিঃসংযোগ', 'কৃষ্ণনগর']
['জ্যেষ্ঠ্য', 'ততোটা', 'সেঞ্চুরিসংখ্যা', 'জমিটুকু', 'সর্বোচ্চ্য', 'ফ্রাঁ', 'ফ্রঁ', 'উইকেটটা', 'ডিসিইউ', 'চিন্হ']
['একধারে', 'অর্থায়ণে', '1977', 'ককটেলটি', 'রকভিল', 'নেতাকর্মীরা', 'ফ্রিথ', 'ছাত্রবৃত্তির', 'রক্সি', 'ধর্মযুদ্ধের']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'পাবনার', 'এগুলি', 'বহিঃসংযোগ', 'মীন', 'অইছে']
['সেঞ্চুরিসংখ্যা', 'বিশ্বজোড়া', 'সময়োপযোগী', 'গাড়িচালকের', 'ঝামেলামুক্ত', 'পক্ষত্যাগ', 'একনজরে', 'স্বল্পদৈর্ঘ্য', 'টাক্সি', 'বাসচালকের']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'পাবনার', 'এগুলি', 'বহিঃসংযোগ', 'অইছে', 'মীন']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'এগুলি', 'পাবনার', 'মীন', 'বহিঃসংযোগ', 'কাপ্তাই']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'এগুলি', 'পাবনার', 'মীন', 'বহিঃসংযোগ', 'কাপ্তাই']
['সেঞ্চুরিসংখ্যা', 'স্বল্পদৈর্ঘ্য', 'কাব্যময়', 'মাতৃহারা', 'ছন্দময়', 'ছক্কাসংখ্যা', 'দর্শকসংখ্যা', 'অনুদৈর্ঘ্য', 'কোদালকাঠি', 'কমেডিধর্মী']
['সেঞ্চুরিসংখ্যা', 'স্বল্পদৈর্ঘ্য', 'মাতৃহারা', 'কাব্যময়', 'কমেডিধর্মী', 'ছক্কাসংখ্যা', 'একাদশতম', 'উল্লেখজনক', 'ছন্দময়', 'বর্ণময়']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'এগুলি', 'মীন', 'পাবনার', 'বহিঃসংযোগ', 'কাপ্তাই']
['সেঞ্চুরিসংখ্যা', 'স্যাঁক', 'মাতৃহারা', 'জোঁক', 'ডগাইর', 'কোদালকাঠি', 'স্বল্পদৈর্ঘ্য', 'অনুদৈর্ঘ্য', 'শেয়ারওয়্যার', 'মন্ত্রিত্ব']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'পাবনার', 'কুমিল্লায়', 'এগুলি', 'অইছে', 'বহিঃসংযোগ', 'মীন']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'এগুলি', 'মীন', 'বহিঃসংযোগ', 'পাবনার', 'এটাতো']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'পাবনার', 'এগুলি', 'বহিঃসংযোগ', 'মীন', 'কৃষ্ণনগর']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'পাবনার', 'কুমিল্লায়', 'এগুলি', 'অইছে', 'বহিঃসংযোগ', 'মীন']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'পাবনার', 'এগুলি', 'বহিঃসংযোগ', 'মীন', 'অইছে']
['মহকুমা', 'আহ্বায়ক', 'কইরা', 'সতেরো', 'লাগছে', 'কর্মকাণ্ড', 'শিক্ষক', 'নালিশ', 'দেখেছি', 'মিডিয়ায়']
['ধইরা', 'আসেননি', 'মহকুমা', 'কইরা', 'করিতেছি', 'শিক্ষক', 'দেইখা', 'আহ্বায়ক', 'হয়নি', 'দেখেছি']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'পাবনার', 'কুমিল্লায়', 'এগুলি', 'অইছে', 'বহিঃসংযোগ', 'মীন']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'পাবনার', 'কুমিল্লায়', 'এগুলি', 'অইছে', 'বহিঃসংযোগ', 'মীন']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'পাবনার', 'এগুলি', 'বহিঃসংযোগ', 'অইছে', 'মীন']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'এগুলি', 'পাবনার', 'মীন', 'বহিঃসংযোগ', 'কৃষ্ণনগর']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'এটাতো', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['পাগলি', 'শাস্তি', 'অনুরাধা', 'চাঁদা', 'চালাকি', 'তৌ', 'গুড', 'মাইকে', 'বৈধ', 'সস্তায়']
['ধামাচাপা', 'কমিশনকে', 'সংস্কার', '১৯০৫', 'দৃষ্ট', 'স্মিত', 'কাকতাল', 'হয়রানির', 'কি', 'চলছিলো']
['পাগলি', 'শাস্তি', 'মাইকে', 'অনুরাধা', 'বৈধ', 'চালাকি', 'তৌ', 'মেশিন', 'চাঁদা', 'ঘট']
['', '', '', '', '', '', '', '', '', '']
['পাগলি', 'শাস্তি', 'মাইকে', 'অনুরাধা', 'বৈধ', 'চালাকি', 'তৌ', 'মেশিন', 'চাঁদা', 'প্রযোজনা']
['১৯০৫', 'ধামাচাপা', 'কি', 'হাবীব', 'و', 'বিশ্ববিদ্যালয়', '১৯৮৬', 'সিনেটর', 'যুদ্ধাপরাধী', 'মৌলবাদী']
['রহিত', '১৯০৫', '১৯৮৬', 'বিপক্ষে', 'ব্রহ্মা', 'মৌলবাদী', 'পশ্চিমা', 'কাকতাল', '১৯৩', 'ফাউ']
['১৯৮৬', '১৯০৫', 'ফাউ', 'রহিত', 'বিপক্ষে', 'মৌলবাদী', 'কাকতাল', 'ব্রহ্মা', 'ব্যালট', 'পশ্চিমা']
['পাগলি', 'শাস্তি', 'অনুরাধা', 'মাইকে', 'চালাকি', 'তৌ', 'বৈধ', 'চাঁদা', 'মেশিন', 'সস্তায়']
['১৯০৫', '১৯৮৬', 'সংস্কার', 'কমিশনকে', 'ধামাচাপা', 'দৃষ্ট', 'কাকতাল', 'অবসরে', 'লেখাপড়ার', 'অভাবে']
['সংস্কার', 'অস্থিরতা', 'স্মিত', 'কি', 'সুরে', '১৯০৫', 'দৃষ্ট', 'চলছিলো', 'বৈদেশিক', 'রহিত']
['পাগলি', 'মাইকে', 'শাস্তি', 'অনুরাধা', 'বৈধ', 'চালাকি', 'মেশিন', 'তৌ', 'চাঁদা', 'প্রযোজনা']
['রহিত', '১৯০৫', '১৯৮৬', 'পশ্চিমা', 'ব্রহ্মা', 'মৌলবাদী', 'কাকতাল', 'অনুষদ', 'বিপক্ষে', 'ফাউ']
['১৯০৫', '১৯৮৬', 'ধামাচাপা', 'হাবীব', 'বিশ্ববিদ্যালয়', 'কি', 'و', 'হাবিল', 'যুদ্ধাপরাধী', 'গাল']
['পাগলি', 'শাস্তি', 'মাইকে', 'অনুরাধা', 'বৈধ', 'চালাকি', 'তৌ', 'মেশিন', 'চাঁদা', 'প্রযোজনা']
['১৯৮৬', 'ফাউ', 'বিপক্ষে', '১৯০৫', 'রহিত', 'কাকতাল', 'ব্যালট', 'ব্রহ্মা', 'আসো', 'মৌলবাদী']
['পাগলি', 'শাস্তি', 'মাইকে', 'অনুরাধা', 'বৈধ', 'চালাকি', 'তৌ', 'মেশিন', 'চাঁদা', 'প্রযোজনা']
['পাগলি', 'শাস্তি', 'গুড', 'শিক্ষাপ্রতিষ্ঠান', 'কুরাইশ', 'চাঁদা', 'বেস্ট', '১৯৪৮', 'অনুরাধা', 'পরিপন্থী']
['পাগলি', 'শাস্তি', 'অনুরাধা', 'মাইকে', 'বৈধ', 'চালাকি', 'তৌ', 'মেশিন', 'চাঁদা', 'ঘট']
['১৯৮৬', 'ফাউ', 'বিপক্ষে', '১৯০৫', 'রহিত', 'কাকতাল', 'ব্রহ্মা', 'ব্যালট', 'আসো', '১৯৩']
['১৯৮৬', '১৯০৫', 'রহিত', 'বিপক্ষে', 'ফাউ', 'ব্রহ্মা', 'কাকতাল', 'মৌলবাদী', 'পশ্চিমা', '১৯৩']
['পাগলি', 'শাস্তি', 'গুড', 'অনুরাধা', 'চাঁদা', 'কুরাইশ', 'শিক্ষাপ্রতিষ্ঠান', 'বেস্ট', 'সস্তায়', '১৯৪৮']
