['অ্যাসিস', 'ডেনিস', 'মাতিস', 'ওনান', 'ক্যান্ডিস', 'ম্যারিস', 'ক্যালিস', 'উলিস', 'অ্যাক্সিস', 'মাকিস']
['ক্লায়েন্ট', 'হোক', 'শতাংশে', 'কেনে', 'আসলেই', 'শতাংশই', 'খোলাখুলি', 'আমরাও', 'দোস্ত', 'নামছে']
['إِنَّا', 'مَنْ', 'পোড়ে', 'সীতারমন', 'সাইরেন', 'অধীত', 'হেদায়েত', 'সহযোদ্ধার', 'গুলাল', 'ভেনেজুয়েলার']
['إِنَّا', 'مَنْ', 'পোড়ে', 'সীতারমন', 'সাইরেন', 'অধীত', 'হেদায়েত', 'সহযোদ্ধার', 'গুলাল', 'ভেনেজুয়েলার']
['إِنَّا', 'مَنْ', 'অ্যাবসেন্ট', 'দুর্গাপূজায়', 'বেহেশতের', 'হেদায়েত', 'কালাকান', 'লরেন্স', 'বাঁধনে', 'কোল্ডপ্লে']
['إِنَّا', 'مَنْ', 'অ্যাবসেন্ট', 'দুর্গাপূজায়', 'বেহেশতের', 'হেদায়েত', 'কালাকান', 'লরেন্স', 'বাঁধনে', 'কোল্ডপ্লে']
['إِنَّا', 'مَنْ', 'পোড়ে', 'সীতারমন', 'সাইরেন', 'অধীত', 'হেদায়েত', 'গুলাল', 'সহযোদ্ধার', 'ভেনেজুয়েলার']
['إِنَّا', 'مَنْ', 'পোড়ে', 'সীতারমন', 'সাইরেন', 'অধীত', 'হেদায়েত', 'গুলাল', 'সহযোদ্ধার', 'ভেনেজুয়েলার']
['লেখা', 'নৌকা', 'কর', 'আদিত্য', 'আদিত\u200d্য', 'রক্ত', 'আহ্', 'সমস্বরে', 'মোহ', 'আয়কর']
['কমিউনিকেশন', 'নয়টায়', 'সালা', 'রাতেই', 'ইন্টারন্যাশনাল', 'ব্যাংকার', 'গণতন্ত্রীকরণ', 'বানী', 'ক্যাড', 'ওয়েল']
['সিক্রেট', 'নগর', 'যতই', 'রব', 'বাহিনীর', 'পরিমাণ', 'পরা', 'ছাদে', 'অন্দরে', 'শিখরে']
['إِنَّا', 'مَنْ', 'পোড়ে', 'সাইরেন', 'সীতারমন', 'সহযোদ্ধার', 'অধীত', 'গুলাল', 'হেদায়েত', 'ভেনেজুয়েলার']
['শিশুর', 'যাচ্ছিলেন', 'প্রতিদ্বন্দ্বী', 'স্বপ্নের', 'প্রধানমন্ত্রী', 'দ্বিতীয়বার', 'দলই', 'চিরাচরিত', 'সর্দার', 'আমন্ত্রিত']
['হাসিখুশি', 'নির্বিকার', 'উদ্দিন', 'অনতি', 'কর্নার', 'কীসের', 'কোনোভাবে', 'কমেনি', 'ফুরফুরে', 'এতদূর']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'এটাতো', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['إِنَّا', 'অস্তিমান', 'কোল্ডপ্লে', 'পাউরুটির', 'গুলাল', 'সাইরেন', 'স্প্রিন্ট', 'অ্যাবসেন্ট', 'হেদায়েত', 'সীতারমন']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'বেষ্ট', 'ক্যাসিনো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'এটাতো', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['হাসিখুশি', 'নির্বিকার', 'উদ্দিন', 'অনতি', 'কর্নার', 'কীসের', 'কোনোভাবে', 'কমেনি', 'ফুরফুরে', 'এতদূর']
['হাসিখুশি', 'নির্বিকার', 'উদ্দিন', 'অনতি', 'কর্নার', 'কীসের', 'কোনোভাবে', 'কমেনি', 'ফুরফুরে', 'এতদূর']
['মানববন্ধনসহ', 'আহমদসহ', 'কলেজসহ', 'শিক্ষকসহ', 'ইসলামিসহ', 'সাংবাদিকসহ', 'সাহিত্যধারার', 'আছিয়া', 'ইনস্টিটিউটসহ', 'তেরিয়ান']
['আশ্চর্যজনকভাবে', 'কার্যকরীভাবে', 'নিরঙ্কুশভাবে', 'শক্তভাবে', 'সোজাভাবে', 'ব্যবসায়িকভাবে', 'দুর্বলভাবে', 'অসম্পূর্ণভাবে', 'বাহ্যিকভাবে', 'আধুনিকভাবে']
['নামে', 'না\u200cমে', 'সংগঠনটি', 'ইব', 'বিচারাধীন', 'ইনিংসে', 'শুনতাম', 'বলতাম', 'বাঁচানো', 'পারল']
['প্রায়শ্চিত্ত', 'গাও', 'অধিকারের', 'বাজে', 'তাকাতেই', 'ভৃত্য', 'নেতা', 'শান্ত', 'চলতে', 'তুলল']
['ওপাশের', 'লেখেন', 'জব্বার', 'গুণগত', 'কথাগুলো', 'ডজন', 'একাকিত্ব', 'বৈচিত্র্য', 'বৈচিত্র\u200c্য', 'বৈচিত্র\u200d্য']
['২০০৮', 'মিতু', 'নির্বাচক', 'প্যারিসে', 'লিং', 'স্যার', 'গেলো', 'ছাত্রছাত্রীরা', 'প্রতিভাবান', 'সাপ']
['কার্যকরভাবে', 'নিরাপদভাবে', 'শৈল্পিকভাবে', 'অভিন্নভাবে', 'দলীয়ভাবে', 'বেসরকারিভাবে', 'জাতীয়ভাবে', 'কূটনৈতিকভাবে', 'তিনভাবে', '়ভাবে']
['থানাগুলোর', 'পৌরসভাগুলোর', 'অর্থায়ণে', 'পৌরসভাটির', 'রকগানের', 'বাসস্ট্যান্ডটি', 'ডোনাটের', 'থানাটির', 'ফ্রিনেট', 'তেরী']
['কার্যকরভাবে', 'নিরাপদভাবে', 'শৈল্পিকভাবে', 'অভিন্নভাবে', 'দলীয়ভাবে', 'বেসরকারিভাবে', 'জাতীয়ভাবে', 'কূটনৈতিকভাবে', 'তিনভাবে', '়ভাবে']
['কার্যকরভাবে', 'নিরাপদভাবে', 'শৈল্পিকভাবে', 'অভিন্নভাবে', 'দলীয়ভাবে', 'বেসরকারিভাবে', 'জাতীয়ভাবে', 'কূটনৈতিকভাবে', 'তিনভাবে', '়ভাবে']
['কার্যকরভাবে', 'নিরাপদভাবে', 'শৈল্পিকভাবে', 'অভিন্নভাবে', 'দলীয়ভাবে', 'বেসরকারিভাবে', 'জাতীয়ভাবে', 'কূটনৈতিকভাবে', 'তিনভাবে', '়ভাবে']
['কূটনৈতিকভাবে', 'অভিন্নভাবে', 'নির্ভীকভাবে', 'সার্বিকভাবে', 'তিনভাবে', 'বেপরোয়াভাবে', 'সমভাবে', 'নিজস্বভাবে', 'ওইভাবে', 'নির্বিকারভাবে']
['আক্রোশ', 'সাফল্যে', 'ফেলেছেন', 'ভালোবাসে', 'জিতল', 'ভালোবাসবে', 'রোগীকে', 'সিস্টেমে', 'সি\u200cস্টে\u200cমে', 'যাত্রীবাহী']
['প্রকাশ্যভাবে', 'নিরপেক্ষভাবে', 'বিনীতভাবে', 'চূড়ান্তভাবে', 'প্রতীকীভাবে', 'সম্মিলিতভাবে', 'নিজস্বভাবে', 'বিকৃতভাবে', 'সমার্থকভাবে', 'নির্বিকারভাবে']
['বর্তমানকালে', 'মানবমনের', 'স্থানকালে', 'বন্যজীবনের', 'মানবজীবনের', 'আধুনিককালে', 'যৌনজীবনের', 'দীর্ঘজীবনের', 'সমকালে', 'জনজীবনের']
['গ্রেগর', 'সাইমন', 'ক্ষয়ক্ষতি', 'খেলেন', 'সোল', 'উদ্বিগ্ন', 'ওয়ার', 'নিছক', 'বলবার', 'ইলিয়াস']
['অয়লার', 'গুডস', 'ভেসেছে', 'পাবনা', 'হ্যানস', 'পাবনার', 'অইছে', 'ফরিদপুরে', 'নিয়ােগ', 'ফরিদপুর']
['লালমনিরহাটে', 'গোপালগঞ্জে', 'ইনস্টিটিউটসহ', 'অন্নপূর্ণে', 'বর্ননায়', 'টেকনাফে', 'দুর্ভোগে', 'মারপিটে', 'আছিয়া', 'ওয়েম্বলিতে']
['প্যাট', 'সীতার', 'পাইন', 'জামান', 'ওগুলো', 'কাঠের', 'জুটে', 'ব্যাকরণ', 'মোমবাতি', 'হাড়ের']
['ভেসেছে', 'আউটসাইড', 'অয়লার', 'গুডস', 'বেধেছে', 'পেয়েছেন', 'হ্যানস', 'কইছে', 'টেলস', 'ফ্রেড্রিক']
['পেয়েছেন', 'ভেসেছে', 'আউটসাইড', 'বেধেছে', 'কইছে', 'অয়লার', 'গুডস', 'ইস্কান্দার', 'টেলস', 'হ্যানস']
['ঈদুল', 'নিঃসন্দেহে', 'ড্রিংক', 'নির্বিকার', 'অবগত', 'সুবিচার', 'কমেনি', 'আপ্লুত', 'গুটিয়ে', 'দুমড়ে']
['স্বকণ্ঠে', 'কর্মীরূপে', 'পশ্চিমাঞ্চলে', 'ট্রাকচালকের', 'অবরোধস্থলে', 'ভ্যানচালকের', 'মধ্যাঞ্চলে', 'উত্তরাঞ্চলে', 'রেলব্যবস্থার', 'স্বচক্ষে']
['অবাধে', 'ওইখানে', 'মৌলভীবাজার', 'দাবীতে', 'সপ্ত', 'উঠোন', 'সমাধানে', 'পান্না', 'হাকিমের', 'গুহা']
['অভিজাত', 'ফলা', 'পৌঁছানোর', 'মিশেল', 'পুরো', 'সমস্ত', 'ইয়', 'কর্মকাণ্ডের', 'টোন', 'চঞ্চল']
['গুরুতর', 'বৃহত্তম', 'ব্যাপক', 'বসবাসরত', 'মিটিয়ে', 'দিনেই', 'করবে', 'কর\u200cবে', 'হাসপাতালের', 'রাখিস']
['অবাধে', 'ওইখানে', 'মৌলভীবাজার', 'সপ্ত', 'দাবীতে', 'উঠোন', 'হাকিমের', 'সমাধানে', 'পান্না', 'মেয়র']
['শান্ত', 'তাকাতেই', 'করেনি', 'দিলো', 'সিরিজে', 'যাইতে', 'শিক্ষকতা', 'অবাক', 'তুলল', 'বডি']
['অবাধে', 'ওইখানে', 'মৌলভীবাজার', 'দাবীতে', 'সপ্ত', 'উঠোন', 'সমাধানে', 'পান্না', 'হাকিমের', 'গুহা']
['ভাগ্যবান', 'সমস্বরে', 'সবাইকে', 'পরিপ্রেক্ষিতে', 'বিচারকদের', 'বাসি', 'বলেছেন', 'ব\u200cলে\u200cছেন', 'অপরিচিত', 'রাখবে']
['', '', '', '', '', '', '', '', '', '']
['শীঘ্র', 'নাশ', 'পুজোয়', 'টুর', 'বোলিংয়ের', 'পুজো', 'যাতায়াতের', 'যেগুলোর', 'একইসাথে', 'দর্শনীয়']
['ভাগ্যবান', 'সমস্বরে', 'সবাইকে', 'বিচারকদের', 'পরিপ্রেক্ষিতে', 'বাসি', 'বাচ্চাদের', 'রাখবে', 'বার্থডে', 'গাড়ি']
['সেচ', 'সাগরিকার', 'দীঘ', 'জঙ্গিবাদের', 'করপোরেশনের', 'বসুন্ধরা', 'নিচ', 'ব্যাটসম্যানের', 'যেমনটা', 'সৈকতের']
['পেয়েছেন', 'অয়লার', 'ফ্রেড্রিক', 'গুডস', 'রোমা', 'হুট', 'শীঘ্র', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো']
['কর্মীরূপে', 'স্বকণ্ঠে', 'শিক্ষাক্ষেত্রে', 'আলিশাকে', 'দূরদেশে', 'প্রার্থীরূপে', 'জুরাইনে', 'মাঠপর্যায়ের', 'একনাগারে', 'পশ্চিমাঞ্চলে']
['স্বকণ্ঠে', 'কর্মীরূপে', 'পশ্চিমাঞ্চলে', 'ট্রাকচালকের', 'অবরোধস্থলে', 'ভ্যানচালকের', 'মধ্যাঞ্চলে', 'উত্তরাঞ্চলে', 'রেলব্যবস্থার', 'স্বচক্ষে']
['পেয়েছেন', 'অয়লার', 'ফ্রেড্রিক', 'রোমা', 'হুট', 'শীঘ্র', 'ক্যাসিনো', 'যেগুলোর', 'যেগুলো', 'যেগু\u200cলো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'বেষ্ট', 'দমবন্ধ', 'রোমা', 'রুদ্ধ', 'স্ট্রাইক', 'শীঘ্র', 'এটাতো']
['পোষ্টে', 'মোহনা', 'সবাইকেই', 'স্বার্থে', 'কর্মরত', 'যেও', 'কার্যালয়ে', 'পারবেন', 'দিও', 'সম্মান']
['শান্তভাবে', 'নির্ভীকভাবে', 'আর্থিকভাবে', 'নিঃস্বার্থভাবে', 'বিনীতভাবে', 'ইতিবাচকভাবে', 'প্রকাশ্যভাবে', 'একতরফাভাবে', 'চমকপ্রদভাবে', 'ভুলভাবে']
['ড্র', 'বলেননি', 'পরিশ্রমী', 'লিখবেন', 'পাইলট', 'উজ্জীবিত', '২০১৪', 'ছাড়তে', 'পরাজয়ের', 'ছুঁয়ে']
['অয়লার', 'ফ্রেড্রিক', 'এটাতো', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'বহিঃসংযোগ', 'মীন', 'বৈকি', 'সংগ্রহ']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'এগুলি', 'বহিঃসংযোগ', 'কাপ্তাই', 'যেটাকে', 'কৃষ্ণনগর', 'মীন']
['অয়লার', 'পাবনার', 'অইছে', 'কুমিল্লায়', 'এগুলি', 'দ্যাটস', 'ভ্রমন', 'কৃষ্ণনগর', 'সেটি', 'সে\u200cটি']
['শান্তভাবে', 'নির্ভীকভাবে', 'আর্থিকভাবে', 'নিঃস্বার্থভাবে', 'বিনীতভাবে', 'ইতিবাচকভাবে', 'প্রকাশ্যভাবে', 'একতরফাভাবে', 'চমকপ্রদভাবে', 'ভুলভাবে']
['অয়লার', 'গুডস', 'অইছে', 'পাবনার', 'দ্যাটস', 'ভ্রমন', 'নিয়ােগ', 'এগুলি', 'কৃষ্ণনগর', 'কুমিল্লায়']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'এটাতো', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['হাঁটতে', 'দুলাভাই', 'পড়ালেখা', 'সংলাপ', '০৬', 'ইনজেকশন', 'হেমা', 'হরতাল', 'কমিশন', 'ভিজিট']
['ওয়াশিংটন', 'মালামাল', 'কিসিঞ্জার', 'সংখ্যায়', 'ইংরেজ', 'চটে', 'সাময়িকী', 'সচিব', 'অনুবাদ', 'সামাদ']
['সাংবাদিকসহ', 'শিক্ষকসহ', 'কলেজসহ', 'মানববন্ধনসহ', 'আহমদসহ', 'সাহিত্যধারার', 'ইনস্টিটিউটসহ', 'কর্মকর্তাসহ', 'অফিসসহ', 'ইসলামিসহ']
['সংগঠনটি', 'নামে', 'না\u200cমে', 'ইব', 'বিচারাধীন', 'শুনতাম', 'ইনিংসে', 'বাঁচানো', 'পরেই', 'বলতাম']
['পেশাগতভাবে', 'পারিবারিকভাবে', 'অযৌক্তিকভাবে', 'কার্যকরভাবে', 'অন্যায়ভাবে', 'বহির্ভূতভাবে', 'চরমভাবে', 'অবধারিতভাবে', 'চারভাবে', 'নির্ভরযোগ্যভাবে']
['রৌদ্রে', 'পুষ্পে', 'চিত্রলের', 'মহাবিশ্বে', 'বইনে', 'গদ্যে', 'প্রথিত', 'বারুদে', 'নক্ষত্রে', 'শ্রাবণে']
['একচেটিয়াভাবে', 'প্রকাশ্যভাবে', 'যুগ্মভাবে', 'সোজাভাবে', 'বিপুলভাবে', 'নির্দিষ্টভাবে', 'রকমভাবে', 'সমার্থকভাবে', 'সেরকমভাবে', 'বিনীতভাবে']
['পেশাগতভাবে', 'পারিবারিকভাবে', 'বহির্ভূতভাবে', 'কার্যকরভাবে', 'অন্যায়ভাবে', 'অযৌক্তিকভাবে', 'চরমভাবে', 'অবধারিতভাবে', 'চারভাবে', 'নির্ভরযোগ্যভাবে']
['পেশাগতভাবে', 'পারিবারিকভাবে', 'অন্যায়ভাবে', 'বহির্ভূতভাবে', 'অযৌক্তিকভাবে', 'চরমভাবে', 'একনিষ্ঠভাবে', 'চারভাবে', 'জন্মগতভাবে', 'নির্ভরযোগ্যভাবে']
['পরবর্তীসময়ে', 'বর্তমানকালে', 'দিনশেষে', 'দখলকালে', 'একইসময়ে', 'অনুশাসনের', 'উত্তরাপথের', 'আকাশপথের', 'কারনালের', 'অল্পক্ষণের']
['কার্যকরভাবে', 'নিরাপদভাবে', 'শৈল্পিকভাবে', 'অভিন্নভাবে', 'দলীয়ভাবে', 'বেসরকারিভাবে', 'জাতীয়ভাবে', 'কূটনৈতিকভাবে', 'তিনভাবে', '়ভাবে']
['কার্যকরভাবে', 'নিরাপদভাবে', 'শৈল্পিকভাবে', 'অভিন্নভাবে', 'দলীয়ভাবে', 'বেসরকারিভাবে', 'জাতীয়ভাবে', 'কূটনৈতিকভাবে', 'তিনভাবে', '়ভাবে']
['পরবর্তীসময়ে', 'অল্পক্ষণের', 'একইসময়ে', 'যৌনজীবনের', 'বর্তমানকালে', 'ব্যক্তিজীবনের', 'সংক্ষিপ্তকালের', 'সমাজজীবনের', 'সেইসময়ে', 'দীর্ঘজীবনের']
['নৈরাজ্যময়', 'হরদম', 'সমাজব্যবস্থা', 'ছাত্রাবস্থা', 'নির্বাচনব্যবস্থা', 'পেনাল্টিটা', 'ভার্মা', 'সর্বনাশটা', 'কোপা', 'ওভারটা']
['নৈরাজ্যময়', 'হরদম', 'সমাজব্যবস্থা', 'নির্বাচনব্যবস্থা', 'ভার্মা', 'পেনাল্টিটা', 'ছাত্রাবস্থা', 'কোপা', 'ওভারটা', 'এইজাতীয়']
['স্যারকে', 'মরহুম', 'জনেই', 'ব্যপারে', 'দফতরে', 'চোখে', 'খুব', 'টেকনোলজি', 'চাই', 'পড়েও']
['নৈরাজ্যময়', 'হরদম', 'সমাজব্যবস্থা', 'নির্বাচনব্যবস্থা', 'ছাত্রাবস্থা', 'পেনাল্টিটা', 'ভার্মা', 'ওভারটা', 'সর্বনাশটা', 'কোপা']
['এক্টন', 'বেবিস', 'ডেইস', 'শাঁস', 'আর্দ্রিয়ানা', 'হেমলক', 'ওনানা', 'গ্রোস', 'জেনেটিকস', 'তাতিয়ানা']
['বেবিস', 'ডেইস', 'এক্টন', 'শাঁস', 'আর্দ্রিয়ানা', 'গ্রোস', 'হেমলক', 'ওনানা', 'জেনেটিকস', 'তাতিয়ানা']
['কাটারায়', 'ভোলায়', 'মাগুরায়', 'নেয়ায়', 'কয়লায়', 'যমুনায়', 'মাল্টায়', 'রিগায়', 'ফলায়', 'ব্যবসায়ীক']
['বেবিস', 'এক্টন', 'ডেইস', 'শাঁস', 'আর্দ্রিয়ানা', 'গ্রোস', 'হেমলক', 'ওনানা', 'জেনেটিকস', 'তাতিয়ানা']
['এক্টন', 'শর্ট', 'পচে', 'প্রতিমা', 'ব্রোঞ্জ', 'কেইন', 'থ্যাংকস', 'আরাধ্যা', 'বেশকিছু', 'রাখছি']
['ডেইস', 'বেবিস', 'এক্টন', 'শাঁস', 'আর্দ্রিয়ানা', 'গ্রোস', 'হেমলক', 'ওনানা', 'জেনেটিকস', 'তাতিয়ানা']
['সাংবাদিকসহ', 'ফোনালাপটি', 'ধারণাগতভাবে', 'তত্ত্বগতভাবে', 'ঐতিহাসিকভাবে', 'পরিমাণগতভাবে', 'বিক্ষিপ্তভাবে', 'উল্লেখযোগ্যভাবে', 'নিরাপত্তাব্যবস্থাকে', 'সংযোগস্থলকে']
['এতবড়', 'স্ট্রাইক', 'সালাত', 'নাশ', 'কোনোদিনই', 'মাখামাখি', 'সারারাত', 'বইমেলার', 'মুন্সি', 'খাওয়াদাওয়া']
['অভিন্নভাবে', 'পেশাদারভাবে', 'তিনভাবে', 'নির্বিকারভাবে', 'হাবভাবে', 'সমভাবে', 'প্রতীকীভাবে', 'অনৈতিকভাবে', 'সার্বিকভাবে', 'জাতীয়ভাবে']
['', '', '', '', '', '', '', '', '', '']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'সেটি', 'সে\u200cটি', 'বহিঃসংযোগ', 'হুট', 'এইরকম', 'যেটার']
['', '', '', '', '', '', '', '', '', '']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'সেটি', 'সে\u200cটি', 'বহিঃসংযোগ', 'হুট', 'এইরকম', 'যেটার']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'রোমা', 'হুট', 'এইরকম', 'ক্যাসিনো', 'যেটার', 'যেগুলো']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'সেটি', 'সে\u200cটি', 'বহিঃসংযোগ', 'হুট', 'এইরকম', 'যেটার']
['', '', '', '', '', '', '', '', '', '']
['দুর্ভাগ্যজনকভাবে', 'চূড়ান্তভাবে', 'নির্ধারিতভাবে', 'সম্মিলিতভাবে', 'দৃশ্যমানভাবে', 'নির্বাচিতভাবে', 'সশস্ত্রভাবে', 'হাবভাবে', 'নিরপেক্ষভাবে', 'গণতান্ত্রিকভাবে']
['আশ্চর্যজনকভাবে', 'শক্তভাবে', 'কার্যকরীভাবে', 'নিরঙ্কুশভাবে', 'সোজাভাবে', 'ব্যবসায়িকভাবে', 'বাহ্যিকভাবে', 'অসম্পূর্ণভাবে', 'দুর্বলভাবে', 'শিথিলভাবে']
['শান্তভাবে', 'বিনীতভাবে', 'নির্ভীকভাবে', 'আর্থিকভাবে', 'অন্তর্নিহিতভাবে', 'নিঃস্বার্থভাবে', 'প্রকাশ্যভাবে', 'ঐতিহাসিকভাবে', 'উল্লেখযোগ্যভাবে', 'অবিচ্ছেদ্যভাবে']
['পলিথিন', 'নিউইয়র্কে', 'সাংবাদিকতা', 'হোসে', 'প্রচেষ্টায়', '১৯৫৮', 'অবসর', 'ক্লাশ', 'কাগজ', 'যত্ন']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['মানববন্ধনসহ', 'ইসলামিসহ', 'রক্সের', 'তেরিয়ান', 'আহমদসহ', 'কমান্ডারসহ', 'আছিয়া', 'কলেজসহ', 'ওনার্সের', 'ব্যাপকভিত্তিক']
['আশ্চর্যজনকভাবে', 'শক্তভাবে', 'কার্যকরীভাবে', 'নিরঙ্কুশভাবে', 'সোজাভাবে', 'ব্যবসায়িকভাবে', 'অসম্পূর্ণভাবে', 'আধুনিকভাবে', 'শিথিলভাবে', 'দুর্বলভাবে']
['শান্তভাবে', 'বিনীতভাবে', 'নির্ভীকভাবে', 'আর্থিকভাবে', 'নিঃস্বার্থভাবে', 'প্রকাশ্যভাবে', 'অন্তর্নিহিতভাবে', 'পারস্পরিকভাবে', 'ঐতিহাসিকভাবে', 'অনিশ্চিতভাবে']
['দক্ষভাবে', 'সাবলীলভাবে', 'আবছাভাবে', 'অবচেতনভাবে', 'নিরলসভাবে', 'নির্ভুলভাবে', 'মর্মান্তিকভাবে', 'আন্তরিকভাবে', 'ভদ্রভাবে', 'প্রচলিতভাবে']
['', '', '', '', '', '', '', '', '', '']
['সুখী', 'সুখকর', 'আমলা', 'দেখাচ্ছিল', 'জাগে', 'ইন', 'বাধে', 'রেট', 'ছায়া', 'ট্রাইব্যুনালের']
['স্পষ্টতই', 'সম্পূর্ণতই', 'স্পষ্টতঃ', 'পাসেই', 'অর্থ্যাৎ', 'দৃশ্যতঃ', 'সেইভাবেই', 'অন্যখানে', 'উপজেলাধীন', 'এগোচ্ছিল']
['বিরল', 'নবনির্বাচিত', 'আসলেন', 'নিখুঁত', 'ঘোড়ার', 'উপস্থাপন', 'ফুটপাতের', 'আগ', 'ফোনে', 'হুসাইন']
['অনিচ্ছায়', 'খোলায়', 'নাড়ায়', 'দেখানোয়', 'আনায়', 'খোঁচায়', 'লোহায়', 'দাঙ্গায়', 'সেনায়', 'রেখায়']
['অবমাননার', 'মৌসুমের', 'ফেইসবুক', 'জীবিকার', 'ব্যবস্থাপনার', 'প্রায়ই', 'ভিক্ষা', 'পরিমাপ', 'মহামারী', 'আবিস্কার']
['প্রফেশনাল', 'আক্ষেপ', 'সামনে', 'শিক্ষিকা', 'হইতো', 'চাইল্ড', 'সংগঠনটি', 'বিবরণী', 'কিনেছি', 'হিলার']
['অগ্রহণযোগ্য', 'পুনর্ব্যবহারযোগ্য', 'এনক্রিপ্টেড', 'একান্নবর্তী', 'অনির্ভরশীল', 'আতিথেয়তা', 'আত্মনির্ভরশীল', 'বিষনাশক', 'অপরিচ্ছন্নতা', 'মহামূল্যবান']
['অগ্রহণযোগ্য', 'মহামূল্যবান', 'অনির্ভরশীল', 'একান্নবর্তী', 'পুনর্ব্যবহারযোগ্য', 'দোদুল্যমান', 'দায়িত্বজ্ঞানহীন', 'ব্যঞ্জনাময়', 'রাজকর্মচারী', 'অসদাচরণ']
['অগ্রহণযোগ্য', 'মহামূল্যবান', 'অনির্ভরশীল', 'একান্নবর্তী', 'পুনর্ব্যবহারযোগ্য', 'দায়িত্বজ্ঞানহীন', 'ব্যঞ্জনাময়', 'দোদুল্যমান', 'রাজকর্মচারী', 'অসদাচরণ']
['অগ্রহণযোগ্য', 'পুনর্ব্যবহারযোগ্য', 'একান্নবর্তী', 'অনির্ভরশীল', 'এনক্রিপ্টেড', 'মহামূল্যবান', 'আতিথেয়তা', 'ব্যঞ্জনাময়', 'দোদুল্যমান', 'রাজকর্মচারী']
['অগ্রহণযোগ্য', 'মহামূল্যবান', 'অনির্ভরশীল', 'একান্নবর্তী', 'পুনর্ব্যবহারযোগ্য', 'ব্যঞ্জনাময়', 'দায়িত্বজ্ঞানহীন', 'দোদুল্যমান', 'রাজকর্মচারী', 'অসদাচরণ']
['অগ্রহণযোগ্য', 'মহামূল্যবান', 'অনির্ভরশীল', 'একান্নবর্তী', 'পুনর্ব্যবহারযোগ্য', 'দোদুল্যমান', 'ব্যঞ্জনাময়', 'রাজকর্মচারী', 'দায়িত্বজ্ঞানহীন', 'এনক্রিপ্টেড']
['অগ্রহণযোগ্য', 'মহামূল্যবান', 'অনির্ভরশীল', 'পুনর্ব্যবহারযোগ্য', 'একান্নবর্তী', 'দোদুল্যমান', 'ব্যঞ্জনাময়', 'এনক্রিপ্টেড', 'রাজকর্মচারী', 'দায়িত্বজ্ঞানহীন']
