['বাগদাদ', 'মিশর', 'সিরিয়া', 'আনাতোলিয়া', 'মেসোপটেমিয়া', 'পারস্য', 'বুখারা', 'খোরাসান', 'আলেপ্পো', 'বসরা']
['মিশরীয়', 'মিশরের', 'ইতালীয়', 'চৈনিক', 'রোমের', 'আর্মেনিয়ান', 'পারস্যের', 'গ্রীক', 'রোমান', 'বাইজেন্টাইন']
['অস্ট্রেলীয়', 'ইংল্যান্ড', 'ইংরেজ', 'নিউজিল্যান্ডীয়', 'অস্ট্রেলিয়ান', 'স্কটল্যান্ডীয়', 'ইংল্যান্ডের', 'অস্ট্রেলিয়ার', 'নিউজিল্যান্ড', 'ভারতীয়']
['ইতালীয়', 'জার্মান', 'ফরাসী', 'ফরাসি', 'আমেরিকান', 'রাশিয়ান', 'ফ্রান্সের', 'জাপানি', 'পোলিশ', 'মার্কিন']
['জার্মান', 'ইতালীয়', 'জার্মানির', 'ফ্রান্সের', 'পোলিশ', 'ইতালির', 'রাশিয়ান', 'আমেরিকান', 'ইউরোপীয়', 'রুশ']
['মিশরীয়', 'ইতালীয়', 'গ্রিসের', 'ভারতীয়', 'চৈনিক', 'ব্রাজিলিয়ান', 'ক্রিস্টান', 'সেযুগের', 'গ্রীসের', 'মায়ান']
['ফরাসী', 'ইতালীয়', 'ফরাসি', 'পোলিশ', 'স্প্যানিশ', 'জার্মান', 'অস্ট্রিয়ান', 'আইরিশ', 'ইতালিয়ান', 'হাঙ্গেরীয়']
['ফরাসি', 'জাপানি', 'রাশিয়ান', 'ফরাসী', 'জার্মান', 'জাপান', 'জাপানী', 'রুশ', 'চীনা', 'ডাচ']
['কোরিয়ান', 'কোরীয়', 'কোরিয়া', 'কোরিয়ার', 'আমেরিকান', 'জার্মান', 'ভিয়েতনামি', 'কোরিয়ায়', 'আমেরিকার', 'কোরিয়']
['আইরিশ', 'ফরাসী', 'আর্মেনিয়ান', 'পোলিশ', 'সাইপ্রিয়ট', 'অস্ট্রিয়ান', 'ইতালীয়', 'ফরাসি', 'আর্মেনিয়', 'পোলীয়']
['আইরিশ', 'পোলিশ', 'ফরাসী', 'ইতালিয়ান', 'সাইপ্রিয়ট', 'ইতালীয়', 'আর্মেনিয়ান', 'অস্ট্রিয়ান', 'স্কটিশ', 'মেসিডোনিয়ান']
['ফ্রান্সিসকো', 'মেক্সিকো', 'কানেটিকাট', 'বস্টন', 'ফ্রেঞ্চ', 'ক্যানসাস', 'বাল্টিমোর', 'আইরিশ', 'পুয়ের্তো', 'মেক্সিকোর']
['', '', '', '', '', '', '', '', '', '']
['আইরিশ', 'পোলিশ', 'অস্ট্রিয়ান', 'ইতালিয়ান', 'বেলজিয়ান', 'মেক্সিকান', 'হাঙ্গেরীয়', 'ফরাসী', 'ইতালীয়', 'অস্ট্রীয়']
['পোলিশ', 'আইরিশ', 'ইতালিয়ান', 'অস্ট্রিয়ান', 'ইতালীয়', 'ফরাসী', 'বেলজিয়ান', 'হাঙ্গেরীয়', 'ফরাসি', 'মেক্সিকান']
['ইতালীয়', 'ফরাসী', 'মেক্সিকান', 'আইরিশ', 'ফরাসি', 'ইতালিয়ান', 'হাঙ্গেরীয়', 'বেলজিয়ান', 'অস্ট্রীয়', 'পোলিশ']
['অস্ট্রিয়ান', 'পোলিশ', 'ফরাসী', 'পোলীয়', 'আইরিশ', 'ফরাসি', 'হাঙ্গেরীয়', 'অস্ট্রীয়', 'আর্মেনিয়ান', 'রুশ']
['স্প্যানিশ', 'ফরাসী', 'ইতালীয়', 'অস্ট্রিয়ান', 'ইতালিয়ান', 'আইরিশ', 'ফরাসি', 'পোলিশ', 'স্পেনীয়', 'পর্তুগীজ']
['রুশ', 'ফরাসি', 'রাশিয়ান', 'ফরাসী', 'পোলিশ', 'জার্মান', 'রাশিয়া', 'ইতালীয়', 'রাশিয়ার', 'অস্ট্রিয়ান']
['আইরিশ', 'পোলিশ', 'অস্ট্রিয়ান', 'ইতালীয়', 'ফরাসী', 'বংশদ্ভুত', 'ইতালিয়ান', 'গায়ক-গীতিকার', 'মারিয়ান', 'ভাষাতত্ত্ববিদ']
['স্প্যানিশ', 'আইরিশ', 'ফরাসী', 'ইতালীয়', 'স্পেনীয়', 'ফরাসি', 'অস্ট্রিয়ান', 'ইতালিয়ান', 'ফ্রেঞ্চ', 'অস্ট্রীয়']
['আইরিশ', 'পোলিশ', 'ফরাসী', 'ইতালীয়', 'অস্ট্রিয়ান', 'ফরাসি', 'ইতালিয়ান', 'হাঙ্গেরীয়', 'সুইডিশ', 'ফিলিপিনো']
['আইরিশ', 'ইতালিয়ান', 'ফ্লোরেন্স', 'ইতালীয়', 'স্কটিশ', 'পোলিশ', 'অস্ট্রিয়ান', 'হাঙ্গেরীয়', 'মারিয়ান', 'বেলজিয়ান']
['ইতালিয়ান', 'ইন্দোনেশীয়', 'কুকি', 'ফিলিপিনো', 'পর্তুগীজ', 'আইরিশ', 'ফ্লেমিশ', 'লাও', 'মেক্সিকান', 'পর্তুগিজ']
['আইরিশ', 'পোলিশ', 'ফরাসী', 'অস্ট্রিয়ান', 'হাঙ্গেরীয়', 'ইতালীয়', 'ইতালিয়ান', 'অস্ট্রীয়', 'ফরাসি', 'রাশিয়ান']
['পোলিশ', 'ফরাসী', 'আইরিশ', 'অস্ট্রিয়ান', 'আলবেনীয়', 'আলবেনিয়ান', 'সাইপ্রিয়ট', 'আর্মেনিয়ান', 'পোলীয়', 'ইতালিয়ান']
['অস্ট্রেলিয়া', 'অস্ট্রেলীয়', 'আইরিশ', 'ইংল্যান্ড', 'ইংরেজ', 'নিউজিল্যান্ড', 'অস্ট্রেলিয়ান', 'বার্বাডোস', 'আর্থার', 'ফ্রাঙ্ক']
['ফরাসী', 'পোলিশ', 'অস্ট্রিয়ান', 'ফরাসি', 'অস্ট্রীয়', 'ইতালিয়ান', 'পোলীয়', 'ইতালীয়', 'হাঙ্গেরীয়', 'আইরিশ']
['আইরিশ', 'পোলিশ', 'ফরাসী', 'হাঙ্গেরীয়', 'পোলীয়', 'সুয়েডীয়', 'ইতালীয়', 'অস্ট্রিয়ান', 'ফরাসি', 'ইতালিয়ান']
['আইরিশ', 'ইতালীয়', 'স্পেনীয়', 'মেক্সিকান', 'ফরাসী', 'ফ্রেঞ্চ', 'স্প্যানিশ', 'ফরাসি', 'ইতালিয়ান', 'বেলজিয়ান']
['পোলিশ', 'অস্ট্রিয়ান', 'আইরিশ', 'ফরাসী', 'অস্ট্রীয়', 'হাঙ্গেরীয়', 'ইতালীয়', 'ইতালিয়ান', 'ফরাসি', 'পোলীয়']
['ইতালিয়ান', 'ফরাসী', 'পোলিশ', 'আইরিশ', 'ইতালীয়', 'মেক্সিকান', 'অস্ট্রিয়ান', 'ফিলিপিনো', 'ফরাসি', 'মঙ্গোলিয়ান']
['চীনা', 'জাপানি', 'চীন', 'চীনের', 'ফরাসি', 'চৈনিক', 'ফরাসী', 'জাপানী', 'ইন্দোনেশীয়', 'রাশিয়ান']
['আইরিশ', 'স্কটিশ', 'কানাডীয়', 'সুইডিশ', 'ফরাসী', 'জেফারসন', 'বেলজিয়ান', 'শিকাগো', 'ফরাসি', 'মেক্সিকান']
['আইরিশ', 'ফরাসী', 'ইতালীয়', 'পোলিশ', 'ইতালিয়ান', 'হাঙ্গেরীয়', 'অস্ট্রিয়ান', 'স্কটিশ', 'বেলজিয়ান', 'পোলীয়']
['আইরিশ', 'পোলিশ', 'অস্ট্রিয়ান', 'ফরাসী', 'হাঙ্গেরীয়', 'ইতালীয়', 'মেক্সিকান', 'বেলজিয়ান', 'ইতালিয়ান', 'ফরাসি']
['ইংল্যান্ড', 'ইংরেজ', 'আর্থার', 'অস্ট্রেলীয়', 'মরিস', 'আইরিশ', 'জ্যাক', 'অস্ট্রেলিয়া', 'চ্যাপম্যান', 'ফেন্ডার']
['ফরাসি', 'ফরাসী', 'ইতালীয়', 'জার্মান', 'স্প্যানিশ', 'পোলিশ', 'রাশিয়ান', 'রুশ', 'আইরিশ', 'স্পেনীয়']
['জার্মান', 'ফরাসি', 'পোলিশ', 'ফরাসী', 'রুশ', 'ইতালীয়', 'জার্মানি', 'রাশিয়ান', 'জার্মানির', 'স্প্যানিশ']
['অস্ট্রিয়ান', 'পোলিশ', 'চৈনিক', 'ইতালীয়', 'ফরাসী', 'ভাষাতত্ত্ববিদ', 'সাইপ্রিয়ট', 'ইতালিয়ান', 'পার্সিয়ান', 'আইরিশ']
['আইরিশ', 'ইতালিয়ান', 'ইতালীয়', 'কানাডীয়', 'মেক্সিকান', 'ফরাসী', 'স্কটিশ', 'অস্ট্রিয়ান', 'হাঙ্গেরীয়', 'রিকান']
['ইতালি', 'অস্ট্রিয়া', 'ইটালি', 'ডেনমার্ক', 'নেদারল্যান্ডস', 'স্ক্যান্ডিনেভিয়া', 'সুইজারল্যান্ড', 'হাঙ্গেরি', 'নরওয়ে', 'স্পেন']
['কোরিয়া', 'কোরিয়াতে', 'কোরিয়ায়', 'কোরীয়দের', 'বহেরাতলা', 'কোরিয়ার', 'আফ্রিকাকে', 'মেরুতে', 'আফ্রিকাসহ', 'গোলার্ধ']
['রাশিয়া', 'ইতালি', 'জার্মানি', 'অস্ট্রিয়া', 'ফ্রান্স', 'পোল্যান্ড', 'ডেনমার্ক', 'ইউক্রেন', 'বুলগেরিয়া', 'হাঙ্গেরি']
['ইসরায়েলি', 'উপকূলরক্ষী', 'ইসরাইলী', 'নাৎসী', 'এফ২৭', 'এমিলের', 'পাকহানাদার', 'দমকল', 'বায়ুসেনা', 'জেনিসারি']
['থাইল্যান্ড', 'শ্রীলংকা', 'মাদাগাস্কার', 'সিংগাপুর', 'মরিশাস', 'ভূটান', 'সুমাত্রা', 'বনবিড়াল', 'কম্বোডিয়া', 'লাওস']
['অস্ট্রিয়া', 'ইটালি', 'হাঙ্গেরি', 'শ্লেসভিগ', 'স্ক্যান্ডিনেভিয়া', 'রুমানিয়া', 'হাঙ্গেরী', 'জার্মানী', 'আল্পস', 'লিথুনিয়া']
['ব্রাজিল', 'আর্জেন্টিনা', 'অনূর্ধ্ব-২১', 'অনূর্ধ্ব-১৭', 'কোপা', 'অনূর্ধ্ব-২০', 'অনূর্ধ্ব-১৮', 'দিভিসিওন', 'নেদারল্যান্ডস', 'প্রিমেরা']
['ইটালি', 'লাক্সেমবার্গ', 'হাঙ্গেরী', 'রাজরাজেশ্বরী', 'মোল্দাভিয়া', 'রুমানিয়া', 'জামাতিয়া', 'লিথুনিয়া', 'স্লোভেনিয়া', 'পন্টিক-কাস্পিয়ান']
['গিরিরাজ', 'আধা-পেশাদার', 'সোমকে', 'কেরাল', 'রাজরাজেশ্বরী', 'বকুলতলা', 'বোপান্না', 'মলিনা', 'Caudal', 'বেরী']
['ডেনমার্ক', 'ফার্ণ', 'ইটালি', 'অনূর্ধ্ব-২১', 'নরওয়ে', 'স্লোভেনিয়া', 'কোস্টারিকা', 'লুক্সেমবার্গ', 'আরুবা', 'হাঙ্গেরী']
['জাপান', 'রাষ্ট্রায়ত্ত', 'এইচএএল', 'ন্যাভিগেশন', 'ব্রিটিশ', 'ইন্ডিয়া', 'ট্যুরিজম', 'ডিসকভারি', 'চীনা', 'যৌথ']
['কোরিয়ার', 'কোরীয়', 'কোরিয়ান', 'ইতালীয়', 'কোরিয়ায়', 'কোরিয়', 'ভিয়েতনামি', 'কোরিয়া', 'আমেরিকার', 'আমেরিকান']
['ইতালীয়', 'কাতালান', 'ফরাসী', 'সাইপ্রিয়ট', 'সুয়েডীয়', 'ফরাসি', 'নাইজেরীয়', 'ইতালিয়ান', 'ইরানী', 'গ্যালিসিয়']
['ইতালীয়', 'ইতালিয়ান', 'বিশ্বখ্যাত', 'সুইস', 'সাইপ্রিয়ট', 'ফরাসী', 'নাইজেরীয়', 'কানাডীয়', 'ইতালিয়', 'ফরাসি']
['ইতালীয়', 'স্পেনীয়', 'ইতালিয়ান', 'সান', 'স্প্যানিশ', 'মেক্সিকোর', 'নরওয়েজীয়', 'শিকাগো', 'কানাডীয়', 'পুয়ের্তো']
['ইতালীয়', 'নাইজেরীয়', 'নকশাবিদ', 'উচ্চাকাঙ্ক্ষী', 'বিশ্বখ্যাত', 'সুয়েডীয়', 'বেনামী', 'মার্জিত', 'সুইস', 'মুলানকে']
['ইতালীয়', 'ইতালিয়ান', 'সুইস', 'নরওয়েজীয়', 'ইতালিয়', 'কানাডীয়', 'সুইডিশ', 'নাইজেরীয়', 'ফরাসী', 'সুয়েডীয়']
['ইতালীয়', 'ইতালিয়ান', 'কানাডীয়', 'সুইস', 'ফরাসী', 'ইতালিয়', 'ফরাসি', 'নরওয়েজীয়', 'ওলন্দাজ', 'স্প্যানিশ']
['ইতালীয়', 'ইতালিয়ান', 'ফরাসি', 'ফরাসী', 'স্পেনীয়', 'নরওয়েজীয়', 'কানাডীয়', 'মেক্সিকান', 'ওলন্দাজ', 'ইতালিয়']
['ইতালীয়', 'ফরাসী', 'ফরাসি', 'ইতালিয়ান', 'হাঙ্গেরীয়', 'রাশিয়ান', 'অস্ট্রিয়ান', 'পোলীয়', 'ওলন্দাজ', 'জার্মান']
['ইতালীয়', 'ইতালিয়ান', 'স্পেনীয়', 'স্প্যানিশ', 'ফরাসী', 'ওলন্দাজ', 'ফরাসি', 'পর্তুগিজ', 'সুইস', 'কাতালান']
['ইতালীয়', 'রাশিয়ান', 'ফরাসি', 'রুশ', 'ফরাসী', 'জার্মান', 'স্প্যানিশ', 'স্পেনীয়', 'তুর্কি', 'জাপানি']
['ইতালীয়', 'নাইজেরীয়', 'ইতালিয়', 'সুইস', 'নকশাবিদ', 'নরওয়েজীয়', 'ইতালিয়ান', 'সুয়েডীয়', 'স্কটল্যান্ডীয়', 'কানাডীয়']
['ইতালীয়', 'স্পেনীয়', 'স্প্যানিশ', 'ফরাসী', 'ফরাসি', 'ইতালিয়ান', 'ওলন্দাজ', 'কাতালান', 'ডাচ', 'পর্তুগিজ']
['ইতালীয়', 'ইতালিয়ান', 'ফরাসী', 'ফরাসি', 'সুইডিশ', 'নরওয়েজীয়', 'সুয়েডীয়', 'সুইস', 'ইতালিয়', 'আমেরিকান']
['ইতালীয়', 'ইতালিয়ান', 'ইতালিয়', 'সুইস', 'কানাডীয়', 'সুইডিশ', 'ফরাসি', 'সুয়েডীয়', 'ফরাসী', 'নরওয়েজীয়']
['ইতালীয়', 'থাই', 'ইতালিয়ান', 'ইন্দোনেশীয়', 'চীনা', 'জাপানি', 'চাইনিজ', 'ভিয়েতনামী', 'পর্তুগিজ', 'ইন্দোনেশিয়ান']
['ইতালীয়', 'ইতালিয়ান', 'ফরাসী', 'রাশিয়ান', 'ফরাসি', 'হাঙ্গেরীয়', 'কানাডীয়', 'জার্মান', 'ইতালিয়', 'কাতালান']
['ইতালীয়', 'ফরাসী', 'ইতালিয়ান', 'সাইপ্রিয়ট', 'কাতালান', 'তুর্কি', 'সার্বীয়', 'ফরাসি', 'ইরানী', 'ইতালিয়']
['অস্ট্রেলীয়', 'অস্ট্রেলিয়া', 'অস্ট্রেলিয়ান', 'নিউজিল্যান্ড', 'ইংরেজ', 'স্কটল্যান্ডীয়', 'বার্বাডোস', 'ইংল্যান্ড', 'নিউজিল্যান্ডীয়', 'ত্রিনিদাদীয়']
['ইতালীয়', 'ফরাসী', 'ইতালিয়ান', 'ফরাসি', 'ইতালিয়', 'ওলন্দাজ', 'হাঙ্গেরীয়', 'অস্ট্রীয়', 'স্পেনীয়', 'অস্ট্রিয়ান']
['ইতালীয়', 'সুয়েডীয়', 'ইতালিয়ান', 'নাইজেরীয়', 'ইতালিয়', 'ফরাসী', 'কানাডীয়', 'নরওয়েজীয়', 'ফরাসি', 'হাঙ্গেরীয়']
['ইতালীয়', 'ব্রাজিলীয়', 'স্পেনীয়', 'সুইস', 'আর্জেন্টিনীয়', 'ওলন্দাজ', 'ব্রাজিলিয়ান', 'স্প্যানিশ', 'ইতালিয়ান', 'ফরাসী']
['ইতালীয়', 'ইতালিয়ান', 'ফরাসী', 'ফরাসি', 'হাঙ্গেরীয়', 'অস্ট্রিয়ান', 'রাশিয়ান', 'ওলন্দাজ', 'পোলিশ', 'অস্ট্রীয়']
['ইতালীয়', 'ইতালিয়ান', 'থাই', 'জাপানি', 'চীনা', 'ফরাসী', 'তুর্কি', 'ইন্দোনেশীয়', 'মঙ্গোলিয়ান', 'ফরাসি']
['চীনা', 'জাপানি', 'চীনের', 'ইতালীয়', 'চীন', 'ফরাসি', 'চৈনিক', 'থাই', 'জাপানী', 'ইন্দোনেশীয়']
['ইতালীয়', 'সুইস', 'কানাডীয়', 'নরওয়েজীয়', 'সুইডিশ', 'শিকাগো', 'ফরাসি', 'ইতালিয়', 'ইতালিয়ান', 'ফরাসী']
['ইতালীয়', 'ইতালিয়ান', 'কানাডীয়', 'ফরাসী', 'সুইস', 'কাতালান', 'নরওয়েজীয়', 'ইতালিয়', 'সুয়েডীয়', 'ব্রাজিলীয়']
['ইতালীয়', 'কানাডীয়', 'সুইস', 'ইতালিয়ান', 'নরওয়েজীয়', 'ফরাসী', 'ইতালিয়', 'ফরাসি', 'ওলন্দাজ', 'হাঙ্গেরীয়']
['ইংরেজ', 'ইংল্যান্ড', 'অস্ট্রেলীয়', 'স্কটল্যান্ডীয়', 'নিউজিল্যান্ডীয়', 'সারে', 'এমসিসি', 'ইয়র্কশায়ার', 'অস্ট্রেলিয়ান', 'ত্রিনিদাদীয়']
['ইতালীয়', 'ফরাসি', 'ফরাসী', 'জার্মান', 'স্প্যানিশ', 'স্পেনীয়', 'রাশিয়ান', 'জাপানি', 'ওলন্দাজ', 'ইতালিয়ান']
['ইতালীয়', 'জার্মান', 'ফরাসি', 'ফরাসী', 'রাশিয়ান', 'রুশ', 'স্প্যানিশ', 'স্পেনীয়', 'পোলিশ', 'জাপানি']
['ইতালীয়', 'চৈনিক', 'ইতালিয়ান', 'মিশরীয়', 'সাইপ্রিয়ট', 'গথিক', 'ইতালিয়', 'ফরাসী', 'জর্জিয়ান', 'ফরাসি']
['ইতালীয়', 'কানাডীয়', 'ইতালিয়ান', 'ইতালিয়', 'নরওয়েজীয়', 'সুইস', 'নকশাবিদ', 'ফরাসী', 'মেক্সিকান', 'স্কটল্যান্ডীয়']
['ভারতীয়', 'ভারত', 'বাংলা', 'চীনা', 'নেপালি', 'বাংলাদেশ', 'আফগান', 'জাপানি', 'জাপানী', 'ফরাসি']
['আইরিশ', 'ইতালীয়', 'ব্রাজিলিয়ান', 'নরওয়েজীয়', 'স্কটল্যান্ডীয়', 'ব্রাজিলীয়', 'অস্ট্রেলিয়ান', 'কাতালান', 'কানাডীয়', 'অস্ট্রেলীয়']
['ওয়াজিরিস্তানে', 'বহেরাতলা', 'কোরিয়াতে', 'কোরিয়ায়', 'আইচা', 'হামছাদী', 'মেরুকে', 'নাটাই', 'কোরীয়দের', 'ওয়াজিরিস্তানের']
['মোহনগঞ্জের', 'মঞ্জুরীকৃত', 'দরিরামপুর', 'সমাধিকে', 'যিয়ারত', 'নাহিয়ানের', 'মহারাষ্ট্রীয়', 'অপহরণকৃত', 'ত্রিশালের', 'নস্করা']
['যিয়ারত', 'সমাধিকে', 'নাহিয়ানের', 'মোহনগঞ্জের', 'পড়ুয়া', 'প্রাচীরঘেরা', 'মঞ্জুরীকৃত', 'গবর্নমেন্ট', 'জামশিদ', 'ক্যালিগ্রাফিতে']
['লুইজিয়ানার', 'ক্যানসাস', 'কানসাস', 'বার্মিংহ্যাম', 'সোয়ানসি', 'হ্যাভেনে', 'ব্রান্সউইক', 'সোনোমা', 'অ্যারিজোনার', 'থিওলজিক্যাল']
['', '', '', '', '', '', '', '', '', '']
['নাহিয়ানের', 'গবর্নমেন্ট', 'বাদককে', 'মুন্সিবাড়ি', 'মাত্তে', 'জামশিদ', 'মঞ্জুরীকৃত', 'গোক্ষুর', 'চিত্রসম্বলিত', 'হহয়']
['বেকিট', 'সোরোইয়ার', 'দালমা', 'গ্রান্ডি', 'কলোমবিয়া', 'ডাউনের', 'বিলিয়ার্ডস', 'গোক্ষুর', 'বাদককে', 'ডোমেনিকা']
['ব্যানফ', 'বিন্দুবাসিনী', 'কোড়ালিয়া', 'সাবাই', 'ব্রিউস্টার', 'হেলেনস', 'প্রদেশর', 'সানেশ্বর', 'বেকিট', 'পায়োহ']
['জাপানি', 'রোমানীয়', 'পোলীয়', 'পোলিশ', 'জাপানী', 'ইতালীয়', 'ইউক্রেনীয়', 'ফরাসী', 'বুলগেরীয়', 'ভিয়েতনামী']
['জাপানি', 'ইতালীয়', 'স্প্যানিশ', 'স্পেনীয়', 'ওলন্দাজ', 'ইতালিয়ান', 'পর্তুগিজ', 'পর্তুগীজ', 'সার্বীয়', 'বার্বার']
['জাপানি', 'রুশ', 'জাপানী', 'তুর্কি', 'ইতালীয়', 'ফরাসী', 'পোলিশ', 'জার্মান', 'ইউক্রেনীয়', 'ফরাসি']
['জামশিদ', 'মুন্সিবাড়ি', 'স্থাপিতঃ', 'নাহিয়ানের', 'মঞ্জুরীকৃত', 'বিন্দুবাসিনী', 'সদরপুরের', 'গোক্ষুর', 'মোহনগঞ্জের', 'চড়িদা']
['বেনফিকা', 'গেলিক', 'স্পার্তাক', 'সেল্টিক', 'বেকিট', 'জেনিত', 'ক্যামেরুনিয়ান', 'শাবি', 'ফেদারেশিও', 'মেরোনাইট']
['সনাতনবাদী', 'বেকিট', 'গ্রান্ডি', 'সোরোইয়ার', 'প্যালোলিথিলিক', 'মুন্সিবাড়ি', 'ডাবলিনের', 'ব্যানফ', 'কান্তন', 'ডাউনের']
['এলিমেন্টারি', 'সনাতনবাদী', 'গ্রান্ডি', 'বেকিট', 'গবর্নমেন্ট', 'পেশাদারভাবে', 'গল্\u200cফ', 'বাদককে', '১৭,৫০০', 'ভইট']
['ইন্দোনেশীয়', 'জাপানি', 'থাই', 'কুকি', 'ভিয়েতনামী', 'চাইনিজ', 'চীনা', 'চিনা', 'জাপানী', 'সোয়াহিলি']
['জাপানি', 'রোমানীয়', 'ইতালীয়', 'জাপানী', 'ইতালিয়ান', 'তুর্কি', 'ভিয়েতনামী', 'পোলিশ', 'ক্রোয়েশীয়', 'ইউক্রেনীয়']
['সনাতনবাদী', 'বিষমকামিতাকে', 'উপজাতিকে', 'মোহনগঞ্জের', 'অমুসলিমকে', 'গোজার', 'যিয়ারত', 'বিন্দুবাসিনী', 'কায়নুকা', 'উবাইদাকে']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নটিংহ্যামশায়ার', 'নিউজিল্যান্ড', 'সারে', 'বোল্যান্ড', 'ইয়ার্ডলি', 'তাস্বত্ত্বেও', 'বার্বাডোস', 'ডব্লিউএসসি']
['সনাতনবাদী', 'বেকিট', 'আরাগো', 'মেরোনাইট', 'বাদককে', 'বিন্দুবাসিনী', 'ভইট', 'হেলেনস', 'ব্রুনোকে', 'জেনিত']
['জাপানি', 'রোমানীয়', 'গ্যালিসিয়', 'সার্বীয়', 'জাপানী', 'ইতালীয়', 'জর্জীয়', 'পিরাহা', 'নেপালী', 'ইতালিয়']
['বেনফিকা', 'ফেদারেশিও', 'জুনিয়র্স', 'বুন্দেসলিগার', 'গল্\u200cফ', 'থিয়াগো', 'চ্যাম্পিয়েন্স', 'অনূর্ধ্ব-২১', 'জালৎসবুর্গ', 'গোলরক্ষক']
['সনাতনবাদী', 'বিষমকামিতাকে', 'বেকিট', 'মুন্সিবাড়ি', 'স্থাপিতঃ', 'মোহনগঞ্জের', 'বিন্দুবাসিনী', 'সেলটিক', 'যিয়ারত', 'উপজাতিকে']
['গোক্ষুর', 'মাঙ্গলুরুর', 'কোড়ালিয়া', 'উষনি', 'প্ৰসিদ্ধ', 'কুচকুচি', 'বাহলা', 'সবগুলোরই', 'মঞ্জুরীকৃত', 'সালাই']
['জাপানী', 'চীনা', 'জাপানি', 'ইন্দোনেশীয়', 'চৈনিক', 'মিশরীয়', 'ভিয়েতনামি', 'তিব্বতীয়', 'চিনা', 'তিব্বতী']
['এলিমেন্টারি', 'ট্রিনিট্রি', 'আ্যাডামস', 'ব্যানফ', 'ক্যালিফর্নিয়ার', 'হোয়ারটন', 'ভারমন্ট', 'বার্মিংহ্যাম', 'স্কটস', 'ডাবলিনের']
['সনাতনবাদী', 'মুন্সিবাড়ি', 'দরিরামপুর', 'ত্রিশালের', '২৩৩টি', 'গোক্ষুর', 'সদরপুরের', 'মোহনগঞ্জের', 'সানেশ্বর', 'স্থাপিতঃ']
['বেকিট', 'ডাউনের', '২৩৩টি', 'গল্\u200cফ', 'সনাতনবাদী', 'গ্রান্ডি', 'পেশাদারভাবে', 'ডাবলিনের', 'স্পার্তাক', 'স্কটিস']
['ইংল্যান্ড', 'সারে', 'নটিংহ্যামশায়ার', 'সাসেক্স', 'অনুশীলনীতে', 'ইয়র্কশায়ার', 'মাঝে-মধ্যেই', 'এসেক্স', 'ইয়ার্ডলি', 'ফেন্ডারকে']
['পিটার্সবার্গে', 'সেইন্ট', 'ফ্রেঞ্চ', 'ফ্লেমিশ', 'এডলফ', 'কিটস', 'শার্ল', 'সেল্টিক', 'শেঙ্ক', 'ক্রোইক্স']
['জাপানি', 'জার্মান', 'ইতালীয়', 'জাপানী', 'রুশ', 'পোলিশ', 'ফরাসী', 'ইউক্রেনীয়', 'ফরাসি', 'স্প্যানিশ']
['সমাধিকে', 'নাহিয়ানের', 'আকবরি', 'বক্ষস্থলে', 'অবশেষকে', 'স্তম্ভগুলোতে', 'সদরপুরের', 'অস্থিনির্মিত', 'অন্তঃপুরের', 'জামশিদ']
['সেকেন্ডারী', 'গোক্ষুর', 'ডাউনের', 'বগ', 'এলিমেন্টারি', 'গননায়', 'গাইরাস', 'গবর্নমেন্ট', 'বেকিট', 'ব্রিউস্টার']
['ইন্ডিয়া', 'ইণ্ডিয়া', 'ইন্ডিয়ার', 'হিন্দুস্থান', 'ইন্ডিয়ায়', 'মেম', 'ইন্ডিয়ান', 'পেট্রিয়ট', 'ক্যালকাটা', 'বেঙ্গল']
['কোল্টস', 'তাসমানিয়ান', 'বোল্যান্ড', 'আয়ারল্যান্ড', 'প্রতিযোগিতাধর্মী', 'সেভেন্\u200cস', 'ওয়েলসভিত্তিক', 'জ্যামাইকান', '১৫-সদস্যবিশিষ্ট', 'আন্তঃরাজ্যীয়']
['ক্রিস্টান', 'গ্যালিক', 'মানোএল', 'সাইপ্রিয়ট', 'গেলিক', 'আকান', 'ফিনিশীয়', 'হালাম', 'নকর', 'ফিনিশিয়ান']
['ক্রিস্টান', 'এলিমেন্টারি', 'গ্যালিক', 'ফ্লেমিশ', 'মানোএল', 'নকর', 'ইতালিয়ান', 'সাইপ্রিয়ট', 'বাহরাইনী', 'আকান']
['কানসাস', 'মেক্সিকো', 'ওকলাহোমা', 'সিনসিনাটি', 'ক্যানসাস', 'কানেটিকাট', 'গুয়াতেমালা', 'কুইবেক', 'কেবেক', 'ফ্লেমিশ']
['ক্রিস্টান', 'বাহরাইনী', 'প্রশাসককে', 'পড়ুয়া', 'মধ্যবয়স্ক', 'এলিমেন্টারি', 'পেনকে', 'গ্যালিক', 'টিনএজার', 'পুলম্যান']
['ইতালিয়ান', 'গেলিক', 'ফ্লেমিশ', 'মেক্সিকান', 'কুকি', 'ইটালিয়ান', 'মানোএল', 'স্কটিশ', 'ওগি', 'স্কট্\u200cস']
['ইতালিয়ান', 'ফ্লেমিশ', 'ফ্রেঞ্চ', 'স্লোভাক', 'মেক্সিকান', 'রিকান', 'কানাডিয়ান', 'ইন্দোনেশিয়ান', 'কুকি', 'গেলিক']
