['মেহেদুল', 'হেলেদুলে', 'বহুদেশে', 'দেহগুলো', 'জায়েদুল', 'হেদায়েতুল', 'সেহুন্দা', 'দোয়েল', 'লেন্দুপ', 'সায়েদুল']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'একই', 'এই', 'একা', 'একং', 'একি', 'একে', 'একজ', 'একর', 'একন']
['দুই', 'দেবু', 'বেদে', 'দুবে', 'দেবে', 'দেগু', 'দেহু', 'দেশে', 'দেহে', 'রুদে']
['তিন', 'তিনে', 'তিনই', 'তিনু', 'নিতে', 'নিত', 'তনি', 'তিনি', 'নতি', 'তিনা']
['চারে', 'চার', 'চাই', 'চাইর', 'চারই', 'চারু', 'চারী', 'চারো', 'আচারে', 'চারের']
['পাঁচে', 'চাপুই', 'পাঁচ', 'পাঁচু', 'পাঁচেই', 'পাঁচেক', 'পাঁচের', 'পাঁচেও', 'বাঁচে', 'পেঁচা']
['ছয়', 'ছয়ে', 'বছয়', 'হয়ছে', 'রয়ছে', 'জয়ে', 'ছয়শ', 'হয়েছ', 'বয়ে', 'ছয়ের']
['সাত', 'সাতে', 'সাতই', 'তাসে', 'সাতো', 'বসাতে', 'সাই', 'হাসতে', 'সারে', 'সাজতে']
['আট', 'ইট', 'আই', 'আটা', 'আটে', 'আটি', 'আঁট', 'আটক', 'আল', 'আহট']
['নয়', 'নয়ে', 'নেয়', 'নে', 'নড়ে', 'নৈ', 'নয়৷', 'টু', 'বয়ে', 'নু']
['দশ', 'দই', 'দল', 'দশা', 'দন', 'দি', 'দম', 'দহ', 'দং', 'দশম']
['গামেরো', 'এগারো', 'এগারোতে', 'রোজগারে', 'ওরেগানো', 'যোগাবে', 'বেরগামো', 'ইমাগো', 'সারোগেট', 'যোগানে']
['বোরো', 'বারো', 'বারে', 'বারোতে', 'বোররে', 'ঘোরাবে', 'বোলারে', 'মারো', 'হাবেরী', 'লাহোরে']
['তেরো', 'পেরোতে', 'বেরোতে', 'তোরে', 'রোধে', 'তেরে', 'রেতে', 'যেতো', 'নেতো', 'জেতো']
['চৌদ্দ', 'চোদ্দ', 'চোদ্দো', 'রৌদ্রে', 'বৌদ্ধের', 'চন্দ্রে', 'বোর্দে', 'দৌড়েও', 'বৌদ্ধ', 'পেদ্রু']
['সেরেনো', 'পেরোনো', 'পনেরো', 'পেরোলে', 'রেপোশে', 'বেরোনো', 'মোরেনো', 'পেরোতে', 'কোনেরু', 'বেরোলে']
['ষোলো', 'ষোল', 'রোষে', 'শোলে', 'রোলে', 'হোলে', 'কোষে', 'সোলে', 'পোষে', 'হেলো']
['সতেরো', 'বেরোতে', 'সেহোরে', 'পেরোতে', 'জোসেতে', 'সেরেনো', 'স্রোতে', 'মেরুতে', 'বেরুতে', 'সোতেরের']
['আঠারো', 'আঠেরো', 'বোরো', 'আঠারো', 'আঁধারে', 'আঠালো', 'গামেরো', 'আঠারোর', 'নাটোরে', 'ঘোরালে']
['উনিশে', 'উনিশ', 'উনিই', 'উনিশের', 'উনিশশো', 'নিউই', 'নিউনেস', 'উইনি', 'নিউরনে', 'মিশনে']
['বিশে', 'বিশ', 'শিবে', 'বিশু', 'বিশী', 'শিবই', 'বিই', 'শিবু', 'বিশি', 'বেশি']
['একুশে', 'একুশের', 'মুকেশ', 'বুশকে', 'একুশ', 'সুকেশ', 'এঁকে', 'পশুকে', 'শুকে', 'একপেশে']
['বাইশে', 'বাইশ', 'যাইবে', 'রাইশে', 'বাইরে', 'পাইবে', 'যাবেই', 'বাইরেই', 'গাইবে', 'ভাইবে']
['লেইতে', 'মেইতেই', 'দেশেই', 'যেতেই', 'তেইদে', 'তেইশ', 'পেতেই', 'লেইনে', 'হেইলে', 'মেইলে']
['বিশ্বে', 'চব্বিশ', 'বিশ্বেই', 'ছাব্বিশে', 'বিশ্বকে', 'বিশ্বেও', 'বিশ্বের', 'বিশ্বেরই', 'বিশ্বকেই', 'বিবেচ্য']
['পঁচিশে', 'পঁচিশের', 'পঁচিশ', 'পঁচাশি', 'পাঁচশো', 'চিপলুন', 'পুলিশই', 'পঁচিশজন', 'পঁচিশটি', 'ইশিবপুর']
['ছাব্বিশে', 'মহাবিশ্বে', 'ছাব্বিশ', 'মহাবিশ্বের', 'সারাবিশ্বে', 'বিশ্বেরই', 'রাব্বিকে', 'ছাব্বের', 'বিশ্বাসে', 'মহাবিশ্বকে']
['শাসাতে', 'সাতাইশ', 'বাসাতে', 'বাতাসে', 'হাসাতে', 'সালাতে', 'সাতাশ', 'সানাতে', 'সারাতে', 'সাজাতে']
['আটাশ', 'এটাশে', 'আশালয়', 'আশাটা', 'আমাশয়', 'আইলায়', 'শাটেল', 'আশায়', 'ঘটালে', 'আয়শা']
['নিঃশর্তে', 'মিশ্রনে', 'মিশ্রনের', 'কার্নিশে', 'বিনাশর্তে', 'মিত্রদেশ', 'রশ্মিতে', 'হরিজন্তে', 'নথিপত্রে', 'আশ্বিনের']
['বিক্রিতে', 'শক্তিবলে', 'মিশ্রকে', 'শক্তিদের', 'কাশ্মিরে', 'অতিক্রমে', 'মিত্রকে', 'বিতর্কেই', 'মিশ্রণকে', 'বিতর্কেও']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
