['মুরতা', 'মুরাত', 'মুতার', 'তোমরা', 'বুমরা', 'তুরান', 'মুরাতা', 'তুবার', 'হুমরা', 'তুরার']
['গাত্রবর্ন', 'ছাত্রেরা', 'গাত্রবর্ণ', 'ছাত্রত্ব', 'ছাত্তারের', 'ছাত্রের', 'ছাত্রীরা', 'বার্ত্রা', 'ছাত্রাবাসের', 'ছাত্রীর']
['ধনী', 'ধরনী', 'ধমনী', 'ধ্বনী', 'ধনীর', 'ধরনে', 'বেনী', 'নীরবে', 'ধনু', 'মধুবনী']
['ভাবই', 'ভাই', 'ভাইব', 'ভাইর', 'ভাবাই', 'ভাগই', 'ইভার', 'ভাইও', 'ভাইন', 'লাভই']
['শিক্ষাবর্ষ', 'সর্বশিক্ষা', 'প্রশিক্ষক', 'শিক্ষাক্রম', 'ধর্মশিক্ষক', 'শিক্ষকেরা', 'প্রশিক্ষকরা', 'শিক্ষকরা', 'অক্ষরক্রমিক', 'সার্বক্ষনিক']
['গরু', 'গরুর', 'গুরগ', 'গুবরে', 'বনগরু', 'গর্ব', 'গরুই', 'গরে', 'গরুও', 'রগরগে']
['ছেলেরে', 'লেগেছে', 'মেলেছে', 'ফেলেছে', 'জ্বলেছে', 'খেলেছে', 'চলেগেছে', 'চেলেছে', 'লেবেলে', 'রেবেলো']
['মেয়েরে', 'ঘেমেনেয়ে', 'নেচেগেয়ে', 'মেয়েকে', 'ছেলেমেয়ে', 'মেয়ে', 'বেয়ে', 'গেয়েছে', 'মেয়ের', 'পেয়েছে']
['ভাবই', 'ভাই', 'ভাইব', 'ভাইর', 'ভাবাই', 'ভাগই', 'ইভার', 'ভাইও', 'ভাইন', 'লাভই']
['বাজপাখি', 'পাখিরা', 'পাখির', 'পাখি', 'পরিখা', 'পাখার', 'পাখনার', 'পাখিরও', 'ফাখরি', 'বারখা']
['সদস্যর', 'সমাসবদ্ধ', 'অবসাদগ্রস্থ', 'সেনাসদস্য', 'সদস্য', 'সদস্যসহ', 'সদস্যও', 'সদস্যা', 'বনদস্যু', 'সদস্যগন']
['সচিবও', 'সচিব', 'সচিবসহ', 'সচিবগণ', 'বচসার', 'সবজির', 'মহাসচিব', 'বিচরন', 'উপসচিব', 'শিবচর']
['প্রদর্শক', 'দর্শকেরও', 'দর্শকরা', 'বঙ্গদর্শন', 'দর্শকদেরও', 'দর্শকখরা', 'দর্শকেরা', 'ঈশ্বরদীর', 'শব্দার্থক', 'দুরদর্শন']
['শিক্ষাবর্ষ', 'সর্বশিক্ষা', 'প্রশিক্ষক', 'শিক্ষাক্রম', 'ধর্মশিক্ষক', 'শিক্ষকেরা', 'প্রশিক্ষকরা', 'শিক্ষকরা', 'অক্ষরক্রমিক', 'সার্বক্ষনিক']
['সুগন্ধী', 'বেসুরো', 'সুধী', 'সুধীরকে', 'চোধুরী', 'সুধীরের', 'সুধীর', 'ডুবুরী', 'সুগ্রীব', 'সুমেরু']
['কর্মসম্পাদন', 'চমকপ্রদভাবে', 'রামপ্রসাদকে', 'সম্পাদকরা', 'সম্পাদনকারী', 'মানবসম্পদের', 'সংবাদকর্মী', 'সহসম্পাদকের', 'মার্কসবাদী', 'কার্যসম্পাদন']
['অন্তর্বর্তী', 'মন্ত্রীত্ব', 'মন্ত্রীত্বের', 'পৌরমন্ত্রী', 'নৌমন্ত্রীর', 'ধর্মমন্ত্রী', 'শ্রমমন্ত্রী', 'নৌমন্ত্রী', 'বস্ত্রমন্ত্রী', 'স্বতন্ত্রধর্মী']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
