['আপনারা', 'তোমরা', 'আপনি', 'তুমি', 'তোমরা', 'তোমাদের', 'তুই', 'তোমারা', 'আমরা', 'আপোন']
['সে', 'ő', 'তিনি', 'তি\u200cনি', 'তিনিই', 'উনি', 'তাকেঁ', 'তার', '\u200b\u200bতার', 'সেঃ']
['তিনি', 'তি\u200cনি', 'সে', 'ő', 'তিনিই', 'উনি', 'উনিই', 'তাঁর', 'وَإِنَّهُ', 'তার']
['শিক্ষকমণ্ডলী', 'শিক্ষকমন্ডলী', 'শিক্ষকমণ্ডলীর', 'শিক্ষক', 'শিক্ষকমন্ডলীঃ', 'শিক্ষকনেতা', 'শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ']
['মাঝি', 'মাঝির', 'মাঝিরা', 'মাঝিকে', 'মাঝিদের', 'মাদল', 'মাঝিড়া', 'মেরাজ', 'মণ্ডলী', 'মেথর']
['ছাত্রসমাজ', 'ছাত্রদল', 'ছাত্রশিবির', 'স্টুডেন্ট', 'ছাত্রদলের', 'ছাত্রছাত্রী', 'স্টুডেনিকা', 'ছাত্রসমাজের', 'ছাত্র', 'ছাত্রজোট']
['ধনী', 'ধনাঢ্য', 'ধনবান', 'ধনীর', 'সমৃদ্ধশালী', 'ধনশালী', 'সম্পদশালী', 'ধনীরা', 'সমৃদ্ধিলাভ', 'ধনীক']
['ভাই', 'ভাইয়েরা', 'ভাইও', 'ভাইয়ে', 'ভাইয়ের', 'ভাইবোন', 'ভাইয়া', 'ভাইটি', 'ভাইরা', 'ভাইয়েরা']
['শিক্ষকমণ্ডলী', 'শিক্ষকমন্ডলী', 'শিক্ষকমণ্ডলীর', 'শিক্ষক', 'শিক্ষকমন্ডলীঃ', 'শিক্ষকনেতা', 'শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ']
['গরু', 'গরুই', 'গরুর', 'গরুড়', 'গাভী', 'গরুও', 'গরুটি', 'গরুগুলো', 'গরুদের', 'ছাগল']
['ছেলে', 'ছে\u200cলে', 'ছেলেমেয়ে', 'ছেলেমেয়ে', 'ছেলেমানুষি', 'ছেলের', 'ছেলেপক্ষ', 'ছেলেবন্ধু', 'ছেলেমেয়েই', 'ছেলেটার']
['মেয়ে', 'মেয়ে', 'বালিকা', 'মেয়েপাখি', 'মেয়েলি', 'মেয়েজামাই', 'মেয়েলী', 'মেয়েপাখির', 'মেয়েরা', 'মেয়েরে']
['ভাই', 'ভাইয়েরা', 'ভাইও', 'ভাইয়ে', 'ভাইয়ের', 'ভাইবোন', 'ভাইয়া', 'ভাইটি', 'ভাইরা', 'ভাইয়েরা']
['পাখি', 'পাখির', 'পাখিগুলি', 'পাখিমারা', 'পাখিরালয়', 'পাখিরা', 'পাখিটা', 'পাখিরাই', 'পাখিটি', 'পাখিসেবার']
['সদস্যরাষ্ট্র', 'সদস্যদরা', 'সদস্য', 'সদস\u200d্য', 'সদস্যা', 'সদস্যরাষ্ট্রের', 'সদস্যগন', 'সদস্যভূক্ত', 'সদস্যর', 'সদস্যেরা']
['সচিবালয়', 'সচিবালয়', 'সচিবালয়ের', 'সচিবালয়ের', 'সচিব', 'সচিবালয়কে', 'সচিবেরা', 'সচিবের', 'সচিবগণ', 'সচিবালয়ে']
['দর্শকখরা', 'দর্শকসারি', 'দর্শকগন', 'দর্শক', 'দর্শকগণ', 'দর্শকবৃন্দ', 'দর্শকরা', 'দর্শকেরা', 'দর্শকসংখ্যা', 'দর্শকেরাও']
['শিক্ষকমণ্ডলী', 'শিক্ষকমন্ডলী', 'শিক্ষকমণ্ডলীর', 'শিক্ষক', 'শিক্ষকমন্ডলীঃ', 'শিক্ষকনেতা', 'শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ']
['সুধী', 'সুধীর', 'সুহৃদ', 'সুবহ', 'সুভদ্র', 'সুধীরা', 'সুশীতল', 'সুগত', 'সুষম', 'সুমেধ']
['পণ্ডিত', 'পণ্ডিতবর্গ', 'পণ্ডিতই', 'পণ্ডিতের', 'পণ্ডিতবিহার', 'পাণ্ডিত্য', 'পাণ্ডিত্যের', 'পণ্ডিতবিহারের', 'পণ্ডিতেরা', 'পণ্ডিতরা']
['মন্ত্রীতনয়', 'মন্ত্রীপরিষদ', 'মন্ত্রীসভা', 'মন্ত্রিসভার', 'মন্ত্রিপরিষদ', 'মন্ত্রিসভা', 'মন্ত্রীসভার', 'মন্ত্রনালয়', 'মন্ত্রিপরিষদের', 'মন্ত্রি']
['আমি', 'মই', 'إِنِّي', 'আমিতো', 'আমিই', 'আমিবা', 'আমিয়াখুম', 'অামি', 'আমিমুল', 'আমারে']
['তুমি', 'আপনারা', 'আপনি', 'তোমরা', 'তোমরা', 'তুই', 'তোমারা', 'اِنَّكَ', 'তোমরাই', 'আপনারাই']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'তিনিই', 'উনি', 'সেঃ', 'ওঁর', 'উনিই', 'তাকেঁ']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'ő', 'উনি', 'উনিই', 'ওঁর', 'তাঁর', 'এঁর']
['শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকগণ', 'শিক্ষকনেতারা', 'শিক্ষকরা', 'শিক্ষক', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকমন্ডলী', 'শিক্ষকেরাই']
['মাঝি', 'মাঝিরা', 'মাঝির', 'মাঝিদের', 'মাঝিকে', 'নেতৃবর্গ', 'মেরাজ', 'মেথর', 'মঠাধিকারী', 'মেয়ররা']
['ছাত্রবৃন্দ', 'ছাত্রসমাজ', 'ছাত্রগণ', 'ছাত্রছাত্রী', 'ছাত্র', 'ছাত্রেরা', 'ছাত্রনেতারা', 'ছাত্ররা', 'ছাত্রছাত্রীরা', 'শিক্ষার্থীবৃন্দ']
['ধনীরা', 'ধনী', 'ধনীর', 'ধনীদের', 'ধনীক', 'ধনশালী', 'ধনবান', 'ধনকুবেররা', 'ধনাঢ্য', 'সমৃদ্ধশালী']
['ভাইয়েরা', 'ভাইরা', 'ভাই', 'ভাইয়েরা', 'ভাইয়ের', 'ভাইদের', 'ভাইও', 'ভাইয়ে', 'ভাইকিঙেরা', 'ভাইয়ের']
['শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকগণ', 'শিক্ষকনেতারা', 'শিক্ষকরা', 'শিক্ষক', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকমন্ডলী', 'শিক্ষকেরাই']
['গরু', 'গরুদের', 'গরুগুলো', 'গরুর', 'গরুড়', 'গরুই', 'গাভী', 'গরুও', 'ছাগল', 'গরুমারা']
['ছেলে', 'ছে\u200cলে', 'ছেলেরা', 'ছেলেমেয়ে', 'ছেলেমানুষি', 'ছেলেমেয়ে', 'ছেলের', 'ছেলেরাই', 'ছেলেমেয়েরা', 'ছেলেমেয়েরা']
['মেয়ে', 'মেয়ে', 'মেয়েরা', 'মেয়েরা', 'মেয়েরাই', 'মেয়েপাখি', 'মেয়েদের', 'বালিকা', 'মেয়েলী', 'মেয়েটা']
['ভাইয়েরা', 'ভাইরা', 'ভাই', 'ভাইয়েরা', 'ভাইয়ের', 'ভাইদের', 'ভাইও', 'ভাইয়ে', 'ভাইকিঙেরা', 'ভাইয়ের']
['পাখি', 'পাখিগুলি', 'পাখিরা', 'পাখিরাই', 'পাখির', 'পাখিগুলো', 'পাখিমারা', 'পাখিদের', 'পাখিটা', 'পাখিই']
['সদস্যদরা', 'সদস্যা', 'সদস্য', 'সদস\u200d্য', 'সদস্যগন', 'সদস্যারা', 'সদস্যেরা', 'সদস্যগুলি', 'সদস্যবৃন্দ', 'সদস্যরাষ্ট্র']
['সচিবগণ', 'সচিবেরা', 'সচিব', 'সচিবের', 'সচিবদের', 'সচিবও', 'সচিবালয়', 'সচিবালয়', 'সচিবালয়ের', 'সচিবকে']
['দর্শকগন', 'দর্শকখরা', 'দর্শকবৃন্দ', 'দর্শকগণ', 'দর্শকরা', 'দর্শকেরা', 'দর্শক', 'দর্শকসারি', 'দর্শকেরাও', 'ভিক্ষুগণ']
['শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকগণ', 'শিক্ষকনেতারা', 'শিক্ষকরা', 'শিক্ষক', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকমন্ডলী', 'শিক্ষকেরাই']
['সুধী', 'সুধীরা', 'সুধীজন', 'সুধীর', 'সুহৃদ', 'সুধীজনের', 'সুভদ্র', 'সুগ্রীব', 'সুগত', 'সুপ্রিয়']
['সম্পাদক', 'সম্পাদকগণ', 'সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকদের', 'সম্পাদকের', 'সম্পাদকমণ্ডলী', 'সম্পাদকও', 'সম্পাদকীয়', 'সম্পাদকঃ']
['মন্ত্রীগণ', 'মন্ত্রীরা', 'মন্ত্রী', 'মন্ত্রীপরিষদের', 'মন্ত্রীগণের', 'মন্ত্রীতনয়', 'মন্ত্রীদের', 'মন্ত্রীর', 'মন্ত্রীপরিষদ', 'সরকারমন্ত্রী']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
