['ব্র্গ্যাদ', 'গারুদা', 'বাগদাদ', 'বাগদা', 'ব্রিগ', 'গ্রিড', 'ব্রাগা', 'গড়াইয়া', 'গ্রিডের', 'গজরাজ']
['বর', 'বণী', 'বৌমার', 'বুর', 'বী', 'বোনর', 'বরই', 'বরা', 'বিরুনী', 'বীণ']
['স্ত্রী', 'পত্নী', 'স্ত্রীর', 'বউ', 'পত্নীর', 'স্বামী', 'স্ত্রীলোক', 'বউয়ের', 'স্ত্রীয়ের', 'স্ত্রীই']
['রাজারাণী', 'রানী', 'রানীর', 'রানি', 'রাজকন্যা', 'রাণী', 'রাজকন্যার', 'রাজকুমারী', 'রানির', 'রাজসূয়']
['মহিলা', 'নারীপুরুষ', 'নারী', 'নারীবাদি', 'মহিলার', 'নারীসঙ্গ', 'মহিলাবিষয়ক', 'মহিলাই', 'স্ত্রীলোক', 'পুরুষ']
['রাজকন্যা', 'রাজকন্যার', 'রাজকুমারী', 'রাজারাণী', 'রানীর', 'রাজবধূর', 'রাজবধূ', 'রাজকুমারীর', 'রানী', 'রাজসূয়']
['কন্যা', 'কন্যাসন্তান', 'কন্যাশিশু', 'মেয়ে', 'মেয়ে', 'কন্যাশিশুটি', 'বালিকা', 'শিশুকন্যা', 'শিশুকন্যার', 'মেয়ের']
['কন্যা', 'কন্যাসন্তান', 'কন্যাশিশু', 'মেয়ে', 'মেয়ে', 'কন্যাশিশুটি', 'বালিকা', 'শিশুকন্যা', 'শিশুকন্যার', 'মেয়ের']
['শ্বাশুড়ি', 'খালা', 'বোন', 'নাতনি', 'বোনের', 'ঠাকুমা', 'আপু', 'শাশুড়ি', 'ভগিনী', 'শাশুড়ী']
['কন্যা', 'কন্যাসন্তান', 'কন্যাশিশু', 'মেয়ে', 'মেয়ে', 'কন্যাশিশুটি', 'বালিকা', 'শিশুকন্যা', 'শিশুকন্যার', 'মেয়ের']
['বাবামা', 'মাতাপিতা', 'মাতা', 'মাতৃ', 'মাতৃকা', 'বাবা', 'মা', 'নানী', 'মায়ের', 'মাতাই']
['বাবামা', 'মাতাপিতা', 'মাতা', 'মাতৃ', 'মাতৃকা', 'বাবা', 'মা', 'নানী', 'মায়ের', 'মাতাই']
['দাদীমা', 'শ্বাশুড়ি', 'নানী', 'দিদি', 'ঠাকুমা', 'কাকা', 'দিদিমা', 'মাতাপিতা', 'সৎমা', 'শাশুড়ি']
['দাদীমা', 'শ্বাশুড়ি', 'নানী', 'দিদি', 'ঠাকুমা', 'কাকা', 'দিদিমা', 'মাতাপিতা', 'সৎমা', 'শাশুড়ি']
['নাতনী', 'নাতনি', 'নাতনীর', 'নাতি', 'নাতির', 'নাতিরা', 'নাতনির', 'নানী', 'সৎবোন', 'শাশুড়ী']
['বর', 'বণী', 'বৌমার', 'বুর', 'বী', 'বোনর', 'বরই', 'বরা', 'বিরুনী', 'বীণ']
['স্ত্রী', 'পত্নী', 'স্ত্রীর', 'বউ', 'পত্নীর', 'স্বামী', 'স্ত্রীলোক', 'বউয়ের', 'স্ত্রীয়ের', 'স্ত্রীই']
['রাজারাণী', 'রানী', 'রানীর', 'রানি', 'রাজকন্যা', 'রাণী', 'রাজকন্যার', 'রাজকুমারী', 'রানির', 'রাজসূয়']
['মহিলা', 'নারীপুরুষ', 'নারী', 'নারীবাদি', 'মহিলার', 'নারীসঙ্গ', 'মহিলাবিষয়ক', 'মহিলাই', 'স্ত্রীলোক', 'পুরুষ']
['রাজকুমারী', 'রাজকন্যা', 'রাজকন্যার', 'রাজকুমারীর', 'রাজারাণী', 'রানীর', 'রানী', 'রাজবধূর', 'রাজবধূ', 'রানি']
['কন্যা', 'কন্যাসন্তান', 'কন্যাশিশু', 'মেয়ে', 'মেয়ে', 'কন্যাশিশুটি', 'বালিকা', 'শিশুকন্যা', 'শিশুকন্যার', 'মেয়ের']
['কন্যা', 'কন্যাসন্তান', 'কন্যাশিশু', 'মেয়ে', 'মেয়ে', 'কন্যাশিশুটি', 'বালিকা', 'শিশুকন্যা', 'শিশুকন্যার', 'মেয়ের']
['শ্বাশুড়ি', 'খালা', 'বোন', 'নাতনি', 'বোনের', 'ঠাকুমা', 'আপু', 'শাশুড়ি', 'ভগিনী', 'শাশুড়ী']
['কন্যা', 'কন্যাসন্তান', 'কন্যাশিশু', 'মেয়ে', 'মেয়ে', 'কন্যাশিশুটি', 'বালিকা', 'শিশুকন্যা', 'শিশুকন্যার', 'মেয়ের']
['আম্মু', 'মামা', 'আম্মুর', 'মাক', 'দাদীমা', 'মা', 'ঠাকুমা', 'মামাতো', 'মাও', 'দিদিমা']
['আম্মু', 'মামা', 'আম্মুর', 'মাক', 'দাদীমা', 'মা', 'ঠাকুমা', 'মামাতো', 'মাও', 'দিদিমা']
['বর', 'বণী', 'বৌমার', 'বরা', 'বুর', 'বরই', 'ম্রা', 'মূর', 'মের', 'বী']
['স্ত্রী', 'পত্নী', 'স্ত্রীর', 'স্ত্রীই', 'পত্নীর', 'স্বামী', 'স্ত্রীয়ের', 'বউ', 'স্ত্রীলোক', 'মাধবী']
['রাণী', 'রানী', 'রাজারাণী', 'রানীর', 'রানি', 'রাজকুমারী', 'রাজকন্যা', 'রাণীর', 'রাজসূয়', 'রাজকন্যার']
['নারী', 'মহিলা', 'নারীপুরুষ', 'মহিলার', 'মহিলাই', 'পুরুষ', 'মহিলাবিষয়ক', 'নারীই', 'মহিলারাই', 'নারী৷']
['মেয়ে', 'মেয়ে', 'মেয়েই', 'মেয়েটা', 'কন্যা', 'মেয়ের', 'ছেলে', 'ছে\u200cলে', 'বালিকা', 'মেয়ের']
['মেয়ে', 'মেয়ে', 'মেয়েই', 'মেয়েটা', 'কন্যা', 'মেয়ের', 'ছেলে', 'ছে\u200cলে', 'বালিকা', 'মেয়ের']
['মামা', 'মামার', 'মা', 'মায়ে', 'আম্মা', 'মাক', 'আম্মু', 'মাম', 'মামণি', 'মাঃ']
['মেয়ে', 'মেয়ে', 'মেয়েই', 'মেয়েটা', 'কন্যা', 'মেয়ের', 'ছেলে', 'ছে\u200cলে', 'বালিকা', 'মেয়ের']
['বোন', 'আপু', 'বোনের', 'বোনটি', 'ভাই', 'বোনকে', 'ভাইয়া', 'ভাইবোন', 'ভাইয়েরা', 'বোনও']
['বোন', 'আপু', 'বোনের', 'বোনটি', 'ভাই', 'বোনকে', 'ভাইয়া', 'ভাইবোন', 'ভাইয়েরা', 'বোনও']
['আম্মু', 'মামা', 'আম্মুর', 'মাক', 'দাদীমা', 'মা', 'ঠাকুমা', 'মামাতো', 'মাও', 'দিদিমা']
['আম্মু', 'মামা', 'আম্মুর', 'মাক', 'দাদীমা', 'মা', 'ঠাকুমা', 'মামাতো', 'মাও', 'দিদিমা']
['বর', 'বণী', 'বৌমার', 'বরা', 'বুর', 'বরই', 'ম্রা', 'মূর', 'মের', 'বী']
['স্ত্রী', 'পত্নী', 'স্ত্রীর', 'স্ত্রীই', 'পত্নীর', 'স্বামী', 'স্ত্রীয়ের', 'বউ', 'স্ত্রীলোক', 'মাধবী']
['রাণী', 'রানী', 'রাজারাণী', 'রানীর', 'রানি', 'রাজকুমারী', 'রাজকন্যা', 'রাণীর', 'রাজসূয়', 'রাজকন্যার']
['নারী', 'মহিলা', 'নারীপুরুষ', 'মহিলার', 'মহিলাই', 'পুরুষ', 'মহিলাবিষয়ক', 'নারীই', 'মহিলারাই', 'নারী৷']
['মেয়ে', 'মেয়ে', 'মেয়েই', 'মেয়েটা', 'কন্যা', 'মেয়ের', 'ছেলে', 'ছে\u200cলে', 'বালিকা', 'মেয়ের']
['মেয়ে', 'মেয়ে', 'মেয়েই', 'মেয়েটা', 'কন্যা', 'মেয়ের', 'ছেলে', 'ছে\u200cলে', 'বালিকা', 'মেয়ের']
['আপু', 'খালা', 'মামাতো', 'ঠাকুমা', 'বোন', 'চাচা', 'আম্মু', 'শ্বাশুড়ি', 'বোনের', 'আম্মুর']
['মেয়ে', 'মেয়ে', 'মেয়েই', 'মেয়েটা', 'কন্যা', 'মেয়ের', 'ছেলে', 'ছে\u200cলে', 'বালিকা', 'মেয়ের']
['বোন', 'আপু', 'বোনের', 'বোনটি', 'ভাই', 'বোনকে', 'ভাইয়া', 'ভাইবোন', 'ভাইয়েরা', 'বোনও']
['বোন', 'আপু', 'বোনের', 'বোনটি', 'ভাই', 'বোনকে', 'ভাইয়া', 'ভাইবোন', 'ভাইয়েরা', 'বোনও']
['নাতি', 'নাতনী', 'সৎগুরু', 'নাতনীর', 'শ্বশ্রূ', 'উত্তরপুরুষ', 'দত্তকপুত্র', 'সৎগুরুর', 'ভাগ্নী', 'শাশুড়ী']
['বর', 'বরই', 'বাযের', 'বীণ', 'বয়ার', 'বির', 'বত্সর', 'বত্\u200dসর', 'বরও', 'বী']
['স্বামী', 'স্বামীজীর', 'স্বামীজী', 'স্বামীজির', 'স্বামীহারা', 'স্বামীরা', 'স্বামীজি', 'স্বামীবাগ', 'স্ত্রীলোক', 'স্বামীদের']
['রাজারাণী', 'রাজা', 'রানীর', 'রাজকুমারী', 'রাজমাতা', 'রানী', 'রাজকুমার', 'রানির', 'রানি', 'রাজকুমারীর']
['পুরুষ', 'পুরুষালী', 'পুরুষজাতীয়', 'পুরুষসূক্ত', 'পুরুষসূক্তের', 'পুরুষালি', 'পুরুষালীর', 'পুরুষের', 'পুরুষসুলভ', 'পুরুষই']
['রাজপুত্র', 'রাজপুত্রের', 'রাজ্ঞী', 'বাদশাহী', 'রাজপরিবার', 'রাজপুরুষ', 'রাজপুণ্যাহ', 'রাজমহিষী', 'রাজত্বকারী', 'সম্রাজ্ঞীর']
['ছেলে', 'ছে\u200cলে', 'ছেলেমেয়ের', 'ছেলের', 'ছেলেহারা', 'ছেলেমেয়ের', 'ছেলেমেয়ে', 'ছেলেমেয়ে', 'ছেলেমেয়েই', 'সন্তানাদি']
['ছেলে', 'ছে\u200cলে', 'ছেলেমেয়ের', 'ছেলের', 'ছেলেহারা', 'ছেলেমেয়ের', 'ছেলেমেয়ে', 'ছেলেমেয়ে', 'ছেলেমেয়েই', 'সন্তানাদি']
['চাচাত', 'চাচার', 'চাচা', 'চাচাতো', 'সৎভাই', 'ভাতৃ', 'চাচাতো', 'দাদী', 'চাচীর', 'খালার']
['ছেলে', 'ছে\u200cলে', 'ছেলেমেয়ের', 'ছেলের', 'ছেলেহারা', 'ছেলেমেয়ের', 'ছেলেমেয়ে', 'ছেলেমেয়ে', 'ছেলেমেয়েই', 'সন্তানাদি']
['ভাইর', 'ভাইয়ের', 'ভাই', 'ভ্রাতৃ', 'ভাইয়ের', 'ভাইটি', 'ভাতৃ', 'ভাইঝি', 'ভাইয়ে', 'চাচাতো']
['ভাইর', 'ভাইয়ের', 'ভাই', 'ভ্রাতৃ', 'ভাইয়ের', 'ভাইটি', 'ভাতৃ', 'ভাইঝি', 'ভাইয়ে', 'চাচাতো']
['বাবামা', 'দাদি', 'বাবা', 'বাবারা', 'বাবামায়ের', 'পিতামাতা', 'পিতামাতার', 'পিতামহ', 'বাবাদের', 'পিতা']
['বাবামা', 'দাদি', 'বাবা', 'বাবারা', 'বাবামায়ের', 'পিতামাতা', 'পিতামাতার', 'পিতামহ', 'বাবাদের', 'পিতা']
['নাতি', 'নাতনী', 'সৎগুরু', 'নাতনীর', 'শ্বশ্রূ', 'উত্তরপুরুষ', 'দত্তকপুত্র', 'সৎগুরুর', 'ভাগ্নী', 'শাশুড়ী']
['বর', 'বরই', 'বণী', 'বী', 'বীণ', 'বিড়ির', 'বয়', 'বির', 'বুর', 'বৌড়ি']
['স্বামী', 'স্বামীজীর', 'স্বামীজী', 'স্বামীজির', 'স্বামীহারা', 'স্বামীরা', 'স্বামীজি', 'স্বামীবাগ', 'স্ত্রীলোক', 'স্বামীদের']
['রাজারাণী', 'রাজা', 'রানীর', 'রাজকুমারী', 'রাজমাতা', 'রানী', 'রাজকুমার', 'রানির', 'রানি', 'রাজকুমারীর']
['পুরুষ', 'নারীপুরুষ', 'নারী', 'মহিলা', 'পুরুষালী', 'মহিলাবিষয়ক', 'নারীসঙ্গ', 'নারীবিষয়ক', 'স্ত্রীলোক', 'পুরুষসূক্ত']
['ছেলেসন্তানের', 'ছেলের', 'ছেলে', 'ছে\u200cলে', 'পুত্রসন্তানের', 'ছেলেশিশুর', 'ছেলেমেয়ের', 'ছেলেসন্তান', 'বালকের', 'পুত্রের']
['ছেলেসন্তানের', 'ছেলের', 'ছেলেমেয়ের', 'ছেলেমেয়ের', 'ছেলে', 'ছে\u200cলে', 'বালকের', 'ছেলেধরার', 'সন্তানের', 'সন্তানাদির']
['চাচাত', 'চাচার', 'চাচা', 'চাচাতো', 'সৎভাই', 'ভাতৃ', 'চাচাতো', 'দাদী', 'চাচীর', 'খালার']
['ছেলে', 'ছে\u200cলে', 'ছেলেসন্তান', 'ছেলের', 'ছেলেসন্তানের', 'ছেলেকে', 'ছেলেশিশুর', 'ছেলেধরার', 'ছেলেবন্ধু', 'পুত্রসন্তান']
['ভাইয়েরা', 'ভাইর', 'ভাইবোনেরা', 'ভাইয়ের', 'ভাইরা', 'ভাই', 'ভাইদ', 'ভাইবোন', 'ভাইঝি', 'দোসর']
['ভাইয়েরা', 'ভাইর', 'ভাইবোনেরা', 'ভাইয়ের', 'ভাইরা', 'ভাই', 'ভাইদ', 'ভাইবোন', 'ভাইঝি', 'দোসর']
['বর', 'বণী', 'বরই', 'বরও', 'বরা', 'বুর', 'বরে', 'বীণ', 'বী', 'বয়']
['স্বামী', 'স্ত্রী', 'পত্নী', 'স্ত্রীর', 'স্বামীজী', 'স্বামীবাগ', 'স্বামীই', 'স্বামীজীর', 'পত্নীর', 'বউ']
['রাজা', 'রানী', 'রাজারাণী', 'রানি', 'রানীর', 'রাণী', 'রাজাই', 'রাজকুমার', 'রাজসূয়', 'বাদশাহ্\u200c']
['পুরুষ', 'নারীপুরুষ', 'পুরুষালী', 'পুরুষালি', 'পুরুষের', 'নারী', 'পুরুষজাতীয়', 'মহিলা', 'পুরুষসূক্ত', 'পুরুষগণ']
['রাজপুত্র', 'রাজপুণ্যাহ', 'রাজকুমার', 'রাজকন্যা', 'রাজকুমারী', 'রাজসূয়', 'রাজপুত্রের', 'রাজারাণী', 'রাজকন্যার', 'বাদশাহ']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেমেয়ে', 'ছেলেমেয়ে', 'ছেলেকে', 'ছেলেই', 'ছেলেসন্তান', 'বালক', 'ছেলেটা']
['চাচা', 'চাচাও', 'চাচী', 'খালা', 'ঠাকুমা', 'চাচাতো', 'আপু', 'শ্বাশুড়ি', 'শচী', 'চাচাত']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেমেয়ে', 'ছেলেমেয়ে', 'ছেলেসন্তান', 'ছেলেমানুষি', 'ছেলেকে', 'বালক', 'ছেলেই']
['ভাই', 'ভাইয়া', 'ভাইয়া', 'ভাইয়ে', 'ভাইয়েরা', 'বোন', 'ভাইয়ে', 'ভাইও', 'ভাইবোন', 'ভাইয়ের']
['ভাই', 'ভাইয়া', 'ভাইয়া', 'ভাইয়ে', 'ভাইয়েরা', 'বোন', 'ভাইয়ে', 'ভাইও', 'ভাইবোন', 'ভাইয়ের']
['বাবা', 'বাবামা', 'বাবাই', 'বাবাকে', 'পিতা', 'বাবার', 'মাতা', 'আব্বা', 'পিতাই', 'বাবাও']
['বাবা', 'বাবামা', 'বাবাই', 'বাবাকে', 'পিতা', 'বাবার', 'মাতা', 'আব্বা', 'পিতাই', 'বাবাও']
['দাদা', 'দাদু', 'দাদাভাই', 'দাদুর', 'দাদীমা', 'দিদি', 'ঠাকুমা', 'আব্বা', 'দাদি', 'আব্বু']
['দাদা', 'দাদু', 'দাদাভাই', 'দাদুর', 'দাদীমা', 'দিদি', 'ঠাকুমা', 'আব্বা', 'দাদি', 'আব্বু']
['কনে', 'পত্নী', 'স্ত্রী', 'স্ত্রীর', 'স্বামী', 'পাত্রী', 'পত্নীর', 'পাত্রীর', 'স্বামীবাগ', 'স্ত্রীকে']
['রানি', 'রানী', 'রাজকন্যা', 'রাজকন্যার', 'রানীর', 'রানিখেত', 'রানীকে', 'রাজকুমারী', 'রাজারাণী', 'রাণী']
['কনে', 'নারীপুরুষ', 'স্ত্রীলোক', 'মহিলা', 'নারীসঙ্গ', 'নারী', 'মহিলাবিষয়ক', 'পুরুষালী', 'মহিলাই', 'মহিলাবিষয়ক']
['রাজকুমারী', 'রাজকন্যার', 'রাজকন্যা', 'রানী', 'রাজকুমারীর', 'রানীর', 'রানি', 'রানীশংকৈল', 'রাজকুমারীকে', 'রাজারাণী']
['কন্যাসন্তান', 'কন্যাশিশু', 'কনে', 'কন্যা', 'কন্যাশিশুটি', 'শিশুকন্যা', 'ছেলেমেয়ে', 'কন্যাশিশুর', 'ছেলেসন্তান', 'শিশুকন্যার']
['কন্যাসন্তান', 'কন্যাশিশু', 'কনে', 'কন্যা', 'কন্যাশিশুটি', 'শিশুকন্যা', 'ছেলেমেয়ে', 'কন্যাশিশুর', 'ছেলেসন্তান', 'শিশুকন্যার']
['সৎমা', 'নাতনী', 'শাশুড়ী', 'সৎপিতা', 'দাদীমা', 'শাশুড়ি', 'নাতনি', 'নাতনীর', 'কনে', 'সৎবোন']
['কনে', 'নাতনি', 'ঠাকুমা', 'খালা', 'কনা', 'নাতনী', 'আপু', 'ভাগ্নি', 'সৎবোন', 'শাশুড়ি']
['কন্যাসন্তান', 'কন্যাশিশু', 'কনে', 'কন্যা', 'কন্যাশিশুটি', 'শিশুকন্যা', 'ছেলেমেয়ে', 'কন্যাশিশুর', 'ছেলেসন্তান', 'শিশুকন্যার']
['কনের', 'বোন', 'ভাইবোন', 'কনে', 'ভাইবোনের', 'বোনের', 'ভাগ্নি', 'ভাই', 'ভাগ্নে', 'কনি']
['কনে', 'বোন', 'কনা', 'আপু', 'বোনের', 'মেয়েবন্ধু', 'বোনটি', 'ভাইবোন', 'ভাগ্নি', 'কনি']
['বাবামা', 'বাবা', 'বাবাই', 'মাতা', 'মা', 'কনে', 'মাতাপিতা', 'মাকে', 'মাতাই', 'মাতৃকা']
['বাবামা', 'বাবা', 'বাবাই', 'বাবামায়ের', 'বাবার', 'বাবাকে', 'পিতা', 'মাতাপিতা', 'পিতাই', 'মাতা']
['ঠাকুমা', 'দিদি', 'দাদীমা', 'দিদিমা', 'নানী', 'দিদিয়ে', 'কাকা', 'কনে', 'নাতনি', 'দাদা']
['ঠাকুমা', 'দিদি', 'দাদীমা', 'দিদিমা', 'নানী', 'দিদিয়ে', 'কাকা', 'কনে', 'নাতনি', 'দাদা']
['সৎ', 'সৎভাই', 'সৎবন্ত', 'বাবা', 'বাবাসাহেব', 'পিতামহ', 'বাবামা', 'পিতা', 'পিতামহী', 'পিতৃ']
['রাজারাণী', 'রানী', 'রাণী', 'রাজকন্যা', 'রানীর', 'রানি', 'রাজকন্যার', 'রাজা', 'রাজকুমারী', 'রাজসূয়']
['মহিলা', 'নারী', 'নারীপুরুষ', 'মহিলার', 'মহিলাই', 'মহিলাবিষয়ক', 'নারী৷', 'মহিলা৷', 'মহিলাবিষয়ক', 'নারীর']
['রাজকন্যা', 'রাজকন্যার', 'রাজকুমারী', 'রাজারাণী', 'রাজসূয়', 'রানীর', 'রানী', 'রাজপুত্র', 'রাণী', 'রাজকুমারীর']
['মেয়ে', 'মেয়ে', 'কন্যা', 'ছেলে', 'ছে\u200cলে', 'বালিকা', 'মেয়ের', 'মেয়েই', 'মেয়েটা', 'ছেলের']
['মেয়ে', 'মেয়ে', 'কন্যা', 'ছেলে', 'ছে\u200cলে', 'বালিকা', 'মেয়ের', 'মেয়েই', 'মেয়েটা', 'ছেলের']
['আপু', 'খালা', 'বোন', 'নাতনি', 'ঠাকুমা', 'চাচা', 'বোনের', 'চাচী', 'ভগিনী', 'শ্বাশুড়ি']
['মেয়ে', 'মেয়ে', 'কন্যা', 'ছেলে', 'ছে\u200cলে', 'বালিকা', 'মেয়ের', 'মেয়েই', 'মেয়েটা', 'ছেলের']
['বোন', 'বোনের', 'ভাইয়া', 'আপু', 'ভাইয়া', 'ভাই', 'ভাইবোন', 'বোনটি', 'ভাইয়েরা', 'বোনও']
['বোন', 'বোনের', 'ভাইয়া', 'আপু', 'ভাইয়া', 'ভাই', 'ভাইবোন', 'বোনটি', 'ভাইয়েরা', 'বোনও']
['বাবামা', 'মাতা', 'বাবা', 'মা', 'মাতৃ', 'বাবাই', 'মাতৃকা', 'মামা', 'মাতাপিতা', 'মায়ের']
['বাবামা', 'মাতা', 'বাবা', 'মা', 'মাতৃ', 'বাবাই', 'মাতৃকা', 'মামা', 'মাতাপিতা', 'মায়ের']
['ঠাকুমা', 'দাদা', 'দিদি', 'দাদীমা', 'দিদিমা', 'নানী', 'কাকা', 'দাদাভাই', 'শ্বাশুড়ি', 'দাদু']
['ঠাকুমা', 'দাদা', 'দিদি', 'দাদীমা', 'দিদিমা', 'নানী', 'কাকা', 'দাদাভাই', 'শ্বাশুড়ি', 'দাদু']
['নাতনি', 'নাতনী', 'নাতিরা', 'নাতনীর', 'নাতির', 'নাতি', 'নাতনির', 'নাতনিকে', 'নানী', 'সৎবোন']
['বর', 'বণী', 'বরা', 'বয়', 'বয়া', 'বী', 'বীণ', 'বয়া', 'বরই', 'বরে']
['নারীপুরুষ', 'মহিলা', 'নারী', 'মহিলার', 'মহিলাই', 'নারীবাদি', 'নারীসঙ্গ', 'মহিলাবিষয়ক', 'নারী৷', 'মহিলা৷']
['রাণী', 'রাজকন্যা', 'রাজকন্যার', 'রাজকুমারী', 'রানীর', 'রানী', 'রাণীর', 'রাজারাণী', 'রাজবধূ', 'রাজবধূর']
['কন্যা', 'পুত্রী', 'কন্যার', 'কন্যাসন্তান', 'পুত্রবধূ', 'পুত্রবধু', 'কন্যাই', 'মেয়ের', 'পুত্রবধূর', 'কন্যাভ্রূণ']
['কন্যা', 'পুত্রী', 'কন্যার', 'কন্যাসন্তান', 'পুত্রবধূ', 'পুত্রবধু', 'কন্যাই', 'মেয়ের', 'পুত্রবধূর', 'কন্যাভ্রূণ']
['আপু', 'বোন', 'ভগিনী', 'খালা', 'বোনের', 'শ্বাশুড়ি', 'নাতনি', 'ঠাকুমা', 'ভগিনীর', 'বোনটি']
['মেয়ে', 'মেয়ে', 'কন্যা', 'বালিকা', 'কন্যাশিশু', 'মেয়ের', 'মেয়েলি', 'মেয়ের', 'কন্যাশিশুটি', 'কন্যাসন্তান']
['বোন', 'আপু', 'বোনের', 'ভাইবোন', 'ভগিনী', 'বোনটি', 'বোনই', 'ভাইয়েরা', 'ভাই', 'বোনও']
['বোন', 'বোনের', 'আপু', 'ভগিনী', 'বোনটি', 'বোনই', 'ভাইবোন', 'বোনও', 'ভাইয়া', 'বোনকে']
['বাবামা', 'মাতা', 'মাতাপিতা', 'মাতৃ', 'মাতৃকা', 'মা', 'বাবা', 'মাতাই', 'নানী', 'বাবাই']
['মাতা', 'মাতাপিতা', 'বাবামা', 'মাতৃ', 'মা', 'মাতৃকা', 'মাতাই', 'মায়ে', 'মামা', 'বাবা']
['দিদি', 'ঠাকুমা', 'দাদীমা', 'শ্বাশুড়ি', 'দিদিমা', 'নানী', 'দাদা', 'খালা', 'শাশুড়ি', 'দাদাভাই']
['দিদি', 'দাদীমা', 'দিদিমা', 'ঠাকুমা', 'শ্বাশুড়ি', 'নানী', 'দিদিয়ে', 'দিদা', 'দিদিয়ের', 'দাদা']
['নাতনীর', 'নাতনী', 'নাতনির', 'নাতনি', 'নাতির', 'নাতনিকে', 'নাতিরা', 'নাতি', 'সৎবোন', 'ভগিনীর']
['বণী', 'বর', 'বেণী', 'বিরুনী', 'বরই', 'বীণ', 'বিরুনি', 'বী', 'বৌমার', 'বেনী']
['পত্নী', 'স্ত্রী', 'স্ত্রীর', 'পত্নীর', 'বউ', 'স্ত্রীলোক', 'স্বামী', 'মাধবী', 'স্ত্রীই', 'স্ত্রীয়ের']
['মেয়ে', 'মেয়ে', 'কন্যা', 'মেয়েটা', 'বালিকা', 'মেয়ের', 'মেয়েকে', 'মেয়ের', 'মেয়েই', 'শিশুকন্যা']
['কন্যা', 'কন্যার', 'শিশুকন্যা', 'কন্যাসন্তান', 'মেয়ের', 'মেয়ের', 'কন্যাই', 'কন্যাকে', 'মেয়ে', 'শিশুকন্যার']
['খালা', 'আপু', 'ঠাকুমা', 'বোন', 'শ্বাশুড়ি', 'কাকা', 'বোনের', 'নাতনি', 'ভগিনী', 'দিদা']
['মেয়ে', 'মেয়ে', 'কন্যা', 'মেয়েটা', 'বালিকা', 'মেয়ের', 'মেয়েকে', 'মেয়ের', 'মেয়েই', 'শিশুকন্যা']
['বোন', 'বোনের', 'আপু', 'বোনটি', 'ভাইয়া', 'বোনকে', 'ভগিনী', 'খালা', 'বোনও', 'ভাইয়া']
['বোন', 'বোনের', 'আপু', 'বোনটি', 'ভাইয়া', 'বোনকে', 'ভগিনী', 'খালা', 'বোনও', 'ভাইয়া']
['মাতা', 'বাবামা', 'মা', 'মাতাপিতা', 'মাতৃকা', 'মাতৃ', 'মামা', 'মাতাই', 'মায়ের', 'বাবা']
['মাতা', 'বাবামা', 'মা', 'মাতৃকা', 'মাতৃ', 'মাতাপিতা', 'মামা', 'মায়ের', 'বাবা', 'মাতাই']
['দিদি', 'দিদিমা', 'দাদীমা', 'দিদা', 'কাকা', 'ঠাকুমা', 'দিদিয়ে', 'শ্বাশুড়ি', 'ঠাকুরদা', 'দিদিয়ের']
['দিদি', 'দিদিমা', 'দাদীমা', 'দিদা', 'কাকা', 'ঠাকুমা', 'দিদিয়ে', 'শ্বাশুড়ি', 'ঠাকুরদা', 'দিদিয়ের']
['বণী', 'বর', 'বরা', 'বয়া', 'বিরা', 'বরদা', 'বয়া', 'বৌমার', 'বী', 'বয়']
['স্ত্রী', 'পত্নী', 'স্ত্রীর', 'বউ', 'স্ত্রীই', 'পত্নীর', 'স্ত্রীকে', 'স্ত্রীয়ের', 'বউয়ের', 'বউকে']
['রাজারাণী', 'রাণী', 'রানী', 'রাজকন্যা', 'রানীর', 'রাজকুমারী', 'রাজকন্যার', 'রানি', 'রাণীর', 'রানীকে']
['ছেলে', 'ছে\u200cলে', 'বালক', 'ছেলেমানুষি', 'ছেলেমেয়ে', 'ছেলেবন্ধু', 'শৈব', 'ছেলেটা', 'ছেলেই', 'ছেলের']
['চাচা', 'চাচী', 'চাচাতো', 'চাচাত', 'চাচাও', 'খালা', 'শ্বাশুড়ি', 'ভাতিজা', 'চাচাতো', 'চাচার']
['ছেলে', 'ছে\u200cলে', 'ছেলেসন্তান', 'ছেলেবন্ধু', 'ছেলেমানুষি', 'ছেলেমেয়ে', 'ছেলেই', 'বালক', 'ছেলেটা', 'ছেলের']
['বাবা', 'পিতা', 'বাবাই', 'পিতৃ', 'পিতাই', 'বাবামা', 'আব্বস', 'পিতামহ', 'বাবারা', 'বাবার']
['বাবা', 'পিতা', 'বাবাই', 'পিতৃ', 'পিতাই', 'বাবামা', 'আব্বস', 'পিতামহ', 'বাবারা', 'বাবার']
['দাদা', 'দাদু', 'দাদাভাই', 'দাদুর', 'আব্বু', 'আব্বা', 'দাদী', 'বড়ভাই', 'আব্বস', 'দাদাপীর']
['দাদা', 'দাদু', 'বড়ভাই', 'বড়ভাই', 'দাদাভাই', 'আব্বা', 'চাচা', 'দাদুর', 'আব্বু', 'আদু']
['রাজা', 'রাজাই', 'রাজ্ঞী', 'বাদশাহ্\u200c', 'বাদশাহ্', 'রাজরাজ', 'বাদশাহ', 'রাজাধিরাজ', 'বাদশাহি', 'বাদশাহী']
