['আপু', 'খালা', 'মামাতো', 'ঠাকুমা', 'বোন', 'চাচা', 'আম্মু', 'শ্বাশুড়ি', 'বোনের', 'আম্মুর']
['জেলে', 'জেলেই', 'জেলেকে', 'জেলের', 'জেলহাজতে', 'জেলবন্দী', 'জেলেও', 'বন্দিদশায়', 'বন্দিদশায়', 'জেলেনা']
['ধোপা', 'ধোপাঘাটা', 'ধাবা', 'ধোওয়া', 'ধোপাপাড়া', 'ধামা', 'ধোয়া', 'ধমণী', 'ধোপার', 'ধোয়ার']
['বেদে', 'বালুতে', 'সমুদ্রতলে', 'পীরে', 'সমুদ্রপৃষ্ঠে', 'কূলে', 'সমুদ্রতটে', 'বালুচরে', 'সাগরতলে', 'সমুদ্রতলের']
['গুরু', 'গুরুর', 'গুরুই', 'গুরুজন', 'ਗੁਰੂ', 'গুরুকে', 'গুরুপদ', 'গুরুরা', 'গুরুজির', 'গুরুজনের']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেসন্তান', 'ছেলেমেয়ে', 'ছেলেকে', 'ছেলেবন্ধু', 'ছেলেই', 'বালক', 'ছেলেমেয়ে']
['বর', 'বরই', 'বণী', 'বী', 'বয়', 'বয়', 'বীণ', 'বির', 'বরও', 'বরা']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদশাহরা', 'বাদশাহের', 'বাদশাহি', 'বাদশাহো', 'বাদশাহ', 'বাদুড়', 'বাদশাহী']
['কাঙ্গাল', 'কাঙ্গালিনী', 'গালানগল', 'কাঞ্জোয়াল', 'কালেঙ্গা', 'কাংরা', 'নাঙ্গাল', 'ক্যানাল', 'গঙ্গাজল', 'হাঙ্গাল']
['বাঘ', 'বাঘটি', 'বাঘও', 'বাঘই', 'বাঘী', 'বাঘের', 'বাঘি', 'বাঘেল', 'বাঘে', 'বাঘবেড়']
['যোগী', 'যোগীর', 'যোগি', 'যোগিনী', 'যোগেশ্বরী', 'যোগীরা', 'যোগিনীর', 'যোগীকে', 'যোগেশ', 'যোগেশ্বর']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'তেজস্ক্রিয়', 'তেজুকার', 'তেজুকা', 'তেজদীপ্ত', 'তেজস্ক্রিয়', 'তেজস', 'তরতর']
['কিশোরী', 'কিশোর', 'কিশোরীর', 'কিশোরই', 'কিশোরের', 'কিশোরীকে', 'কিশোরীটি', 'কমবয়সী', 'অল্পবয়সী', 'অল্পবয়স্ক']
['নর', 'নার', 'নরের', 'নরা', 'নল', 'নদ', 'নলা', 'নাইর', 'নীড়ের', 'নরি']
['সুন্দর', 'সুন্দরী', 'সুদৃশ্য', 'সুদর্শন', 'সুন্দরীর', 'সুন্দরের', 'সৌন্দর্যময়', 'সুদর্শনের', 'সৌন্দর্যমণ্ডিত', 'সৌন্দর্যমন্ডিত']
['গুণবান', 'গুণী', 'গুণবতী', 'গুণকাম', 'গুণীর', 'গুণগ্রাহী', 'গুণসম্পন্ন', 'গুণান্বিত', 'গুণনীয়ক', 'গুণমানসম্পন্ন']
['পুণ্যবান', 'পুণ্যময়', 'গুণবান', 'গুরুত্তপূর্ণ', 'গুণবতী', 'সুভাষিণীর', 'আশীর্বাদপুষ্ট', 'সুভাষিণী', 'কল্যাণময়', 'মহিষাবান']
['বুদ্ধিমান', 'বুদ্ধিমতী', 'বুদ্ধিসম্পন্ন', 'বুদ্ধিদীপ্ত', 'বুদ্ধিমানের', 'বুদ্ধিমত্তাসম্পন্ন', 'বুদ্ধির', 'বুদ্ধিকা', 'বুদ্ধিমতি', 'বিজ্ঞ']
['শ্রীমান', 'শ্রীমা', 'শ্রীমন্ত', 'শ্রীমৎ', 'শ্রীম', 'শ্রীমদ্', 'শ্রীশ্রীমা', 'শ্রীরাম', 'শ্রীরঙ্গমের', 'শ্রীরঙ্গম']
['বিজয়', 'বিজয়', 'বিজয়া', 'বিজয়পাত', 'বিজয়ের', 'বিজয়া', 'জয়লাভ', 'বিজয়ও', 'বিজয়ের', 'জয়']
['পাঠক', 'পাঠকারী', 'পাঠকই', 'পাঠকের', 'পাঠকে', 'পড়শী', 'পাঠকেরা', 'পাঠকরা', 'পাঠককে', 'পাঠকও']
['লেখক', 'লেখিকা', 'রচনাকার', 'লেখকের', 'লেখিকার', 'লেখকই', 'রচনাকারী', 'লেখনীর', 'লেখকও', 'প্রণেতার']
['গায়ক', 'গায়ক', 'গায়কোয়াড়', 'গায়কীর', 'গায়িকার', 'গায়িকা', 'গায়কী', 'গায়িকা', 'গায়িকার', 'গায়বী']
['খোকা', 'বাচ্চাকাচ্চা', 'খোকার', 'খোকাবাবু', 'শিশুকন্যা', 'শিশুকন্যার', 'খোকাকে', 'কন্যাসন্তান', 'খুদে', 'বাচ্চা']
['শিক্ষিকা', 'শিক্ষক', 'শিক্ষয়িত্রী', 'শিক্ষিকার', 'শিক্ষকনেতা', 'শিক্ষকই', 'শিক্ষিকাকে', 'শিক্ষকের', 'অশিক্ষক', 'শিক্ষিকারা']
['নেতা', 'নেত্রী', 'নেতা৷', 'নেত্রীর', 'নেতাকে', 'নেতায়', 'নেতাও', 'নেতাই', 'নেতাকর্মী', 'নেতাকেই']
['পাগল', 'পাগলী', 'পাগলি', 'পাগলের', 'পাগলা', 'পাগলীর', 'পাগলার', 'পাগলপ্রায়', 'পাগলামির', 'পাগলু']
['প্রিয়', 'প্রিয়', 'প্রিয়পাত্র', 'প্রিয়পাত্রী', 'প্রেমী', 'প্রিয়তমা', 'প্রেমি', 'প্রেমানন্দের', 'প্রিয়দর্শী', 'প্রিয়তমার']
['কনিষ্ঠ', 'কমবয়সী', 'কমবয়সী', 'কনিষ্ঠতম', 'কিশোরী', 'কিশোরীর', 'নাবালিকা', 'লঘিষ্ঠ', 'অল্পবয়সী', 'অল্পবয়স']
['লোক', 'মানুহ', 'মানুষ', 'মানুষী', 'লোকক', 'লোকই', 'লোকজন', 'লোকের', 'মানুষজন', 'লোকরা']
['শ্রমিক', 'কর্মী', 'শ্রমিকের', 'শ্রমিকই', 'চাকুরিজীবী', 'চাকরিজীবী', 'কর্মকার', 'কর্মচারি', 'কর্মীর', 'শ্রমজীবী']
['বাবা', 'বাবামা', 'বাবাই', 'পিতা', 'বাবার', 'পিতৃ', 'বাবাকে', 'পিতাই', 'বাপ', 'বাপের']
['চাচা', 'খালা', 'চাচাতো', 'চাচী', 'চাচাত', 'চাচাও', 'চাচাতো', 'আপু', 'শ্বাশুড়ি', 'ঠাকুমা']
['দাদা', 'দাদাভাই', 'ঠাকুমা', 'দাদু', 'দাদুর', 'শ্বাশুড়ি', 'খালা', 'কাকা', 'দাদাপীর', 'চাচী']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানান', 'নানাকি', 'নানাজনের', 'নানার', 'নানাবতী', 'নানাবাড়ি', 'নানাবাড়ি', 'ননি', 'ননী']
['জেলে', 'জেলেই', 'জেলেকে', 'জেলের', 'জেলহাজতে', 'জেলবন্দী', 'জেলেও', 'জেলখানায়', 'কারাগারে', 'বন্দিদশায়']
['ধোপা', 'ধোপাঘাটা', 'ধোওয়া', 'ধাবা', 'ধোপাপাড়া', 'ধামা', 'ধোপার', 'গোছা', 'ধোয়া', 'ধমণী']
['বেদে', 'বালুতে', 'পীরে', 'কূলে', 'সমুদ্রতলে', 'বালুচরে', 'সমুদ্রপৃষ্ঠে', 'খড়্গে', 'সমুদ্রতটে', 'বালুর']
['গুরু', 'গুরুর', 'গুরুজন', 'গুরুই', 'ਗੁਰੂ', 'গুরুপদ', 'গুরুকে', 'গুরুজনের', 'গুরুজির', 'গুরুরা']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেসন্তান', 'ছেলেমেয়ে', 'ছেলেবন্ধু', 'বালক', 'ছেলেমেয়ে', 'ছেলেকে', 'ছেলেই']
['বর', 'বরই', 'বণী', 'বী', 'বয়', 'বয়', 'বীণ', 'বুর', 'বরও', 'বির']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদশাহরা', 'বাদুড়', 'বাদশাহ', 'বাদশাহের', 'বাদশাহো', 'বাদশাহি', 'রাজহাঁস']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কালেঙ্গা', 'কাংরা', 'কাঞ্জোয়াল', 'ক্যানাল', 'কঙ্গনা', 'গালানগল', 'কাঙাল', 'কংলাক']
['বাঘ', 'বাঘটি', 'বাঘও', 'বাঘই', 'বাঘী', 'বাঘি', 'বাঘের', 'বাঘেল', 'বাঘবেড়', 'বাঘে']
['যোগী', 'যোগি', 'যোগীর', 'যোগিনী', 'যোগেশ্বরী', 'যোগিনীর', 'যোগীরা', 'যোগীকে', 'যোগেশ', 'যোগজ']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'তেজস্ক্রিয়', 'তেজুকার', 'তেজুকা', 'তেজদীপ্ত', 'তরুক্ষীর', 'তেজস্ক্রিয়', 'তরতর']
['কিশোরী', 'কিশোর', 'কিশোরীর', 'কিশোরই', 'কিশোরের', 'কিশোরীটি', 'কিশোরীকে', 'কিশোরটি', 'কমবয়সী', 'অল্পবয়সী']
['নর', 'নার', 'নরের', 'নরা', 'নল', 'নলা', 'নুর', 'নীড়', 'নীড়ের', 'নোর']
['সুন্দর', 'সুন্দরী', 'সুদর্শন', 'সুদৃশ্য', 'সুন্দরের', 'সুন্দরীর', 'সৌন্দর্যময়', 'সুদর্শনের', 'সুদর্শনা', 'সৌন্দর্যমণ্ডিত']
['গুণবান', 'গুণী', 'গুণকাম', 'গুণীর', 'গুণসম্পন্ন', 'গুণগ্রাহী', 'গুণবতী', 'গুণান্বিত', 'গুণনীয়ক', 'গুণমানসম্পন্ন']
['পুণ্যবান', 'পুণ্যময়', 'গুণবান', 'গুরুত্তপূর্ণ', 'সুভাষিণীর', 'সুভাষিণী', 'গুণবতী', 'কল্যাণময়', 'সুপণ্ডিত', 'গুণী']
['বুদ্ধিমান', 'বুদ্ধিমতী', 'বুদ্ধিসম্পন্ন', 'বুদ্ধিদীপ্ত', 'বুদ্ধিকা', 'বুদ্ধির', 'বুদ্ধিমানের', 'বিজ্ঞ', 'বুদ্ধিমত্তাসম্পন্ন', 'বুদ্ধিমতি']
['শ্রীমান', 'শ্রীমা', 'শ্রীমন্ত', 'শ্রীমৎ', 'শ্রীম', 'শ্রীমদ্', 'শ্রীশ্রীমা', 'শ্রীরঙ্গম', 'শ্রীরঙ্গমের', 'শ্রীরাম']
['বিজয়', 'বিজয়', 'বিজয়া', 'বিজয়পাত', 'বিজয়া', 'বিজয়ের', 'জয়লাভ', 'জয়', 'বিজয়ের', 'বিজয়ও']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠকই', 'পড়শী', 'পাঠকে', 'পাঠকেরা', 'পাঠকরা', 'পাঠকক্ষ', 'পড়শি']
['লেখক', 'লেখিকা', 'রচনাকার', 'লেখিকার', 'লেখকের', 'রচনাকারী', 'লেখকই', 'লেখনীর', 'লেখনীকে', 'রচনাবিদ']
['গায়ক', 'গায়ক', 'গায়কোয়াড়', 'গায়কী', 'গায়কীর', 'গায়িকা', 'গায়কি', 'গায়িকা', 'গায়িকার', 'গীতকার']
['খোকা', 'বাচ্চাকাচ্চা', 'খোকার', 'খোকাবাবু', 'শিশুকন্যা', 'খোকাকে', 'শিশুকন্যার', 'বাচ্চা', 'খুদে', 'বালিকা']
['ছাত্রী', 'ছাত্রছাত্রী', 'ছাত্র', 'ছাত্রীর', 'শিক্ষার্থী', 'ছাত্রীই', 'ছাত্রছাত্রীর', 'স্টুডেন্ট', 'ছাত্রের', 'ছাত্রই']
['নেতা', 'নেত্রী', 'নেত্রীর', 'নেতা৷', 'নেতাকর্মী', 'নেতাকে', 'নেতায়', 'নেতাও', 'নেতাই', 'নেতার']
['পাগল', 'পাগলী', 'পাগলি', 'পাগলা', 'পাগলের', 'পাগলু', 'পাগলীর', 'পাগলার', 'পাগলপ্রায়', 'পাগলামির']
['প্রিয়', 'প্রিয়', 'প্রিয়পাত্র', 'প্রিয়পাত্রী', 'প্রিয়দর্শী', 'প্রিয়তমা', 'প্রেমী', 'প্রিয়জন', 'প্রিয়পাত্র', 'প্রিয়তমার']
['কনিষ্ঠ', 'কমবয়সী', 'কমবয়সী', 'কিশোরী', 'কনিষ্ঠতম', 'কিশোরীর', 'নাবালিকা', 'লঘিষ্ঠ', 'অল্পবয়সী', 'অল্পবয়স']
['লোক', 'মানুহ', 'মানুষ', 'লোকক', 'জনমানব', 'লোকজন', 'লোকের', 'মানুষী', 'মানুষজন', 'লোকই']
['শ্রমিক', 'কর্মী', 'শ্রমিকের', 'শ্রমিকই', 'চাকুরিজীবী', 'কর্মচারি', 'কর্মকার', 'কর্মীর', 'চাকরিজীবী', 'চাকরিজীবীর']
['বাবা', 'বাবামা', 'বাবাই', 'পিতা', 'বাবার', 'বাবাকে', 'পিতৃ', 'পিতাই', 'বাপের', 'পিতার']
['চাচা', 'চাচাও', 'চাচী', 'চাচাত', 'খালা', 'চাচীর', 'চাচাতো', 'চাচাতো', 'ঠাকুমার', 'শ্বাশুড়ি']
['দাদা', 'দাদু', 'দাদুর', 'দাদাভাই', 'ঠাকুমা', 'দাদাপীর', 'আব্বা', 'শ্বাশুড়ি', 'দাদী', 'আব্বু']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানান', 'নানার', 'নানাজনের', 'নানাবতী', 'নানাকি', 'নানাবাড়ি', 'নানাবাড়ি', 'নানাপ্রকার', 'নানাবিধ']
['জেলে', 'জেলেই', 'জেলেকে', 'জেলের', 'জেলহাজতে', 'জেলেও', 'জেলবন্দী', 'বন্দিদশায়', 'বন্দিদশায়', 'জেলখানায়']
['ধোপা', 'ধোপাপাড়া', 'ধোপার', 'ধোপাঘাটা', 'ধাবা', 'ধোওয়া', 'ধোয়া', 'ধোয়ার', 'ধামা', 'ধমণী']
['বেদে', 'বালুতে', 'বালুচরে', 'সমুদ্রপৃষ্ঠে', 'পীরে', 'ভূপৃষ্ঠে', 'সমুদ্রতলে', 'গলদেশে', 'বালুর', 'স্থলভূমিতে']
['গুরু', 'গুরুর', 'গুরুজন', 'ਗੁਰੂ', 'গুরুই', 'গুরুকে', 'গুরুজনের', 'গুরুজির', 'গুরুপদ', 'প্রাধ্যক্ষ']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেসন্তান', 'ছেলেকে', 'ছেলেমেয়ে', 'ছেলেবন্ধু', 'ছেলেই', 'ছেলেসন্তানের', 'বালক']
['বর', 'বরই', 'বরও', 'বী', 'বয়', 'বুর', 'বীণ', 'বরে', 'বাযের', 'বির']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদশাহরা', 'বাদশাহের', 'বাদশাহো', 'বাদশাহ', 'বাদশাহি', 'বাদশাহী', 'বাদশাহ্\u200c']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কালেঙ্গা', 'কাংরা', 'গঙ্গাজল', 'গঙ্গার', 'ক্যাঙ্গারু', 'কঙ্গনার', 'কালীগঙ্গা', 'কালিগঙ্গা']
['বাঘ', 'বাঘও', 'বাঘটি', 'বাঘই', 'বাঘের', 'বাঘী', 'বাঘি', 'বাঘকে', 'বাঘে', 'বাঘবেড়']
['যোগী', 'যোগীর', 'যোগি', 'যোগিনী', 'যোগেশ্বরী', 'যোগিনীর', 'যোগীরা', 'যোগীকে', 'যোগেশ্বর', 'যোগজের']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'তেজস্ক্রিয়', 'তেজুকার', 'তেজস্ক্রিয়', 'তেজদীপ্ত', 'তেজুকা', 'তেজোদীপ্ত', 'জাজ্জ্বল্যমান']
['কিশোরী', 'কিশোর', 'কিশোরই', 'কিশোরের', 'কিশোরীর', 'কমবয়সী', 'অল্পবয়সী', 'অল্পবয়স্ক', 'কিশোরীকে', 'কিশোরটি']
['নর', 'নরের', 'নার', 'নরা', 'নুর', 'নল', 'নীড়ের', 'নর্ম', 'নর্ন', 'নরি']
['সুন্দর', 'সুন্দরী', 'সুন্দরের', 'সুদৃশ্য', 'সুন্দরীর', 'সুদর্শন', 'সৌন্দর্যময়', 'সুদর্শনের', 'সৌন্দর্যমন্ডিত', 'সৌন্দর্যমণ্ডিত']
['গুণবান', 'গুণগ্রাহী', 'গুণকাম', 'গুণী', 'গুণবতী', 'গুণনীয়ক', 'গুণসম্পন্ন', 'গুণীর', 'গুণান্বিত', 'পুণ্যবান']
['পুণ্যবান', 'পুণ্যময়', 'আশীর্বাদপুষ্ট', 'গুণবান', 'গুরুত্তপূর্ণ', 'দয়াময়ীর', 'সুভাষিণীর', 'ঐশ্বর্যশালী', 'দয়াময়ী', 'মহিষাবান']
['বুদ্ধিমান', 'বুদ্ধিমতী', 'বুদ্ধিদীপ্ত', 'বুদ্ধিসম্পন্ন', 'বুদ্ধিমত্তাসম্পন্ন', 'বুদ্ধিমানের', 'বুদ্ধির', 'বুদ্ধিকা', 'বিজ্ঞ', 'বুদ্ধিমতি']
['শ্রীমান', 'শ্রীমন্ত', 'শ্রীমৎ', 'শ্রীমদ্', 'শ্রীম', 'শ্রীরঙ্গমের', 'শ্রীমা', 'শ্রীরঙ্গম', 'শ্রীরাম', 'শ্রীরামের']
['বিজয়', 'বিজয়পাত', 'বিজয়া', 'বিজয়', 'বিজয়ের', 'জয়লাভ', 'জয়ের', 'জয়', 'বিজয়ও', 'জয়লাভের']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠকই', 'পাঠকে', 'পাঠকেরা', 'পাঠকরা', 'পাঠককে', 'পাঠকও', 'পাঠকদের']
['লেখক', 'লেখকের', 'রচনাকার', 'লেখিকার', 'লেখকই', 'লেখিকা', 'রচনাকারী', 'লেখনীর', 'লেখকও', 'প্রণেতার']
['গায়ক', 'গায়ক', 'গায়কীর', 'গায়িকার', 'গায়কোয়াড়', 'গীতকার', 'গায়িকার', 'গীতিকার', 'গায়কী', 'গায়কের']
['খোকা', 'বাচ্চাকাচ্চা', 'খোকার', 'খোকাবাবু', 'বাচ্চা', 'খোকাকে', 'শিশুকন্যা', 'শিশুকন্যার', 'শিশু', 'খুদে']
['ছাত্র', 'ছাত্রছাত্রী', 'শিক্ষার্থী', 'ছাত্রী', 'ছাত্রীর', 'ছাত্রছাত্রীর', 'ছাত্রনেতা', 'শিক্ষার্থীর', 'ছাত্রের', 'স্টুডেন্ট']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষিকার', 'শিক্ষিকা', 'শিক্ষয়িত্রী', 'শিক্ষকের', 'শিক্ষকই', 'শিক্ষিকাকে', 'শিক্ষনুরাগী', 'অধ্যাপনার']
['পাগল', 'পাগলী', 'পাগলের', 'পাগলি', 'পাগলীর', 'পাগলপ্রায়', 'পাগলার', 'পাগলামির', 'পাগলা', 'পাগলপ্রায়']
['প্রিয়', 'প্রিয়', 'প্রিয়পাত্র', 'প্রিয়তমার', 'প্রিয়তমা', 'প্রিয়পাত্রী', 'প্রিয়দর্শী', 'প্রিয়তমার', 'প্রেমানন্দের', 'প্রেমী']
['কনিষ্ঠ', 'কনিষ্ঠতম', 'কমবয়সী', 'লঘিষ্ঠ', 'কমবয়সী', 'কিশোরী', 'ক্ষুদ্রতম', 'সর্বকনিষ্ঠ', 'অল্পবয়স', 'অল্পবয়সী']
['লোক', 'মানুহ', 'লোকের', 'মানুষ', 'লোকের', 'মানুষজন', 'লোকক', 'মানুষী', 'লোকই', 'জনমানব']
['শ্রমিক', 'শ্রমিকের', 'শ্রমিকই', 'চাকরিজীবীর', 'কর্মী', 'চাকরিজীবী', 'শ্রমিকনেতা', 'কর্মকার', 'শ্রমজীবী', 'চাকুরিজীবী']
['বাবা', 'বাবাই', 'পিতা', 'বাবামা', 'পিতৃ', 'বাবার', 'বাবাকে', 'বাপ', 'বাপের', 'পিতাই']
['চাচা', 'চাচী', 'চাচাও', 'চাচাত', 'চাচাতো', 'ঠাকুমার', 'খালা', 'চাচীর', 'চাচাতো', 'খালার']
['দাদা', 'দাদু', 'দাদুর', 'দাদাভাই', 'দাদাপীর', 'আব্বু', 'আব্বা', 'দাদাজী', 'দাদী', 'দাদার']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানাকি', 'নানার', 'নানান', 'নানাজনের', 'নানাবাড়ি', 'নানাবাড়ি', 'নানাবতী', 'নানাপ্রকার', 'বিবিধ']
['জেলে', 'জেলেই', 'জেলের', 'জেলেকে', 'জেলবন্দী', 'জেলহাজতে', 'জেলেও', 'জেলখানায়', 'জেলেপল্লির', 'বন্দিদশায়']
['ধোপা', 'ধোপাপাড়া', 'ধোপাঘাটা', 'ধোপার', 'ধাবা', 'ধোওয়া', 'ধোয়ার', 'ধড়ক', 'ধোবি', 'ধামা']
['বেদে', 'বালুতে', 'বালুর', 'বালুচরে', 'পীরে', 'কূলে', 'সমুদ্রতলে', 'বেদেদের', 'খড়্গে', 'পাতলে']
['গুরু', 'গুরুর', 'গুরুজন', 'গুরুই', 'ਗੁਰੂ', 'গুরুকে', 'গুরুজনের', 'গুরুজির', 'গুরুপদ', 'গুরুরা']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'বালক', 'ছেলেমেয়ে', 'ছেলেসন্তান', 'ছেলেকে', 'ছেলেবন্ধু', 'ছেলেমানুষি', 'ছেলেটা']
['বর', 'বরই', 'বী', 'বুর', 'বরও', 'বয়', 'বীণ', 'বয়ার', 'বয়', 'বির']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদুড়', 'বাদুড়', 'বাদশাহরা', 'বাদশাহো', 'বাদশাহের', 'বাদশাহ', 'প্রজাপতি']
['কাঙ্গাল', 'কাঙ্গালিনী', 'গালানগল', 'কাঞ্জোয়াল', 'কাঙাল', 'ক্যানাল', 'গাঙচিল', 'নাঙ্গাল', 'কাং', 'হাঙ্গাল']
['বাঘ', 'বাঘটি', 'বাঘও', 'বাঘই', 'বাঘী', 'বাঘি', 'বাঘের', 'বাঘেল', 'বাঘবেড়', 'ঘুঘু']
['যোগী', 'যোগি', 'যোগীর', 'যোগিনী', 'যোগেশ্বরী', 'যোগীকে', 'যোগিনীর', 'যোগীরা', 'যোগেশ্বর', 'যোগেশ']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'তেজস্ক্রিয়', 'তেজুকার', 'তেজস্ক্রিয়', 'তরুক্ষীর', 'তপোধীর', 'তেজুকা', 'জবরদস্তির']
['কিশোর', 'কিশোরী', 'কিশোরের', 'কিশোরই', 'অল্পবয়স্ক', 'কিশোরটি', 'অল্পবয়সী', 'কমবয়সী', 'কিশোরকে', 'কিশোরীর']
['নর', 'নার', 'নল', 'নরের', 'নুর', 'নোর', 'নদ', 'নাল', 'নর্ম', 'নরি']
['সুন্দর', 'সুদর্শন', 'সুন্দরের', 'সুন্দরী', 'সুদৃশ্য', 'সৌন্দর্যময়', 'সুদর্শনের', 'সুন্দরীর', 'সৌন্দর্যমন্ডিত', 'সৌন্দর্যমণ্ডিত']
['গুণবান', 'গুণী', 'গুণকাম', 'গুণীর', 'গুণগ্রাহী', 'গুণনীয়ক', 'গুণসম্পন্ন', 'গুণীজন', 'গুণান্বিত', 'গুণবতী']
['পুণ্যবান', 'পুণ্যময়', 'গুণবান', 'গুরুত্তপূর্ণ', 'কল্যাণময়', 'দয়াময়ী', 'দয়াময়ীর', 'দয়াবান', 'গদার', 'সুভাষিণীর']
['বুদ্ধিমতী', 'বুদ্ধিমান', 'বুদ্ধিসম্পন্ন', 'বুদ্ধির', 'বুদ্ধিদীপ্ত', 'বুদ্ধিমতি', 'বুদ্ধিমানের', 'বুদ্ধিকা', 'বুদ্ধিগত', 'বিজ্ঞ']
['শ্রীমান', 'শ্রীম', 'শ্রীমদ্', 'শ্রীমৎ', 'শ্রীরাম', 'শ্রীমন্ত', 'শ্রীশৈলম', 'শ্রীরঙ্গম', 'শ্রীরামের', 'শ্রীরঙ্গমের']
['বিজয়', 'বিজয়', 'বিজয়পাত', 'বিজয়া', 'জয়লাভ', 'বিজয়ের', 'জয়', 'বিজয়ন', 'জয়লাভ', 'জয়']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠকই', 'পাঠকে', 'পড়শী', 'পাঠককে', 'পাঠকেরা', 'পড়শি', 'পাঠকরা']
['লেখক', 'রচনাকার', 'লেখকের', 'লেখিকার', 'রচনাকারী', 'লেখকই', 'লেখনীর', 'প্রণেতার', 'লেখকঃ', 'প্রণেতা']
['গায়ক', 'গায়কোয়াড়', 'গায়ক', 'গীতকার', 'গায়কি', 'গায়কীর', 'গায়কী', 'গায়কোয়াড়', 'গায়কোয়াড়ের', 'গায়বী']
['খোকা', 'খোকাবাবু', 'বাচ্চাকাচ্চা', 'খোকার', 'খোকাকে', 'বালকি', 'খুদে', 'বাচ্চা', 'বালক', 'বালকা']
['ছাত্র', 'ছাত্রছাত্রী', 'শিক্ষার্থী', 'ছাত্রী', 'স্টুডেন্ট', 'ছাত্রের', 'ছাত্রীর', 'ছাত্রছাত্রীর', 'শিক্ষার্থীর', 'ছাত্রই']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষিকার', 'শিক্ষিকা', 'শিক্ষয়িত্রী', 'অশিক্ষক', 'শিক্ষকের', 'শিক্ষকই', 'স্কুলশিক্ষক', 'শিক্ষনুরাগী']
['নেতা', 'নেতা৷', 'নেত্রী', 'নেতাকে', 'নেতাকর্মী', 'নেতার', 'নেত্রীর', 'নেতাই', 'লিডার', 'নেতাও']
['প্রিয়', 'প্রিয়', 'প্রিয়পাত্র', 'প্রিয়জন', 'প্রিয়তমার', 'প্রিয়পাত্র', 'প্রিয়ভাজন', 'প্রিয়তমেষু', 'প্রিয়তমার', 'প্রিয়দর্শী']
['কনিষ্ঠ', 'কমবয়সী', 'কমবয়সী', 'কনিষ্ঠতম', 'লঘিষ্ঠ', 'কিশোরী', 'ক্ষুদ্রকাঠী', 'কিশোর', 'অল্পবয়স', 'ছোটর']
['লোক', 'লোকক', 'মানুহ', 'মানুষ', 'মানুষী', 'মানুষজন', 'লোকের', 'লোকই', 'জনমানব', 'ব্যক্তি']
['শ্রমিক', 'কর্মী', 'শ্রমিকের', 'কর্মচারি', 'কর্মীর', 'কর্মকার', 'চাকরিজীবীর', 'শ্রমিকনেতা', 'শ্রমিকই', 'চাকরিজীবী']
['বাবা', 'বাবাই', 'বাবাকে', 'পিতা', 'বাবামা', 'পিতায়য়া', 'বাপ', 'আব্বা', 'বাবার', 'বাবাও']
['চাচা', 'চাচাও', 'খালা', 'ভাই', 'চাচাতো', 'ভাইয়া', 'ভাইয়ে', 'ভাইয়ে', 'চাচী', 'ঠাকুমা']
['দাদা', 'দাদু', 'আব্বা', 'দাদাভাই', 'দাদুর', 'ঠাকুমা', 'বাপ', 'চাচা', 'বড়ভাই', 'খালা']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানাকি', 'নানার', 'নানাবাড়ি', 'নানাবাড়ি', 'নানাজনের', 'খালা', 'নানী', 'ননি', 'নানাবতী']
['জেলে', 'জেলেই', 'জেলেকে', 'জেলহাজতে', 'জেলেও', 'কারাগারে', 'জেলের', 'কারাগারেই', 'জেলখানায়', 'কারাবাসে']
['ধোপা', 'ধাবা', 'ধোপাপাড়া', 'ধোপাঘাটা', 'ধামা', 'ধোওয়া', 'ধলা', 'ধাগা', 'ধুয়া', 'ধড়ক']
['বেদে', 'পীরে', 'হ্রদে', 'সমুদ্রপৃষ্ঠে', 'তীরে', 'বালুতে', 'সাগরেই', 'বিঘায়', 'সমুদ্রেই', 'সমুদ্রে']
['গুরু', 'গুরুই', 'গুরুর', 'গুরুকে', 'গুরুজন', 'ਗੁਰੂ', 'গুরুরা', 'গুরুপদ', 'গুরুগণ', 'গুরুজনের']
