['সক্ষম', 'সকর্মক', 'সক্ষমতায়', 'সক্ষমতায়', 'সক্ষমতাও', 'সামর্থ্যই', 'অক্ষ', 'সামর্থ্যে', 'ক্ষমতাই', 'সক্ষমতার']
['জটিল', 'জটিলের', 'জটিলই', 'জটিলতার', 'জটিলতাই', 'সংকীর্ণ', 'জটিলতর', 'জটিলতা', 'ঝামেলাপূর্ণ', 'জটিলতায়']
['জ্ঞানী', 'জ্ঞানীর', 'জ্ঞানদা', 'জ্ঞানদাস', 'জ্ঞানান্বেষী', 'জ্ঞানদানের', 'জ্ঞানের', 'জ্ঞানশ্রীমিত্র', 'জ্ঞানদাসের', 'জ্ঞানীগুণী']
['সংকীর্ণ', 'ঠাকুর', 'ঠুনকো', 'সংকোচনশীল', 'গোপণ', 'সংবেদ', 'ঠাকুরের', 'ঠাকুরমা', 'ঠাকুরদা', 'সংকলক']
['দুরন্ত', 'বেদান্তের', 'মড়ক', 'সংকীর্ণ', 'দুরন্তপনার', 'শ্রাবস্তী', 'বয়াতী', 'শ্রীবাস্তব', 'দুরন্তপনা', 'বদান্যতা']
['সংকীর্ণ', 'দুর্নাম', 'দুর্দমনীয়', 'সংকোচনশীল', 'সংকীর্ণভাবে', 'ঝুকিপূর্ণ', 'দুর্গম', 'বিনষ্ট', 'সংকীর্ণতম', 'জালমির']
['দুর্ভাগ্য', 'দূর্ভাগ্য', 'হতভাগ্য', 'দুর্ভাগ্যের', 'দুর্ভাগ্যজনক', 'দূর্ভাগ্যের', 'দুর্ভাগ্যই', 'অসুখী', 'দুর্ভাগ্যকে', 'দূর্ভাগ্যজনক']
['দেশী', 'সংকীর্ণ', 'দেশাত্মবোধক', 'সংকোচনশীল', 'সংযোজনশীল', 'দেশভিত্তিক', 'সংকলনকারী', 'দেশনায়ক', 'কৌষীতকি', 'সংশয়ী']
['সংকীর্ণ', 'ধূর্ত', 'সংকীর্ণভাবে', 'ধৃষ্টতাপূর্ণ', 'সংকোচনশীল', 'সংকীর্ণতম', 'দৌর্বল্য', 'সাবর্ণ', 'কাষ্ঠবহুল', 'কণ্টকাকীর্ণ']
['দোষ', 'দোষারোপ', 'দোষই', 'দোষও', 'দোষটা', 'দোষেই', 'দোষী', 'দোষে', 'দোষারোপের', 'দোষত্রুটি']
['দোষী', 'দোষীকে', 'দোষীর', 'দোষারোপের', 'দোষারোপ', 'দোষীদের', 'দোষত্রুটি', 'দোষই', 'নিষ্পাপ', 'দোষের']
['ধনাত্মক', 'সংকীর্ণ', 'সংকীর্ণতম', 'ধণাত্মক', 'ধানশালিক', 'ধনাত্নক', 'সংকোচনশীল', 'সংকীর্ণভাবে', 'ধনীক', 'ধনাত্বক']
['নতুন', 'নতুনতর', 'নতুনের', 'নতুনত্বের', 'সংকীর্ণ', 'নতুনকে', 'নতুনদের', 'নতুনত্ব', 'নতুনরা', 'নিউজরুম']
['নশ্বর', 'নব্বইয়ের', 'নেভীর', 'নকুলেশ্বর', 'নেকবর', 'নিসর্গী', 'নাকের', 'নব্বইয়ের', 'নৃসিংহের', 'নস্কর']
['সংকীর্ণ', 'নিরস', 'নিরু', 'নিরাশ', 'নিরাইন', 'নিরাজ', 'নিরাশার', 'নিরাম', 'নমনীয়তার', 'নমরুদ']
['মিথ্যা', 'মিথ্যাভাবে', 'মিথ্যে', 'মিথ্যের', 'মিথ্যাই', 'মিথ্যাবাদী', 'মিথ্যাও', 'মিথ্যাচারে', 'মিথ্যাকে', 'মিথ্যুক']
['বড়', 'বড়ু', 'বড়ো', 'বড়ে', 'বড', 'বড়া', 'বড়ি', 'বয়স্ক', 'বড়বড়', 'বুড়ো']
['সস্তা', 'সস্তায়', 'সংকীর্ণ', 'সংকোচনশীল', 'সঞ্চয়ী', 'সংকীর্ণতম', 'বিধৌত', 'দুর্মূল্য', 'ঋষিতুল্য', 'দৌর্বল্য']
['পরিষ্কার', 'পরিষ্কারক', 'পরিষ্কারে', 'পরিষ্কারের', 'পরিষ্কারই', 'পরিষ্কারভাবে', 'অষ্টপরিষ্কার', 'সংকীর্ণ', 'পরিস্কারভাবে', 'পরিষ্কারভাবেই']
['সহজ', 'সহজতম', 'সাধল', 'সহজভাবে', 'সহজসরল', 'সহজের', 'সহজে', 'সহজগম্য', 'সহজতর', 'সহজেই']
['ভারী', 'সংকীর্ণ', 'ভারি', 'সংবেদী', 'গরম', 'সংকোচনশীল', 'সংকীর্ণতম', 'ঋষিক', 'ধানশালিক', 'শিতল']
['গরম', 'সংকীর্ণ', 'দুষ্কর', 'গরমের', 'সংকীর্ণতম', 'সাহচর্য', 'নিরহংকার', 'সুগন্ধী', 'আগরকর', 'সংকোচনশীল']
['ধনী', 'ধনীর', 'ধনদৌলত', 'ধনীদের', 'ধনীক', 'ধনীরা', 'ধনাত্বক', 'ধনের', 'সমৃদ্ধ', 'ধনাত্মক']
['অবিবাহিত', 'বিবাহযোগ্য', 'অবিবাহিতা', 'বিবাহিত', 'বিবাহিতা', 'বিবাহবহির্ভূত', 'বিবাহপূর্ব', 'বিবাহোত্তর', 'বিবাহযোগ্যা', 'বিবাহও']
['ঠিক', 'সঠিক', 'ঠিকমত', 'ঠিকরে', 'ঠিকভাবে', 'ঠিকমতো', 'ঠিকও', 'ঠিকঠাক', 'ঠিকই', 'ঠিকে']
['নিরাপদ', 'নিরাপদভাবে', 'নিরাপদে', 'নিরাপদেই', 'নিরাপত্তাজনিত', 'নিরাপত্তাহীন', 'নিরাপত্তাগত', 'অনিরাপদ', 'নিরাপত্তামূলক', 'খরচসাপেক্ষ']
['সংকীর্ণ', 'মসৃণ', 'সংকোচনশীল', 'সংকীর্ণভাবে', 'সংকীর্ণতম', 'মসৃণভাবে', 'নিরাময়', 'সংকুচিত', 'আরামনগর', 'ত্বরণশীল']
['নরম', 'সংকীর্ণ', 'সুংয়ের', 'সংকোচনশীল', 'শরম', 'নিরমান', 'নিরুৎসাহী', 'সংকীর্ণভাবে', 'নিরাইন', 'নিরাম']
['লম্বা', 'লম্বাও', 'লম্বাই', 'লম্বায়', 'লম্বক', 'লম্বাটে', 'লম্বায়', 'দীর্ঘ', 'লম্বকে', 'দীর্ণ']
['দীর্ঘ', 'দীর্ঘ্য', 'দৈর্ঘ', 'সুদীর্ঘ', 'দীর্ঘদেহী', 'দীর্ঘায়ু', 'দীর্ঘকালীন', 'দীর্ঘসময়', 'দীর্ঘায়িত', 'দীর্ঘই']
['ভিজা', 'ভিসিএ', 'ভিজিএ', 'ভিসিরা', 'ভেসিকল', 'ভিসিগথ', 'ভিতা', 'ভিজি', 'ভিসিআর', 'ভিজেই']
['পুরু', 'সংকীর্ণ', 'পেরোয়', 'সুংয়ের', 'পুঁই', 'পুরি', 'পোগজ', 'পোকে', 'পুণ্যাহ', 'সংবেদ']
['সংকীর্ণ', 'আঁটসাঁট', 'আঁটপুরে', 'সংকোচিত', 'সংকোচনের', 'সেচখাল', 'সংকীর্ণভাবে', 'সংকুচিত', 'আঁখির', 'সংকোচনশীল']
['ভাল', 'ভালো', 'ভালোই', 'ভালই', 'ভালে', 'ভালর', 'ভালভাল', 'ভালো', 'ভালা', 'ভালভাবে']
['খোলা', 'খুলশী', 'খোলামোড়া', 'সংকীর্ণ', 'খোলের', 'খুলনাও', 'খোলায়', 'খোলার', 'খোলসের', 'খুলব']
['পরিষ্কার', 'পরিষ্কারক', 'পরিষ্কারে', 'পরিষ্কারের', 'পরিষ্কারই', 'পরিষ্কারভাবে', 'অষ্টপরিষ্কার', 'সংকীর্ণ', 'পরিস্কারভাবে', 'পরিষ্কারভাবেই']
['দামী', 'সংকীর্ণ', 'সংকোচনশীল', 'সংকীর্ণতম', 'সংবেদী', 'দামিনী', 'সংকীর্ণভাবে', 'দুর্দমনীয়', 'সংবেদ', 'নিদানিক']
['অকর্মক', 'অকাদেমী', 'অপশনাল', 'অনুষঙ্গী', 'অস্বভাবী', 'অভাবনীয়', 'অকালিক', 'অকালী', 'অকাদেমি', 'অকাদেমির']
['অক্ষম', 'অক্ষতই', 'অযোগ্য', 'অযোগ্যতার', 'অগম্য', 'আলগা', 'অভাবনীয়', 'অক্ষুণ্ণ', 'ক্ষমতাহীন', 'অক্ষমতার']
['আলগা', 'অতুল', 'আলগী', 'অচল', 'অহল্যা', 'আলহাজ', 'অণুসারী', 'অণুভব', 'অগত্যা', 'অলসতা']
['আলগা', 'অচেতন', 'অণুভব', 'অগম্য', 'আলগী', 'অকালী', 'অতুল', 'অণুসারী', 'অস্তগামী', 'অনাভেদী']
['অনুকূল', 'আলগা', 'অণুসারী', 'অধিতল', 'īā', 'অণুভব', 'আলেয়া', 'অজন্তা', 'অপরাহ', 'বৃত্ত']
['অনুরাগ', 'আলগা', 'অনুরাগের', 'অনুরাগীর', 'অনুরাগী', 'আলগী', 'আলেকান্দা', 'আবদার', 'আলকরা', 'অনুজাচরণ']
['অহিংস', 'আলগা', 'অহংবোধের', 'অশালীন', 'অনাহত', 'অনাহুত', 'অরাজকতা', 'অপবাদের', 'অনাবাদি', 'অনীহার']
['আলস্য', 'আলগা', 'আলা', 'আলীও', 'আলগুর', 'আলীই', 'আলবা', 'আলগী', 'আলেয়া', 'আলীকে']
['আলগা', 'আলগী', 'আলেকান্দা', 'আলগাভাবে', 'আলহাজ', 'আলগুর', 'আলীও', 'আলকরা', 'আসক্ত', 'আলা']
['আলগা', 'আস্তিক', 'আলগী', 'আলগাভাবে', 'আলহাজ', 'আপ্রাণ', 'আজাদী', 'আবদীন', 'আরোহী', 'আলকরা']
['ইতর', 'আলা', 'আলগা', 'ইতে', 'ইহারা', 'আলেয়া', 'ইতির', 'ইশপের', 'ইওর', 'অগত্যা']
['উচ্চ', 'আলগা', 'উচ্চে', 'উচ্চতা', 'আলগুর', 'উঁচাই', 'উচ্চতর', 'আলগী', 'আলকরা', 'আলুর']
['উৎকৃষ্ট', 'উৎকৃষ্টতর', 'ভালো', 'ভালভাল', 'ভাল', 'ভালো', 'সেরা', 'শ্রেষ্ঠ', 'ভালর', 'উত্তম']
['আলগা', 'অতিকায়', 'আলেয়া', 'অতল', 'আলগী', 'আলা', 'আলগাভাবে', 'উঁচাই', 'অতুল', 'আলকরা']
['উন্নত', 'উন্নিত', 'উন্নততর', 'উন্নতিই', 'উন্নীত', 'উন্নতি', 'উন্নতিটা', 'উন্নতর', 'উন্নতিকে', 'উন্নতির']
['উন্নতি', 'উন্নত', 'উন্নতিকে', 'উন্নতিটা', 'উন্নতির', 'উন্নতিই', 'উন্নতিতে', 'উন্নতর', 'উন্নতিকরণ', 'উন্নততর']
['আলগা', 'উপকারিতা', 'আলকরা', 'উপকািরতা', 'আলগী', 'উপপুরাণের', 'উপশ্রেণী', 'আলহাজ', 'আলগুর', 'অণুসারী']
['উষ্ণ', 'উষ্ণতম', 'উষ্ণতা', 'উষ্ণতর', 'গরমের', 'উষ্কে', 'উষ্ণতার', 'উষ্ণতাও', 'উষ্ম', 'উষ্ণায়ন']
['আলগী', 'কচি', 'আলগা', 'কোচই', 'আলগুর', 'কোচেরই', 'কচুয়া', 'কোচও', 'কাচির', 'কচুয়া']
['কুৎসিত', 'ভূল', 'অালী', 'গরীব', 'ঘৃণ্য', 'গরিব', 'গরুই', 'ভয়াবহ', 'জঘন্য', 'বেহুদা']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'কৃতজ্ঞতা', 'কৃতজ্ঞতায়', 'কৃতজ্ঞতাস্বরূপ', 'কৃতজ্ঞতার', 'কৃতি', 'কৃতজ্ঞচিত্তে', 'কৃতদাস', 'কৃপায়', 'কৃতার্থ']
['আলগা', 'কোমল', 'আলগুর', 'আলীই', 'কলেমা', 'কামরুল', 'আলগী', 'আলীম', 'আলুলা', 'আলালের']
['গণ্য', 'আলগা', 'গহিরা', 'আলকরা', 'কয়রা', 'গোবরা', 'গরুকে', 'ইহারা', 'গুরুকে', 'গদা']
['আলগা', 'খুচরা', 'আলকরা', 'আলগুর', 'গোবরা', 'বরগা', 'গোরা', 'গালা', 'গদা', 'এভরা']
['গরিষ্ঠ', 'আলগা', 'বেগবতী', 'বেড়ি', 'বেশধারী', 'সুদূর', 'প্রবীনতম', 'আলগী', 'সল্লা', 'তৈয়বুর']
['খ্যাতি', 'খ্যাতিকে', 'খ্যাতির', 'আলগা', 'খ্যাতিতে', 'খ্যিল', 'কুখ্যাত', 'খ্যাতনামা', 'তারকাখ্যাত', 'খ্যাতিও']
['আলগা', 'খ্যাত', 'আলগুর', 'খ্যাতনামা', 'আলগী', 'আখ্যাত', 'খ্যাপ', 'আলকরা', 'আলগাভাবে', 'খ্যিল']
['গঞ্জনা', 'গঞ্জা', 'গাজনা', 'গাঞ্জা', 'গুঞ্জা', 'গোসিংগা', 'গন্ডোয়ানা', 'গোগা', 'ঘানা', 'গাগা']
['গরল', 'গলগল', 'গরুই', 'গজাল', 'আলগা', 'গরজ', 'গদা', 'গালা', 'গরুর', 'বগলা']
['গৌণ', 'গৌরী', 'গৌরীকে', 'গৌরীর', 'গগৈয়ের', 'গৌছ', 'গণির', 'গৌরি', 'গৌতা', 'গদির']
['আলগা', 'আলগী', 'আলমগীর', 'বরগা', 'আলুর', 'আলকরা', 'আলগুর', 'গালিচা', 'ঝিল্লী', 'আলগাভাবে']
['জটিল', 'জটিলের', 'জটিলতা', 'জটিলই', 'আলগা', 'জটিলতাই', 'জটিলতার', 'আলগী', 'জটিলতায়', 'আলগাভাবে']
['জ্ঞানী', 'জ্ঞানীর', 'জ্ঞানের', 'জ্ঞানদা', 'জ্ঞানদাস', 'জ্ঞানীগুণী', 'জ্ঞানদাসের', 'জ্ঞানীদের', 'জ্ঞানকে', 'জ্ঞানেশ্বর']
['আলগা', 'আলগুর', 'ঠুনকো', 'আলগী', 'আলকরা', 'গদা', 'আলা', 'গোপী', 'লোরকা', 'গদাকে']
['দুরন্ত', 'বৃদ্বি', 'আলগা', 'বাদাগা', 'প্রবীন', 'বদান্যতা', 'বয়লার', 'মড়ক', 'দুরন্তপনার', 'বয়নের']
['আলগা', 'আলগুর', 'আলগী', 'বরগুনা', 'দুর্নাম', 'বরগা', 'বগলা', 'আলহাজ', 'গলদা', 'আলমগীর']
['দুর্ভাগ্য', 'দুর্ভাগ্যের', 'হতভাগ্য', 'দূর্ভাগ্য', 'দুর্ভাগ্যকে', 'দুর্ভাগ্যই', 'দূর্ভাগ্যের', 'দুর্ভাগ্যে', 'দুর্ভাগ্যজনক', 'দুর্দশা']
['দেশী', 'আলগা', 'আলগী', 'আলীই', 'আলদা', 'দেশই', 'আলীও', 'আলকরা', 'আলগুর', 'আলা']
['আলগা', 'আলগী', 'আলুর', 'বরগা', 'আলহাজ্ব', 'বল্গা', 'গলগল', 'ধূর্ত', 'বগলা', 'আলগুর']
['দোষ', 'দোষই', 'দোষেই', 'দোষও', 'দোষটা', 'দোষারোপ', 'দোষের', 'দোষে', 'দোষী', 'দোষীকে']
['দোষী', 'দোষীকে', 'দোষীর', 'দোষারোপের', 'দোষারোপ', 'দোষীদের', 'দোষই', 'দোষের', 'দোষ', 'দোষটা']
['ধনাত্মক', 'ধনাত্বক', 'ধনশালী', 'আলগা', 'ধনাত্নক', 'ধনুষের', 'ধনিক', 'বাদামতল', 'গুণবতী', 'মৌলভী']
['নতুন', 'নতুনের', 'নতুবা', 'নতুনকে', 'নতুনেরা', 'নতুনে', 'নতুনরা', 'নতুনদের', 'নতুনতর', 'নতুর']
['নশ্বর', 'নগরেই', 'নগরপাল', 'নুব্রা', 'নূরপুর', 'নাগারা', 'নয়াবাদ', 'নব্বইয়ের', 'নূরনগর', 'নূরের']
['আলগা', 'আলগুর', 'আলুর', 'আলগী', 'নিরস', 'নুসরা', 'আলাহার', 'নিরোকে', 'নরা', 'নুরে']
['মিথ্যা', 'মিথ্যে', 'মিথ্যের', 'মিথ্যাই', 'মিথ্যাভাবে', 'মিথ্যাও', 'মিথ্যাকে', 'মিথ্যুক', 'মিথ্যাবাদী', 'মিথ্যায়']
['বড়', 'বড়ু', 'বড়ো', 'বুড়ো', 'বুড়া', 'বড়ে', 'বড়ি', 'বড', 'বড়া', 'বড়ে']
['সস্তা', 'সস্তায়', 'আলগা', 'বৃথাই', 'আলগী', 'বেতকা', 'হালা', 'হানবাল', 'সুদা', 'জঞ্জাল']
['পরিষ্কার', 'পরিষ্কারে', 'পরিষ্কারক', 'পরিষ্কারই', 'পরিষ্কারের', 'সুশ্রুত', 'পরিষ্কারভাবে', 'আলগা', 'অস্বচ্ছতা', 'সুষ্ঠ']
['সহজ', 'সহজের', 'সহজে', 'সহজই', 'সহজেই', 'সহজতম', 'সহজসাধ্য', 'সাধল', 'সাধারণ', 'সাধারণের']
['ভারী', 'আলগা', 'আলগী', 'আলগুর', 'আলকরা', 'বরগা', 'আলীর', 'এভরা', 'ভারি', 'আলীই']
['গরম', 'আলগা', 'গরমের', 'গরুই', 'গরল', 'গরমও', 'আগরকর', 'গজাল', 'আলগী', 'গলগল']
['ধনী', 'ধনীদের', 'ধনীরা', 'ধনীর', 'বড়লোক', 'সমৃদ্ধশালী', 'ধনদৌলত', 'ধনশালী', 'সমৃদ্ধিলাভ', 'সমৃদ্ধিশালী']
['অবিবাহিত', 'অবিবাহিতা', 'বিবাহিত', 'বিবাহযোগ্য', 'বিবাহিতা', 'বিবাহও', 'বিবাহপূর্ব', 'বিবাহবহির্ভূত', 'বিবাহযোগ্যা', 'বিবাহকে']
['ঠিক', 'ঠিকে', 'ঠিকই', 'ঠিকমত', 'ঠিকও', 'ঠিকরে', 'ঠিকমতো', 'ঠিকমতো', 'ঠা', 'ঠাই']
['নিরাপদ', 'নিরাপদে', 'নিরাপদেই', 'নিরাপদভাবে', 'নিরাপত্তাজনিত', 'নিরাপত্তাগত', 'নিরাপত্তাহীন', 'নিরাপত্তাই', 'অনিরাপদ', 'নিরাপত্তার']
['আলগা', 'আলগী', 'আলমগীর', 'আলমাজী', 'আলামুত', 'আলুর', 'আলগাভাবে', 'বরগা', 'আলমগির', 'আলহাজ']
['নরম', 'আলগা', 'আলগী', 'আলগুর', 'নরা', 'নুরমির', 'রীতা', 'নুরে', 'নুরমি', 'আলমগিরি']
['লম্বা', 'লম্বাই', 'লম্বাও', 'লম্বায়', 'লম্বাটে', 'লম্বায়', 'লম্বকে', 'লম্বার', 'লম্বক', 'আলগা']
['দীর্ঘ', 'দীর্ঘ্য', 'লম্বাই', 'দীর্ঘকাল', 'দীর্ঘকালীন', 'লম্বাও', 'দীর্ঘতর', 'দীর্ঘতম', 'দীর্ঘই', 'দীর্ঘদেহী']
['ভিজা', 'ভিগা', 'ভিজিএ', 'ভেগা', 'ভিয়া', 'ভাভা', 'আলিজা', 'ভিরা', 'ভিজয়াদা', 'এভরা']
['পুরু', 'আলগা', 'বারু', 'আলগুর', 'আলগু', 'আলা', 'প্রা', 'গুরু', 'বেজু', 'বলগা']
['আলগা', 'আলুর', 'আলগী', 'আলহাজ', 'আলহাজ্ব', 'আলগুর', 'বরগুনা', 'আলকরা', 'আলগাভাবে', 'বরগা']
['ভালো', 'ভাল', 'ভালই', 'ভালে', 'ভালো', 'ভালোই', 'ভালা', 'ভালর', 'ভালোও', 'ভালভাল']
['আলগা', 'আলা', 'খোলা', 'আলেয়া', 'আলো', 'খোলাই', 'আলগুর', 'লাগার', 'আলপুর', 'লাগা']
['পরিষ্কার', 'পরিষ্কারে', 'পরিষ্কারক', 'পরিষ্কারই', 'পরিষ্কারের', 'সুশ্রুত', 'পরিষ্কারভাবে', 'আলগা', 'অস্বচ্ছতা', 'সুষ্ঠ']
['দামী', 'আলগা', 'আলগী', 'বৃথাই', 'গদা', 'দামই', 'ডালা', 'আলকরা', 'গদাই', 'দামিনী']
['অকর্মক', 'দুঃখপ্রকাশ', 'খারাপ', 'অসুখের', 'বিরক্ত', 'অপুষ্ট', 'অনিষ্ট', 'আগুস্তা', 'অবেস্তা', 'বিন্ধ্য']
['খারাপ', 'খারাব', 'অক্ষম', 'আগুস্তা', 'অক্ষমতার', 'দুঃখপ্রকাশ', 'বেদনাহত', 'অপুষ্ট', 'বিন্ধ্য', 'অবেস্তা']
['খারাপ', 'খারাব', 'আগুস্তা', 'হারসা', 'দুঃখপ্রকাশ', 'অবেস্তা', 'খাস্তা', 'খারাপের', 'রাগান্বিত', 'ভীষণা']
['খারাপ', 'দুঃখপ্রকাশ', 'খারাব', 'অবেস্তা', 'আগুস্তা', 'রাগান্বিত', 'খারাপের', 'বেদনাহত', 'অভীষ্টের', 'অবাঞ্ছিত']
['খারাপ', 'খারাব', 'অপর্ণা', 'আগুস্তা', 'হারসা', 'দুঃখপ্রকাশ', 'অভীষ্টের', 'অরুণাচল', 'অনুতপ্ত', 'অধঃস্তন']
['অনুরাগ', 'খারাপ', 'খারাব', 'ভীষণা', 'হারসা', 'অবেস্তা', 'দুঃখপ্রকাশ', 'অনুরাগের', 'খারাপের', 'অভীষ্টের']
['অহিংস', 'দাঙ্গাবাজ', 'অহিংসার', 'খারাপ', 'বহির্বাস', 'লংঘনের', 'দুঃখপ্রকাশ', 'অহিংসা', 'লঙ্ঘনের', 'খারাব']
['খারাপ', 'খারাব', 'হারসা', 'অবেস্তা', 'খাস্তা', 'দুঃখপ্রকাশ', 'আগুস্তা', 'ভীষণা', 'আক্ষা', 'আলস্য']
['খারাপ', 'খারাব', 'অবেস্তা', 'দুঃখপ্রকাশ', 'আগুস্তা', 'খারাপের', 'আক্কাছ', 'আক্ষা', 'বেদনাহত', 'রাগান্বিত']
['খারাপ', 'দুঃখপ্রকাশ', 'খারাব', 'খারাপের', 'আগুস্তা', 'রাগান্বিত', 'অবেস্তা', 'বেদনাহত', 'আস্তিক', 'দুঃশ্চিন্তা']
['খারাপ', 'খারাব', 'হারসা', 'খাররাত', 'খারাপের', 'খারাপও', 'আক্ষা', 'অবেস্তা', 'অভীষ্টের', 'ভীষণা']
['খারাপ', 'খারাব', 'খাস্তা', 'আগুস্তা', 'রেগে', 'অবেস্তা', 'আক্ষা', 'গর্ভাশয়', 'খারান', 'উচ্চ']
['খারাপ', 'খারাব', 'খারাপের', 'বেদনাহত', 'দুঃখকে', 'দুঃখের', 'দুঃখপ্রকাশ', 'আগুস্তা', 'খাররাত', 'হারসা']
['খারাপ', 'খারাব', 'খাররাত', 'হারসা', 'অভীষ্টের', 'আগুস্তা', 'দুঃখপ্রকাশ', 'ভীষণা', 'খারাপের', 'রেগে']
['খারাপ', 'খারাব', 'খাররাত', 'খারাপের', 'হারসা', 'রাগান্বিত', 'বেদনাহত', 'আগুস্তা', 'দুঃখপ্রকাশ', 'খারান']
['খারাপ', 'খারাব', 'হারসা', 'দুঃখপ্রকাশ', 'খারাপের', 'আগুস্তা', 'বেদনাহত', 'খাররাত', 'রাগান্বিত', 'সর্বনাশা']
['খারাপ', 'দুঃখপ্রকাশ', 'ভীষণা', 'খারাব', 'অভীষ্টের', 'অবেস্তা', 'শোকযাত্রা', 'হারসা', 'দুঃখপ্রকাশের', 'আগুস্তা']
['উষ্ণ', 'খারাপ', 'খারাব', 'উষ্ণায়ন', 'গরমের', 'খাস্তা', 'আগুস্তা', 'উষ্ম', 'উষ্ণায়নের', 'উষ্ণতার']
['কচি', 'খারাব', 'খারাপ', 'কুচি', 'খাস্তা', 'করচি', 'কসাক', 'কাসুরি', 'কচকচে', 'কেপে']
['কুৎসিত', 'খারাপ', 'আগুস্তা', 'খারাব', 'ক্ষুণ্ন', 'ঘৃণ্য', 'বিষণ্ণ', 'খাস্তা', 'খারাপের', 'নিষ্কাশন']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'কৃতজ্ঞতা', 'খারাপ', 'কৃতজ্ঞতায়', 'খারাপের', 'কৃতজ্ঞতার', 'খারাব', 'কৃতজ্ঞচিত্তে', 'দুঃখগাথা', 'দুঃখপ্রকাশ']
['খারাপ', 'খারাব', 'খারান', 'খাস্তা', 'হারসা', 'কমলে', 'আগুস্তা', 'খারাপের', 'কোমল', 'খটক']
['খারাপ', 'খারাব', 'হারসা', 'আক্ষা', 'খারান', 'খাস্তা', 'খাররাত', 'আগুস্তা', 'গণ্য', 'অভীষ্টের']
['খারাব', 'খারাপ', 'খাস্তা', 'হারসা', 'খারান', 'রাগা', 'আগুস্তা', 'খাররাত', 'খাচা', 'ঘারিন্দা']
['খারাপ', 'খারাব', 'খাররাত', 'খারাপের', 'দুঃখপ্রকাশ', 'আগুস্তা', 'বেদনাহত', 'ভীষ্ম', 'খাস্তা', 'ব্যথার']
['খারাপ', 'ভীষণা', 'দুঃখপ্রকাশ', 'আগুস্তা', 'খারাব', 'খারাপের', 'অবেস্তা', 'দুঃখকে', 'বেদনাহত', 'দুঃখের']
['খারাপ', 'খারাব', 'আক্ষা', 'অবেস্তা', 'আগুস্তা', 'ঘোষণার', 'হারসা', 'দুঃখপ্রকাশ', 'খারাপের', 'ঘোষণা']
['গঞ্জনা', 'গঞ্জা', 'গাঞ্জা', 'গঞ্জাম', 'গুঞ্জা', 'গাজনা', 'ঘাগটিয়া', 'গানা', 'হাসানা', 'ঘানা']
['খারাপ', 'খারাব', 'রেগে', 'খাস্তা', 'খাররাত', 'আগুস্তা', 'খারাপের', 'খারার', 'হারসা', 'গরজ']
['আগুস্তা', 'খারাপ', 'খারাব', 'খাস্তা', 'রাগা', 'ভীষণা', 'গরহাজির', 'গৌণ', 'গাঁথুনি', 'দুঃখপ্রকাশ']
['খারাব', 'খারাপ', 'খাস্তা', 'দুঃখপ্রকাশ', 'আগুস্তা', 'চঞ্চল', 'শৃংখল', 'কশাঘাত', 'দুগ্ধজাত', 'চঞ্চলা']
['খারাপ', 'জটিলতায়', 'জটিলতার', 'জটিলতর', 'জটিলতায়', 'জটিল', 'দুঃখপ্রকাশ', 'জটিলতা', 'বেদনাহত', 'জটিলের']
['জ্ঞানীর', 'জ্ঞানী', 'খারাপ', 'জ্ঞানের', 'ধীবিজ্ঞানের', 'জ্ঞানদাসের', 'জ্ঞানীদের', 'নৃবিজ্ঞানী', 'জ্ঞানতাপস', 'জ্ঞানদাস']
['খারাপ', 'খারাব', 'হারসা', 'খারাপের', 'খারান', 'খাস্তা', 'দুঃখপ্রকাশ', 'খাররাত', 'খারগে', 'আগুস্তা']
['খারাপ', 'দুরন্ত', 'খারাব', 'দুরন্তপনা', 'দুরন্তপনার', 'হারসা', 'খাররাত', 'অবেস্তা', 'খারান', 'খাস্তা']
['খারাপ', 'দুঃখপ্রকাশ', 'খারাব', 'খারাপের', 'দুঃখকে', 'দুর্বাসার', 'বেদনাহত', 'দুঃখের', 'অভীষ্টের', 'আগুস্তা']
['দুর্ভাগ্য', 'দুঃখকে', 'খারাপ', 'দুঃখপ্রকাশ', 'দূর্ভাগ্য', 'দুর্দশা', 'দুঃখের', 'দুর্ভাগ্যের', 'দুঃখজনক', 'বেদনাহত']
['খারাপ', 'খারাব', 'ভীষণা', 'দুঃখপ্রকাশ', 'খারাপের', 'হারসা', 'শোকজ', 'অভীষ্টের', 'বেদনাহত', 'দুঃখের']
['খারাপ', 'খারাব', 'আগুস্তা', 'দুঃখপ্রকাশ', 'খাস্তা', 'রাগান্বিত', 'বেদনাহত', 'ক্ষুব্ধ', 'খারাপের', 'ভীষ্ম']
['দোষও', 'দোষ', 'দোষটা', 'দোষই', 'দোষারোপ', 'খারাপ', 'দোষের', 'দোষে', 'দোষীকে', 'দোষারোপের']
['দোষী', 'দোষীকে', 'দোষীর', 'দোষও', 'দোষটা', 'দোষারোপের', 'দোষারোপ', 'দোষীসাব্যস্ত', 'দোষই', 'দোষের']
['খারাপ', 'আগুস্তা', 'খারাব', 'রাগান্বিত', 'দুঃখপ্রকাশ', 'অনুষদীয়', 'ভীষ্ম', 'খাস্তা', 'নিষ্কাম', 'বিষণ্ন']
