['চাচা', 'চাচাকে', 'আংকেল', 'আঙ্কল', 'নানু', 'আঙ্কর', 'আঙ্কেল', 'চাচাতো', 'মামা', 'মা']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠককে', 'পাঠকদের', 'পাঠকরা', 'পাঠকক্ষ', 'পাঠকেরা', 'পাঠিকাকে', 'পাঠিকাদের']
['লেখক', 'লেখিকার', 'লেখকের', 'লিখক', 'লেখককে', 'লেখকগণের', 'লেখনীর', 'লেখিকা', 'লেখকরা', 'লেখকদের']
['গায়ক', 'গায়িকার', 'গায়িকা', 'গায়িকাকে', 'গায়কের', 'গায়ত্রী', 'সঙ্গীতালোচক', 'গায়ককে', 'সঙ্গীতধারার', 'গানবাজনার']
['খোকা', 'বাগধা', 'কন্দস্বামী', 'মাগধী', 'শলাকা', 'খোকাকে', 'কয়েদী', 'কুজুর', 'খোজাদের', 'শালদা']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকের', 'শিক্ষকনেতা', 'শিক্ষিকা', 'টিচার', 'শিক্ষকতার', 'শিক্ষিকার', 'শিক্ষককে', 'শিক্ষকই']
['নেতা', 'নেতাজীর', 'নেতার', 'নেতাজী', 'নেতাজি', 'নেতাকে', 'নেতাকেই', 'নেতাজির', 'নেতায়', 'নেতৃবৃন্দের']
['পাগল', 'পাগলী', 'পাগলীর', 'পাগলা', 'পাগলের', 'পাগলি', 'পাগলও', 'পাগলামি', 'পাগলামির', 'পাগলায়']
['প্রিয়', 'প্রিয়তম', 'প্রিয়তমা', 'প্রিয়জন', 'প্রিয়জনের', 'প্রিতম', 'প্রিয়জনকে', 'প্রিয়তা', 'প্রিয়তমা', 'প্রেমি']
['কনিষ্ঠ', 'গরিষ্ঠ', 'বারোতম', 'কমদামী', 'বৈকুণ্ঠ', 'কমবেশী', 'কতশত', 'বেগুণী', 'আনকমন', 'বেশধারী']
['লোক', 'লোকজন', 'লোকজন', 'লোকটা', 'লোকটির', 'লোকজনের', 'লোকটি', 'ব্যাক্তি', 'ব্যক্তি', 'ব্যাক্তির']
['শ্রমিক', 'শ্রমিকনেতা', 'শ্রমিকের', 'শ্রমিককে', 'শ্রমিকশ্রেণির', 'শ্রমিকরা', 'শ্রমিকদের', 'শ্রমিকগণ', 'শ্রমিকনেতাদের', 'কর্মবীর']
['বাবা', 'বাপা', 'আব্বা', 'বাবাই', 'বাবাও', 'বাপ', 'বাপের', 'পিতি', 'বাবে', 'বাবর']
['চাচা', 'আংকেল', 'চাচাকে', 'আঙ্কল', 'চাচাতো', 'আঙ্কর', 'চাচাতো', 'আঙ্কেল', 'আঙ্কোলা', 'চাচারা']
['দাদা', 'দাদি', 'দাদন', 'দাদার', 'দাদু', 'দাদরি', 'দাদী', 'দাদাজী', 'দাদীর', 'দাদির']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নাজনা', 'নাইনা', 'নুনা', 'য়ানা', 'নিয়া', 'নিনা', 'আনাইয়া', 'নুন্দা', 'নায়া']
['জেলে', 'জেলেই', 'জেলখানায়', 'কারাগারে', 'কারাদন্ডে', 'জেলহাজতে', 'কারাদণ্ডে', 'জেলখানায়', 'জেলের', 'কারগারে']
['ধোপা', 'ধোবাউড়া', 'কুপতলা', 'ধলালেজ', 'ঝাঁপি', 'শালিখা', 'চিংড়ি', 'ধাঁচ', 'ধোপাঘাটা', 'গোঁফে']
['বেদে', 'বেদিতে', 'বেদই', 'বেজায়', 'বেজিয়ে', 'ওলামায়ে', 'বেদকে', 'দরদামে', 'বেদখলে', 'আদুরে']
['গুরু', 'গোয়া', 'গুরা', 'গুরুর', 'সৎগুরু', 'গুনা', 'গুরো', 'খরা', 'গয়া', 'গুতি']
['ছেলে', 'ছেল', 'ছেলেরে', 'ছেলেই', 'ছেলেমেয়ে', 'ছেলেবেলা', 'ছেলেমেয়েকে', 'ছেলের', 'ছেলেকে', 'পুত্রা']
['বর', 'বারা', 'বরের', 'বেরা', 'বহি', 'বরা', 'বাহির', 'বাইত', 'বহে', 'বাহা']
['বাদশা', 'বাদশাকে', 'বাদশাহো', 'বাদশাহী', 'বাদশাহকে', 'উপাসনা', 'বাদশাহরা', 'বাদশাদের', 'বাদশাহদের', 'বাদশাহর']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কঙ্কালীতলা', 'কান্ধলভি', 'কোংকা', 'কালেঙ্গা', 'কাঞ্চী', 'কাঞ্চনমালা', 'কুনহাল', 'কুঞ্জলাল']
['বাঘ', 'বাঘে', 'বাঘায়', 'বাঘি', 'বাঘের', 'বাঘও', 'বাঘটির', 'বাঘী', 'বাঘবেড়', 'বাঘকে']
['যোগী', 'যোগদা', 'যোগীর', 'যোগিতা', 'যোগীকে', 'যোগিনী', 'সহপাঠি', 'যোগি', 'সহযোগিতা', 'সঙ্গিত']
['তেজস্বী', 'তেজস্বীর', 'তিজাহাজা', 'তেজহাটী', 'তপস্বী', 'তেজতুরী', 'শৌলমারী', 'ছত্তারখালী', 'যশস্বী', 'তরপুরচণ্ডী']
['কিশোর', 'কিশোরের', 'কিশোরীর', 'কিশোরী', 'কিশোরীটির', 'কিশোরই', 'কিশোরীটি', 'কিশোরকালীন', 'কিশোরকে', 'কিশোরীকে']
['নর', 'নার', 'নুরে', 'নিরেন', 'নুর', 'নির', 'নরা', 'নাইর', 'নরুল', 'নিরোকে']
['সুন্দর', 'সুন্দরম', 'সুন্দরতম', 'সুন্দরি', 'সৌন্দর্যই', 'সুন্দরী', 'সৌন্দর্যময়', 'সুদর্শন', 'সৌন্দর্যে', 'সুন্দরীর']
['গুণবান', 'গুণাবলী', 'গুণবতী', 'কছুন্দী', 'গুণতিলকা', 'শালবনী', 'আবুধাবী', 'পৌলমী', 'গুণাবলি', 'বাগরামী']
['পুণ্যবান', 'পুণ্যলতা', 'পরিশ্রান্ত', 'পুষ্করিণী', 'ব্রাক্ষ্মণ', 'প্রান্তস্থ', 'জালশুকা', 'ক্ষ্যাপা', 'খুঁইজ্যা', 'পংক্তিমালা']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতি', 'বুদ্ধিমতী', 'বুদ্ধিমত্তা', 'সুবুদ্ধি', 'বুদ্ধিমত্তায়', 'শুদ্ধি', 'বুদ্ধিমত্তায়', 'বুদ্ধিদীপ্ত']
['শ্রীমান', 'শ্রীমা', 'শ্রীমদ্', 'শ্রীময়ী', 'শ্রীপ্রিয়া', 'শ্রীম', 'শ্রীকান্তকে', 'শ্রীনগর', 'শ্রীরামকে', 'শ্রীশ্রী']
['বিজয়', 'জয়ধ্বনী', 'বিজয়িনী', 'জয়ধ্বনি', 'বিজয়ন', 'জয়ধ্বজ', 'বিজয়নগরে', 'বিজিতা', 'বিজয়ের', 'বিজয়ী']
['পাঠক', 'পাঠকের', 'পাঠকক্ষ', 'পাঠককে', 'পাঠকারী', 'পাঠকরা', 'পাঠকদের', 'পাঠকেরা', 'পাঠকে', 'পাঠকই']
['লেখক', 'লেখিকা', 'লিখক', 'লেখিকার', 'লেখকের', 'লেখিকাদের', 'লেখনী', 'লেখিকাকে', 'লিখুক', 'লেখকগণের']
['গায়ক', 'গায়িকা', 'গায়িকার', 'গায়িকাকে', 'গায়কের', 'গায়ত্রী', 'গায়িকার', 'গানলেখক', 'সঙ্গীতালোচক', 'গানকে']
['খোকা', 'ঠোকা', 'খুচরা', 'শলাকা', 'খোকাবাবু', 'শালদা', 'ছোরা', 'মোদ্দা', 'বাগধা', 'গোশালা']
['ছাত্র', 'ছাত্রের', 'ছাত্রে', 'ছাত্রকে', 'ছাত্রীর', 'ছাত্রছাত্রীর', 'ছাত্রদের', 'ছাত্রছাত্রী', 'শিষ্যদের', 'ছাত্ররা']
['নেতা', 'নেতায়', 'নেতার', 'নেতায়', 'নেতাজী', 'নেতাজীর', 'নেতাজি', 'নেতাই', 'নেতাও', 'নেতাকে']
['পাগল', 'পাগলা', 'পাগলী', 'পাগলায়', 'পাগলের', 'পাগলি', 'পাগলামি', 'পাগলীর', 'পাগলাপীর', 'পাগলাটে']
['প্রিয়', 'প্রিয়তমা', 'প্রিয়তম', 'প্রিয়জন', 'প্রিয়তা', 'প্রিতম', 'প্রিয়জনের', 'প্রিয়', 'প্রিয়তা', 'প্রিয়তমা']
['কনিষ্ঠ', 'গরিষ্ঠ', 'বস্তুনিষ্ঠ', 'স্বল্পতা', 'বরইতলা', 'সুক্ষ', 'অশিষ্ট', 'প্রচণ্ড', 'প্রান্তভাগ', 'অল্পস্বল্প']
['লোক', 'লোকজন', 'লোকজন', 'লোকটা', 'লোকটির', 'গণ্য', 'পরলোক', 'লোকের', 'মানুকে', 'ব্যক্তি']
['শ্রমিক', 'শ্রমিকনেতা', 'শ্রমিকের', 'শ্রমিকরা', 'শ্রমিকশ্রেণির', 'শ্রমিককে', 'শ্রমের', 'শ্রমিকদের', 'চাকুরী', 'শ্রমিকগণ']
['বাবামা', 'আবাবা', 'বাবা', 'বাবাই', 'বাপের', 'বাবি', 'বাবাও', 'বাবার', 'বাবনা', 'বাবারই']
['চাচা', 'চাচাকে', 'আঙ্কল', 'চাচাতো', 'আংকেল', 'আঙ্কর', 'চাচারা', 'নেত্রী', 'চাচাতো', 'নভোচারীর']
['দাদী', 'দাদা', 'দাদির', 'দাদি', 'দাদার', 'দাদরি', 'দাদীর', 'দাদাপুর', 'দাদাজী', 'দাদাগিরি']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নিনা', 'নানি', 'নানির', 'নাজনা', 'নাইনা', 'নুনা', 'নুন্দা', 'নানকানা', 'নানিকে']
['জেলে', 'জেলেই', 'জেলখানায়', 'কারাগারটিতে', 'কারাদন্ডে', 'কারাদণ্ডে', 'জেলহাজতে', 'কারাগারে', 'কারাগারেই', 'জেলখানায়']
['ধোপা', 'ধোপাঘাটা', 'ষটপদী', 'ধুবড়ী', 'ধোবাউড়া', 'ধোপাদী', 'ধুবরী', 'ব্যভিচারী', 'ধাতুশিল্প', 'স্নাতকধারী']
['বেদে', 'নিরীখে', 'দরবারী', 'দরবারি', 'বেদকে', 'বাকৃবি', 'আদরে', 'বেদেনী', 'শুভাশিষ', 'শুভাকাংখী']
['গিদারি', 'গুরু', 'গুরগুরি', 'গুজরাটী', 'সৎগুরু', 'গুতাইরেজ', 'গুমরে', 'গুতি', 'উভচরী', 'ধৌলপুর']
['ছেলেই', 'ছেলেশিশুকে', 'ছেলে', 'ছেত্রী', 'ছেলেমেয়েকে', 'ছেলেরে', 'যুবাইরের', 'ছেলের', 'বালকা', 'ছেলেমেয়ের']
['বর', 'বের্শেবা', 'দস্তানা', 'নেত্রী', 'দিতির', 'বদর', 'বাহ্যত', 'বেরী', 'বিবর', 'আনিছুর']
['বাদশা', 'নেত্রী', 'বাদশাহী', 'উপদ্বীপের', 'বাদশাকে', 'উপদ্বীপটি', 'বাদশাদের', 'বাদীকে', 'ধর্মবাদী', 'পদবীকে']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কাঞ্চনমালা', 'কাঞ্চননগর', 'কাণ্ডারী', 'কাঞ্চী', 'করেঙ্গাতলী', 'কান্ধলভি', 'কোংকা', 'কুঞ্জরানী']
['বাঘ', 'বাঘাইছড়ির', 'বাঘটির', 'গঙ্গাতীর', 'বাঘটিকে', 'বাঘশুমারির', 'দুধঘাটা', 'বাঘাবাড়ি', 'বাঘটি', 'বাঘের']
['যোগী', 'নভোচারী', 'সহপাঠিনী', 'নভোচারীর', 'যোজনী', 'যোগীর', 'যোগিনীর', 'যোগসাজশের', 'যোগিনী', 'নেত্রী']
['শৈলপুত্রী', 'তেজস্বী', 'সমাধিসৌধটির', 'সুগতাকুমারী', 'সমাধিসৌধটি', 'নিঝুমদ্বীপ', 'সুপ্তশ্রী', 'পরমাসুন্দরী', 'যিশুমূর্তি', 'শৈলশ্রেণী']
['কিশোর', 'কিশোরীর', 'কিশোরের', 'কিশোরীটি', 'শৈলপুত্রী', 'কিশোরীটির', 'কিশোরটির', 'কিশোরী', 'কিশোরীকে', 'কিশোরীটিকে']
['নর', 'নুর', 'নুরের', 'নয়নের', 'নয়ের', 'নুরে', 'নার', 'নর্দ্দা', 'নিরেন', 'নুরকে']
['সুন্দরতম', 'সুন্দরী', 'সুন্দরম', 'সুন্দরি', 'সুন্দর', 'সুন্দরীর', 'সুন্দরীতমা', 'সুন্দরীগাছ', 'সৌন্দর্যই', 'সুন্দরের']
['গুণবান', 'শালবনী', 'গুণবতী', 'পরমাসুন্দরী', 'গুণকীর্তন', 'গুণী', 'স্নাতকধারী', 'উপকুলবর্তী', 'নগরভিত্তিক', 'দরবারী']
['পুণ্যবান', 'তরণীকান্ত', 'পরিস্রাবণ', 'শিরোস্ত্রাণ', 'শ্রেষ্ঠী', 'পুণ্যলতা', 'মস্তকাবরণী', 'মঙ্গলবাড়িয়া', 'নির্বাণ', 'রূপচর্চা']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতী', 'বুদ্ধিমতি', 'বুদ্ধিমত্তা', 'বুদ্ধিদীপ্ত', 'সুবুদ্ধি', 'বুদ্ধিমত্তায়', 'বুদ্ধিজীবি', 'বুদ্ধিমত্তায়']
['শ্রীমান', 'শ্রীময়ী', 'শ্রীমা', 'শ্রেনীর', 'শ্রীমঙ্গলের', 'শ্রীমদ্ভাগবতের', 'শ্রীমুখ', 'শ্রেনী', 'শ্রীমদ্ভাগবত', 'শ্রীরামের']
['বিজয়', 'বিজিতা', 'বিজয়িনী', 'জয়ধ্বজ', 'বিজয়িনী', 'বিজয়সূচক', 'জয়মতী', 'জয়মতীর', 'বিজয়ম', 'বিজয়নগর']
['পাঠকারী', 'পাঠক', 'পাঠকের', 'পাঠকক্ষ', 'পাঠককে', 'পাঠিকাদের', 'পাঠিকাকে', 'নেত্রী', 'লেখকগণের', 'পাঠকদের']
['লেখক', 'লেখকের', 'লেখিকার', 'লেখককে', 'লেখকগণের', 'চিত্রনির্মাতা', 'লেখনীর', 'লিখক', 'নেত্রী', 'লেখিকাকে']
['গায়ক', 'গায়িকার', 'নেত্রী', 'গায়ত্রী', 'চারুশিল্পী', 'গায়িকা', 'কন্ঠশিল্পী', 'তারকাশিল্পী', 'গায়িকাকে', 'সংগীতশিল্পী']
['চিরকুমারী', 'ছত্রী', 'খোকা', 'নেত্রী', 'ব্যভিচারী', 'কন্যাকুমারী', 'বাদামী', 'মধুবাগ', 'বেচাকেনার', 'পরমাসুন্দরী']
['ছাত্রছাত্রীর', 'ছাত্র', 'ছাত্রছাত্রী', 'ছাত্রনেতা', 'ছাত্রশিবির', 'ছাত্রীটির', 'ছাত্রীর', 'ছাত্রশিবিরের', 'ছাত্রী', 'ছাত্রলীগের']
['শিক্ষাদানকারী', 'শিক্ষকনেতা', 'শিক্ষক', 'শিক্ষকগণের', 'টিচার', 'শিক্ষকের', 'শিক্ষকবৃন্দ', 'শিক্ষিকা', 'শিক্ষকমণ্ডলীর', 'শিক্ষানগরী']
['পাগলীর', 'পাগলী', 'পাগল', 'উন্মাদনা', 'পাগলের', 'পাগলাপীর', 'পাগলও', 'উন্মাদ', 'পাগলামির', 'পাগলি']
['প্রিয়', 'প্রিয়তম', 'প্রিয়তমা', 'প্রিতম', 'প্রিয়জনের', 'প্রিয়জন', 'প্রিয়তা', 'প্রিয়জনকে', 'প্রেমি', 'প্রিয়তমা']
['কনিষ্ঠ', 'গরিষ্ঠ', 'নিকবর্তী', 'ছোটগল্পের', 'নিকতবর্তী', 'নিদারুণ', 'শুভাশিষ', 'শিরামধ্য', 'নিশিতের', 'বৈকুণ্ঠ']
['লোক', 'লোকটি', 'লোকজন', 'লোকটা', 'লোকটির', 'লোকজনের', 'ব্যাক্তির', 'ব্যক্তি', 'লোকজন', 'নেত্রী']
['শ্রমিকশ্রেণির', 'শ্রমিক', 'শ্রমিকনেতা', 'শ্রমিকশ্রেণীর', 'শ্রমিকের', 'শ্রমবিষয়ক', 'শ্রমিককে', 'শ্রমিকরা', 'শ্রমিকনেতাদের', 'শ্রমিকগণ']
['বাবা', 'বাবাই', 'বাবাও', 'বাপা', 'আব্বা', 'বাপ', 'বাপের', 'পিতি', 'বাবর', 'বাবি']
['চাচা', 'চাচাকে', 'আঙ্কল', 'আংকেল', 'আঙ্কেল', 'আঙ্কর', 'চাচাতো', 'মামা', 'চাচাতো', 'চাচারা']
['দাদা', 'দাদি', 'দাদার', 'দাদন', 'দাদরি', 'দাদু', 'দাদাজী', 'দাদির', 'দাদাপীর', 'দাদাভাই']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নাজনা', 'নাইনা', 'নানি', 'নুনা', 'য়ানা', 'নিয়া', 'নানান', 'নিনা', 'নুনু']
['জেলে', 'জেলেই', 'জেলখানায়', 'কারাগারে', 'কারাদন্ডে', 'জেলখানায়', 'কারাদণ্ডে', 'জেলহাজতে', 'কারাগারটিতে', 'জেলের']
['ধোপা', 'ধলালেজ', 'শালগাছ', 'ধলাটুপি', 'ধোবাউড়া', 'তোড়', 'দৌল', 'চিংড়ি', 'ধলপুর', 'ধাঁচ']
['বেদে', 'বেদই', 'বেদকে', 'বেদিতে', 'আদরে', 'ছেদে', 'বেদি', 'বেধে', 'আদুরে', 'সরোদে']
['গুরু', 'গুরো', 'গুরুর', 'গুরি', 'গুরা', 'গুদাম', 'গউছ', 'গুরগ', 'খরুচে', 'গওহার']
['ছেলে', 'ছেল', 'ছেলেই', 'ছেলেরে', 'ছেলেকে', 'ছেলেমেয়ে', 'ছেলের', 'ছেলেমেয়েকে', 'পুত্রা', 'ছেলেকেই']
['বর', 'বারা', 'বাণ', 'বরের', 'বটে', 'বরাবর', 'বহি', 'বাহ্য', 'বখে', 'বহে']
['বাদশা', 'বাদশাহো', 'বাদশাহকে', 'বাদশাকে', 'বাদশাহী', 'বাদশাহ', 'বাদশাহর', 'বাদশাহদের', 'উপাসনা', 'বাদশাদের']
['কাঙ্গাল', 'কাঞ্চী', 'কুনহাল', 'কুঞ্জে', 'কান্ধলভি', 'কাঞ্জোয়াল', 'কাঙ্গালিনী', 'কঙ্কালীতলা', 'কোংকা', 'কাঞ্চীর']
['বাঘ', 'বাঘের', 'বাঘও', 'বাঘি', 'বাঘকে', 'বাঘায়', 'বাঘই', 'বাঘটির', 'বাঘে', 'বাঘটিকে']
['যোগী', 'যোগীর', 'যোগদা', 'যোগীকে', 'যোগিতা', 'যোগের', 'সহপাঠি', 'যোগি', 'যোগজ', 'যোগিনী']
['তেজস্বী', 'তেজস্বীর', 'তেজতুরী', 'তেজহাটী', 'তেজাব', 'তাবলীগ', 'তপস্বী', 'তোত্তোরি', 'যশস্বী', 'যাদবপুর']
['কিশোর', 'কিশোরের', 'কিশোরীর', 'কিশোরী', 'কিশোরই', 'কিশোরকে', 'কিশোরীটি', 'কিশোরটির', 'কিশোরীটির', 'কিশোরটি']
['নর', 'নার', 'নুরে', 'নির', 'নুর', 'নাইর', 'নিরেন', 'নরের', 'নিরো', 'নর্দ']
['সুন্দর', 'সুন্দরম', 'সুন্দরতম', 'সুন্দরি', 'সুদর্শন', 'দরুণ', 'শুভগত', 'সৌন্দর্যই', 'সুন্দরী', 'দারুন']
['গুণবান', 'গুণাবলী', 'গুনগতমান', 'গুণাবলি', 'খানবিলকর', 'বাগরামী', 'শালগম', 'গুণবতী', 'খাসমহল', 'কছুন্দী']
['পুণ্যবান', 'পুণ্যলতা', 'বেষ্টন', 'ব্রাক্ষ্মণ', 'একরত্ন', 'দর্শায়', 'পূণ্যময়', 'প্রশস্থ', 'দেরবেন্ত', 'প্রলাপ']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতি', 'বুদ্ধিমতী', 'সুবুদ্ধি', 'বুদ্ধিমত্তা', 'শুদ্ধি', 'বুদ্ধিমত্তায়', 'উপলদ্ধি', 'বিশুদ্ধতম']
['শ্রীমান', 'শ্রীময়ী', 'শ্রীমদ্', 'শ্রীমা', 'শ্রীম', 'শ্রীমতি', 'শ্রীরামকে', 'শ্রীকান্তকে', 'শ্রীরাম', 'শ্রীপদ']
['বিজয়', 'বিজয়ের', 'বিজয়ন', 'বিজয়নগরে', 'জয়ধ্বনি', 'জয়ধ্বনী', 'বিজয়কে', 'বিজয়ী', 'বিজয়ন', 'বিজিতা']
['পাঠক', 'পাঠকের', 'পাঠককে', 'পাঠকারী', 'পাঠকক্ষ', 'পাঠকদের', 'পাঠকরা', 'পাঠকেরা', 'পাঠকে', 'পাঠকই']
['লেখক', 'লেখিকার', 'লেখকের', 'লিখক', 'লেখিকা', 'লেখককে', 'লেখনীর', 'লেখিকাদের', 'লেখিকাকে', 'লেখনী']
['গায়ক', 'গায়িকার', 'গায়িকা', 'গায়িকাকে', 'গায়কের', 'গায়ককে', 'গায়িকার', 'গানলেখক', 'সঙ্গীতালোচক', 'গায়ত্রী']
['খোকা', 'খোকাকে', 'শলাকা', 'খুচরো', 'খোকন', 'মোকছেদুল', 'খরখোদা', 'ওগুস্ত', 'শালদা', 'খোকাবাবু']
['ছাত্র', 'ছাত্রের', 'ছাত্রকে', 'ছাত্রীর', 'ছাত্রে', 'ছাত্রছাত্রীর', 'ছাত্রদের', 'ছাত্রটির', 'ছাত্ররা', 'ছাত্রছাত্রী']
['শিক্ষক', 'শিক্ষকের', 'শিক্ষকগণের', 'শিক্ষিকার', 'শিক্ষকই', 'শিক্ষকনেতা', 'শিক্ষকতার', 'শিক্ষিকা', 'শিক্ষাদর্শন', 'শিক্ষককে']
['নেতা', 'নেতার', 'নেতায়', 'নেতাজীর', 'নেতায়', 'নেতাজী', 'নেতাজি', 'নেতাকে', 'নেতাই', 'নেতাও']
['প্রিয়', 'প্রিয়তম', 'প্রিয়জন', 'প্রিয়তমা', 'প্রিতম', 'প্রিয়জনের', 'প্রিয়', 'প্রিয়তা', 'প্রমোদ', 'প্রেমাম']
['কনিষ্ঠ', 'ক্যত', 'গরিষ্ঠ', 'সচেয়ে', 'অশিষ্ট', 'বরইতলা', 'নিদারুণ', 'সুক্ষ', 'প্রচণ্ড', 'শাকল্য']
['লোক', 'লোকজন', 'লোকটা', 'লোকজন', 'লোকটির', 'লোকটি', 'লোকটিকে', 'লোককে', 'লোকজনের', 'ব্যাক্তি']
['শ্রমিক', 'শ্রমিকের', 'শ্রমিকনেতা', 'শ্রমিককে', 'শ্রমিকরা', 'শ্রমের', 'শ্রমিকদের', 'চাকুরী', 'শ্রমিকগণ', 'শ্রমিকশ্রেণির']
['বাবা', 'আব্বা', 'আব্বুর', 'বাবর', 'বাবে', 'বাবার', 'আব্বু', 'বাপা', 'পিতা', 'বাবাই']
['চাচা', 'চাচাকে', 'আংকেল', 'আঙ্কল', 'আঙ্কেল', 'চাচাও', 'থোকা', 'প্রিয়া', 'চাচাতো', 'চাকে']
['দাদা', 'দাদন', 'দাদি', 'দাদীর', 'দাদার', 'দাদু', 'দাদরি', 'দাদুকে', 'পরদাদা', 'দাদনের']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নাইনা', 'নাজনা', 'নিয়া', 'নুনা', 'আনাইয়া', 'আনিয়া', 'নায়া', 'নিয়া', 'নুরা']
['জেলে', 'জেলেই', 'জেলখানায়', 'কারাগারে', 'জেলখানায়', 'জেলহাজতে', 'জেলের', 'জেলখানা', 'কারাদন্ডে', 'কারগারে']
['ধোপা', 'ধাওয়া', 'ধুয়া', 'খুরা', 'শেরপা', 'ধেরুয়া', 'চুকা', 'উখিয়া', 'থুলা', 'খলজির']
['বেদে', 'বজরায়', 'বেওয়া', 'বেদিতে', 'ঢিলা', 'বিদুর', 'বরজে', 'খেদাও', 'পেরিয়ে', 'খুরদা']
['গুরু', 'গুরুর', 'গুরো', 'ধেরুয়া', 'হাওয়া', 'বুরু', 'গোয়া', 'খুজা', 'খরা', 'খুরা']
['ছেলে', 'ছেলেরে', 'ছেল', 'ছেলেবেলা', 'ছেলেবেলায়', 'ছেলেকে', 'ছেলেই', 'বয়ান', 'ছেলের', 'ছেলেমেয়ের']
['বর', 'বহে', 'বাহা', 'ভোলা', 'ভারে', 'রেবা', 'পরার', 'বরার', 'বরের', 'রাবেয়া']
['বাদশা', 'বাদশাকে', 'বাদশাহকে', 'বাদশাহো', 'বাদশাহী', 'বাদশাহ্', 'বাদশাদের', 'উপাসনায়', 'বাদশাহ', 'উপাসনা']
['কাঙ্গাল', 'কুঞ্জলাল', 'কাঙ্গালিনী', 'কোংকা', 'কাংরা', 'কুঞ্জে', 'কেঁওচিয়া', 'করেঙ্গাতলী', 'কুনাল', 'কানহাইয়া']
['বাঘ', 'বাঘায়', 'বাঘি', 'বাঘে', 'বাঘের', 'বাঘও', 'বাঘইল', 'বাঘকে', 'বাঘার', 'বাঘবেড়']
['যোগী', 'যোগি', 'জোড়ি', 'যোগানিয়া', 'যোগিতা', 'যোগিনী', 'যোগাতো', 'যোশির', 'যোগকে', 'যোগান']
['তরজা', 'তিজাহাজা', 'শারধা', 'চূড়া', 'তহবিলের', 'তাজপুর', 'প্রায়া', 'তেজগাঁওয়ের', 'তেজস্বী', 'তেজস্বীর']
['কিশোর', 'খিশা', 'কিশোরের', 'খলজির', 'কেশর', 'কেশরির', 'চুড়ির', 'খাজা', 'হিজর', 'খিজির']
['নর', 'নার', 'নরের', 'নিরেন', 'নুরুর', 'নুরা', 'নুরে', 'নির', 'নর্দ', 'নুর']
['সুন্দর', 'সুন্দরি', 'সুন্দরের', 'সুন্দরম', 'হবসন', 'সৌন্দর্যে', 'সৌন্দর্যময়', 'সৌন্দর্যই', 'সৌন্দর্যকে', 'সুন্দরতম']
['বিরাজ', 'পুরোধা', 'খুরশিদা', 'বাজরা', 'বাদুরতলা', 'বিকনা', 'শালবাগান', 'পালমিরা', 'পালযুগের', 'পুরুত্বের']
['পুণ্যবান', 'প্রুশিয়', 'বর্শা', 'রাবেয়া', 'হরপ্পান', 'পালশা', 'শাখায়', 'প্রজা', 'পুনায়', 'প্রলাপ']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতি', 'সুবুদ্ধি', 'বুদ্ধিমত্তা', 'উপলদ্ধি', 'শুদ্ধি', 'বুদ্ধিমত্তায়', 'বুদ্ধিমতী', 'হতবুদ্ধি']
['শ্রীমান', 'শ্রীমদ্', 'শ্রীপ্রিয়া', 'শ্রীমা', 'শ্রীনগর', 'শ্রাইন', 'শ্রীরামের', 'শ্রীরামকে', 'শ্রীময়ী', 'শ্রীপ্রিয়া']
['বিজয়', 'বিজয়া', 'বিজয়ন', 'বিজিতা', 'বিজয়গড়', 'জয়ধ্বনি', 'জয়ধ্বনী', 'বিজয়া', 'বিজয়নগরে', 'বিজয়']
['পাঠক', 'পাঠকের', 'পাঠককে', 'পাঠকারী', 'পাঠকে', 'পাঠকক্ষ', 'পাঠকরা', 'পাঠকদের', 'পাঠকেরা', 'পাঠের']
['লেখক', 'লেখিকা', 'লেখিকার', 'লিখক', 'লেখকের', 'লেখিকাদের', 'লেখনী', 'লিখুক', 'লেখিকাকে', 'লেখনীর']
['গায়ক', 'গায়িকা', 'গায়িকাকে', 'গায়িকার', 'বাজর', 'গায়ত্রী', 'গায়িকার', 'করিয়া', 'শুকরিয়া', 'গানকে']
['খোকা', 'উখিয়া', 'খরা', 'খুচরা', 'খোজা', 'খওয়া', 'করিয়া', 'খুরা', 'করোলা', 'খাইয়া']
['ছাত্র', 'ছাত্রের', 'ছাত্রীর', 'ছাত্রকে', 'ছাত্রে', 'শিষ্যের', 'ছাত্রবাস', 'ছাত্রছাত্রীর', 'পারদর্শী', 'ছাত্রনেতার']
