['দুইবেলা', 'দুই', 'দুইশো', 'দুজন', 'দুইতলা', 'দুটার', 'দুইটা', 'দুটোরই', 'দুটিও', 'দুইট']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'একেএকে', 'একে', 'এককে', 'একং', 'একের', 'একককে', 'এঁকে', 'একটির', 'একক']
['দুই', 'দুজন', 'দুটা', 'দুইটা', 'দুইটায়', 'দুটো', 'দুটিকে', 'দুজনে', 'দুটার', 'দুটো']
['তিন', 'তিনেই', 'ছটা', 'তিনখানা', 'তিনের', 'ছনের', 'ছটায়', 'তিনখানি', 'তিনে', 'আটা']
['চার', 'চারটার', 'চারমাথা', 'চারী', 'চারতলা', 'চারকে', 'চারের', 'চারগুন', 'চারকোণা', 'চারমগজ']
['পাঁচ', 'পাঁচটার', 'পাঁচের', 'পাঁচটা', 'পাঁচজন', 'পাঁচটি', 'পাঁচজনে', 'পাঁচটিই', 'পাঁচগুণ', 'পাঁচজনের']
['ছয়', 'ছা', 'রেখায়', 'ছয়ে', 'সেচ্ছায়', 'স্তবে', 'ছলনায়', 'ছাওয়া', 'জোড়া', 'দ্যায়']
['সাত', 'সাতে', 'সাত্তে', 'সাহিবে', 'সাতনা', 'সেগরে', 'সয়া', 'স্য', 'সেভড', 'সেদেশের']
['আট', 'আটা', '৬টা', 'আটবছর', 'আটটায়', 'আটশ', 'আটে', '৮টা', 'আটজন', 'আটটার']
['নয়', 'নি', 'না', 'নই', 'হয়না', 'হইনি', 'নয়তো', 'নন', 'হয়নি', 'নয়']
['দশ', 'দশমে', 'দশটা', 'দশটায়', 'দশজন', 'দশজনকে', 'দশটি', 'দশমী', 'দশটায়', 'দশটির']
['এগারো', 'এগোবে', 'এগোবেন', 'এগলো', 'এগারোটায়', 'আকওয়া', 'এগার', 'একরামুলকে', 'একরোখা', 'এগুনোর']
['বারো', 'বরাবর', 'দ্বারা', 'বকরের', 'ব্যনারে', 'বারোটা', 'বানো', 'পরোটা', 'বহুলা', 'বারোটি']
['তেরো', 'তেরোটা', 'তোরো', 'তোরে', 'অরোরা', 'তানোরে', 'পরলোকে', 'টেরে', 'তেরোজন', 'গুরো']
['চৌদ্দ', 'চৌকাঠে', 'চৌগাছা', 'চৌদ্দজন', 'চোয়ালে', 'চৌদ্দশ', 'শাড়িতে', 'চাঁইয়ের', 'চরাঞ্চলে', 'চৌগাছার']
['পনেরো', 'পনেরোটি', 'পনিরের', 'পনের', 'পিঞ্জরে', 'পিনাংয়ের', 'পনির', 'পিনহোল', 'পনেরোর', 'পিনোচে']
['ষোল', 'ষোলো', 'ষোলজন', 'গড়ালে', 'তোলপাড়', 'হাবলা', 'পোষন', 'ষোলোয়', 'Đả', 'তোপে']
['সতেরো', 'সমহারে', 'সততায়', 'সচেয়ে', 'বরাবরে', 'সতের', 'সারস্বত', 'সমরখন্দে', 'সজোরে', 'সততার']
['আঠারো', 'আঠেরো', 'আঠারোজন', 'আঠারগাছিয়া', 'আঠারো', 'আঠার', 'ঠাকুরগাঁওয়ে', 'ঠকিয়ে', 'ঠেকানোর', 'আঠারখাদা']
['উনিশ', 'উনিশে', 'উনিশের', 'উত্সব', 'উপনামে', 'নৃত্যকে', 'নৃত্যে', 'স্বনামে', 'কোনোটায়', 'স্বভোজী']
['বিশ', 'বুধে', 'বিশে', 'বিচে', 'শয়ে', 'বিশদে', 'বিগে', 'বজায়', 'ছাতু', 'বিহারে']
['একুশ', 'যাকগে', 'মক্কায়', 'একুশে', 'আবুজায়', 'শুকায়', 'আকচা', 'খওয়া', 'পরশু', 'স্তুপ']
['বাইশ', 'বাইশে', 'বুধে', 'বখাটে', 'পুইড়া', 'বাইচুং', 'বাইপাসে', 'বাইজ', 'শালবনে', 'বুলিয়ে']
['তেইশ', 'তেজগাঁও', 'তেমাথা', 'স্তবকে', 'শুষে', 'স্তবে', 'ধারেই', 'তকমায়', 'খাতিরে', 'তোরে']
['চব্বিশ', 'খিষ্টাব্দে', 'খপ্পরে', 'উচ্ছ্বাসে', 'হজ্বে', 'শালবনে', 'সচেয়ে', 'রাধাকান্ত', 'সমরখন্দে', 'প্রাঙ্গণে']
['পঁচিশ', 'পাঁচে', 'পঁচিশের', 'পাঁজা', 'পাঁচেই', 'পাঁচু', 'পঁচিশে', 'পাঁচগাঁও', 'পাঁচখোলা', 'পাঁচপীর']
['ছাব্বিশ', 'ছাব্বিশে', 'ছক্কায়', 'প্রহারে', 'পরম্পরাকে', 'শুক্লপক্ষে', 'পামুক্কালে', 'প্রহরায়', 'জব্দে', 'গুচ্ছাকারে']
['সাতাশ', 'সাদাসিধে', 'সাদাটে', 'সাদতের', 'সমুহে', 'সাদাত', 'সাজাতে', 'সাশন', 'সাবেত', 'শয়ে']
['আটাশ', 'আটখানা', 'আহুতি', 'আটতলা', 'আতাবেগ', 'আতোয়াঁ', 'আতোয়াঁন', 'আটচালা', 'আসক্তিতে', 'আওতা']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'ঊনসত্তরের', 'নয়জনের', 'নয়জন', 'ঊনসত্তর', 'নয়টিতে', 'সপ্তডিঙ্গা', 'নয়টায়', 'সপ্তসিন্ধু']
['একত্রিশ', 'রচনাকালে', 'একান্তে', 'একত্রিশতম', 'রচনাকাল', 'তৎসঙ্গে', 'একধারে', 'চারধামের', 'সতীর্থকে', 'চারধারে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
