['অলীক', 'ভক্ষ্য', 'অলঙ্কৃতা', 'উল্লুক', 'ভবিষ্য', 'ভবিষ্যৎ', 'উল্লেখজনক', 'ভবপ্রীতানন্দ', 'অভেদ্য', 'ফলশ্রুতি']
['উত্থান', 'উত্থানের', 'উতপন্ন', 'উপসংহার', 'উপসংহারের', 'উত্ত', 'উঠবার', 'উতসব', 'উঠিয়া', 'উত্খাত']
['উপসংহার', 'উপসংহারের', 'উপসংহারে', 'উদয়', 'সাবিত', 'উতপাদিত', 'সমঝোতা', 'বোঝা', 'বরণে', 'চূড়ায়']
['অতিবৃষ্টি', 'উপসংহার', 'উপসংহারের', 'অতিবৃষ্টির', 'অতিবৃষ্টিতে', 'তৎক্ষনাত', 'নৃবিজ্ঞান', 'অবক্ষেপনের', 'অবক্ষেপন', 'নৈঃশব্দ্য']
['উজান', 'উজানের', 'উসমান', 'উজানির', 'উজানে', 'উজানি', 'উসাইন', 'উগয়েন', 'উজানী', 'উসেইন']
['উপসংহার', 'উৎরাই', 'উপসংহারের', 'উপসংহারে', 'ফলাফলকে', 'পরিণয়', 'উৎরে', 'পরিণতিও', 'পরিণতিতে', 'পরিণতির']
['উপসংহার', 'উপসংহারের', 'উত্তীর্ণ', 'সমাপ্তিসূচক', 'সূক্ষ্ণ', 'তৎক্ষনাত', 'উপসংহারে', 'চূড়ান্ত', 'তত্ত্বানুসন্ধান', 'উত্কর্ষ']
['', '', '', '', '', '', '', '', '', '']
['উপসংহার', 'উপসংহারের', 'উপসংহারে', 'ঊষা', 'পেষাই', 'সমঝোতা', 'পরিণামের', 'পরিণাম', 'ফাইনালই', 'উপবিষ্টা']
['উপসংহার', 'একাল', 'উপসংহারের', 'উপসংহারে', 'তৎক্ষনাত', 'একালের', 'পরিণয়', 'পরিণতিও', 'ফাইনালকে', 'সুভাষিণীর']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'এখনে', 'এখনের', 'এখনো', 'উপসংহারে', 'এখনেই', 'উপসংহার', 'এখনি', 'এখনকার', 'এখনই']
['উপসংহার', 'কল্পনা', 'উপসংহারের', 'কল্পনাকে', 'রূপকল্পনা', 'ভাবাদর্শ', 'ধারনাকে', 'কল্পনাই', 'কল্পনাও', 'কল্পনার']
['কুমেরু', 'উপসংহার', 'উপসংহারের', 'কুম্ভের', 'কুমারস্বামী', 'কুমারজীব', 'কুমারভাগ', 'কুমিরের', 'মামুনের', 'গুদামের']
['উপসংহারের', 'উপসংহার', 'তৎক্ষনাত', 'ক্ষণস্থায়ী', 'সমাপ্তিসূচক', 'চূড়ান্তই', 'ক্ষতবিক্ষত', 'চূড়ান্ত', 'উপসংহারে', 'তত্ত্বানুসন্ধান']
['কৃষ্ণাঙ্গ', 'কৃষ্ণাঙ্গদের', 'কৃষ্ণার', 'কৃষ্ণচূড়া', 'কালো', 'কালুবিতরাণা', 'কৃষ্ণবিবরের', 'কৃষ্ণাঙ্গরা', 'কৃষ্ণণের', 'কৃষ্ণণকে']
['ঘৃণা', 'ঘৃণার', 'ঘৃণাকে', 'ঘৃণাবোধ', 'ঘৃনা', 'ঘৃণায়', 'ঘৃণানির্ভর', 'উপসংহার', 'ঘৃণাও', 'ঘৃণায়']
['গোপন', 'গোপনের', 'উপসংহার', 'উপসংহারের', 'গোপনে', 'গোপনীয়', 'গোয়েন্দাবৃত্তির', 'গোপনীয়তার', 'গোপনীয়তা', 'গোপনীয়তা']
['উপসংহার', 'উপসংহারের', 'গুপ্ত', 'খুঁতযুক্ত', 'খোজাকরণ', 'খচিত', 'উপসংহারে', 'শাস্ত্রজ্ঞ', 'খলচরিত্র', 'চম্পাবত']
['উপসংহার', 'গ্রহণ', 'উপসংহারের', 'উপসংহারে', 'গ্রহণের', 'গ্রহণে', 'গ্রহণকে', 'গ্রহাণুর', 'গ্রহনে', 'গ্রহাণুটির']
['গ্রাম্য', 'উপসংহার', 'উপসংহারের', 'গ্রামছাড়া', 'গ্রাহ্য', 'গ্রথিত', 'ফলশ্রুতি', 'ফলশ্রুতিতে', 'গ্রুম', 'গ্রীস্মকালীন']
['উপসংহার', 'উপসংহারের', 'চরিত', 'চলিত', 'সাবিত', 'পরচিত', 'চূড়ায়', 'ধারাপাট', 'ধ্যানরত', 'চরিতে']
['জন্ম', 'জন্মাত', 'জন্মতারিখ', 'জন্মসনদ', 'জন্মসনদে', 'জন্মায়', 'জন্মগ্রহণ', 'জন্মে', 'জন্মের', 'জন্মকে']
['জরিমানা', 'জরিমানার', 'জরিমানাসহ', 'উপসংহার', 'উপসংহারের', 'উপসংহারে', 'সংজ্ঞাটির', 'ফাইনালের', 'ফাইনালকে', 'সংজ্ঞাগুলির']
['জলে', 'উপসংহার', 'উপসংহারের', 'জলেতে', 'জলঢাকা', 'জলাশয়ে', 'জলছত্র', 'জলছাপ', 'জলদাপাড়া', 'জলপথকে']
['উপসংহার', 'উপসংহারের', 'জোয়ার', 'জোয়ার', 'জোয়ারের', 'উপসংহারে', 'জোয়ারের', 'জামানতের', 'জোয়ারে', 'জামুকার']
['দুর্লভ', 'উপসংহার', 'উপসংহারের', 'দূর্লভ', 'বিরল', 'বাধাল', 'বিন্দুমাত্র', 'আবিভূর্ত', 'উপসংহারে', 'দূম']
['তিরস্কার', 'উপসংহার', 'উপসংহারের', 'তিরস্কারের', 'বিক্ষুব্ধ', 'কেলেঙ্কারির', 'বাগধারার', 'অলঙ্করণের', 'অশ্বগন্ধার', 'বিরুপাক্ষ']
['উপসংহার', 'উপসংহারের', 'তুষ্ট', 'দুষ্মন্ত', 'চূড়ান্ত', 'বিন্ধ্য', 'বেহালায়', 'উপসংহারে', 'মফঃস্বল', 'বিন্দা']
['দিবা', 'উপসংহার', 'উপসংহারের', 'দিবর', 'দিবাগত', 'উপসংহারে', 'দিবি', 'দিবাকর', 'দিবাবা', 'দিব্যা']
['দিবস', 'উপসংহার', 'উপসংহারের', 'দিবসের', 'উপসংহারে', 'দিবসসমূহ', 'দিবর', 'দিবার', 'তারিখ', 'দিবসকে']
['দীর্ঘায়ু', 'দীর্ঘপথ', 'দীর্ঘদেহী', 'দৈর্ঘ্যর', 'দীর্ঘায়ু', 'দীর্ঘক্ষন', 'দীর্ঘতর', 'দীর্ঘায়ন', 'দীর্ঘায়িত', 'দীর্ঘজীবি']
['দূর', 'উপসংহার', 'দূরে', 'উপসংহারের', 'দূরের', 'দূরই', 'দূরেও', 'দূরতম', 'দূরবর্তী', 'দূরবর্তি']
['উপসংহার', 'দেনা', 'উপসংহারের', 'দাওনা', 'দিনি', 'দেনায়', 'উপসংহারে', 'দন', 'দেওয়া', 'দেওন']
['নিঃশ্বাস', 'নিঃশ্বাসে', 'নিঃশ্বাসের', 'শ্বাস', 'শ্বাসের', 'শ্বাসন', 'শ্বাসপ্রশ্বাস', 'শ্বাসরোধে', 'শ্বাসকার্য', 'শ্বাসগ্রহণ']
['নির্দিষ্ট', 'সুনির্দিষ্ট', 'উপসংহার', 'নির্দ্দিষ্ট', 'নির্দিষ্টতা', 'সধারণত', 'পূর্বনির্দিষ্ট', 'উপসংহারের', 'সংশিষ্ট', 'নির্ধারণী']
['ন্যায়', 'উপসংহার', 'উপসংহারের', 'ন্যাশ', 'ন্যাপথা', 'অর্হৎ', 'চূড়ান্তই', 'অধ্যায়ে', 'বেধে', 'সর্বনামকে']
['পূর্ণিমা', 'পূর্ণাংগ', 'পূর্ণিমাকে', 'পূর্ণানন্দ', 'পূর্ণনাম', 'পূর্ণতার', 'পূর্ণতর', 'পূর্ণের', 'পূর্ণমান', 'পূর্ণিমায়']
['উপসংহার', 'উপসংহারের', 'প্রসারণ', 'প্রসারণে', 'উপসংহারে', 'সংষ্করণের', 'সংষ্করণ', 'পরিণামের', 'প্রসারণের', 'সংষ্করণে']
['উপসংহার', 'বক্তা', 'উপসংহারের', 'বক্তাবলী', 'বক্তাই', 'বলধা', 'বক্রের', 'বক্করের', 'উপসংহারে', 'বক্তারপুর']
['প্রারম্ভ', 'উপসংহার', 'উপসংহারের', 'প্রারম্ভে', 'প্রারম্ভিক', 'প্রাইম', 'প্রারম্ভেই', 'ফার্ষ্ট', 'প্রগ্রেসিভ', 'প্রারাম্ভ']
['উপসংহার', 'মৌখিক', 'উপসংহারের', 'চীরস্মরণীয়', 'গর্ভধারিণী', 'সমাধিসৌধ', 'শ্লেষাত্মক', 'মতাদর্শিক', 'মাণ্ডুক্য', 'নিস্তারিণী']
['দূরে', 'দূরই', 'দূরের', 'দূরেও', 'দূরেই', 'দূর', 'দূরহ', 'দুরে', 'বহুদূরে', 'দূরত্বেই']
['ভিতরে', 'ভিতরেই', 'ভিতরের', 'উপসংহারে', 'ভেতরই', 'ভিতর', 'ভিতরেও', 'উপসংহার', 'ভেতরের', 'ভেতরে']
['আলো', 'আলোর', 'জানাল', 'উপসংহার', 'আলোয়', 'আলোচ্য', 'আলোকায়ন', 'বাতিসা', 'আলোটা', 'আলুতে']
['অনেক', 'উপসংহার', 'অনেকগুণ', 'অনেকটাই', 'উপসংহারের', 'অনেকবেশি', 'অনেকরকম', 'অনেকখানি', 'অনেকটা', 'উপসংহারে']
['ডান', 'উপসংহার', 'উপসংহারের', 'ডানা', 'উপসংহারে', 'ডানার', 'ডানাই', 'ফাইনালকে', 'ডানি', 'ফাইনালই']
['তরুণ', 'উপসংহার', 'তরুণই', 'উপসংহারের', 'তারুণ্যকে', 'তরুণতম', 'তরুণের', 'তরুণী', 'তরুণটির', 'তরুণদের']
['লিখিত', 'অতীত', 'লিখত', 'অতীতকে', 'অতীতেও', 'অতীতেই', 'অতীব', 'অতীতে', 'অতীতও', 'অতীতের']
['লিখিত', 'লিখত', 'লিখা', 'লেখা', 'লেখানো', 'লিখে', 'লিখল', 'লেখে', 'লিখন', 'লেখায়']
['লিখিত', 'লিখত', 'লিখে', 'লিখল', 'লেখানো', 'লিখেন', 'লিখতে', 'লিখিয়েছিল', 'লিখেছিল', 'লিখতেন']
['লিখিত', 'আগমন', 'আগায়', 'আগমনে', 'লিখত', 'আগমনের', 'আগোত', 'আগমণ', 'আগমণের', 'পৌঁছা']
['আজ', 'আজকে', 'লিখিত', 'এদিন', 'আজকেও', 'লিখত', 'আজকেই', 'বর্তমানে', 'লেখে', 'আজকের']
['লিখিত', 'লিখত', 'লিখে', 'আদি', 'লিখেন', 'লিখা', 'লেখা', 'লিখল', 'লেখেন', 'লিখিয়েছে']
['লিখিত', 'লিখত', 'লিখে', 'লেখা', 'লিখিয়েছে', 'লেখে', 'লিখল', 'লিখেন', 'লিখা', 'লিখেছে']
['লিখিত', 'লিখত', 'লিখা', 'লিখে', 'লেখা', 'লিখল', 'লেখানো', 'লিখেন', 'লিখিয়েছে', 'লেখে']
['লিখিত', 'লিখত', 'লিখা', 'লিখে', 'লিখেন', 'লেখা', 'আলো', 'লিখন', 'লেখে', 'জানাল']
['আশীর্বাদ', 'প্রশংসায়', 'প্রশংসা', 'প্রশংসাই', 'প্রশংসায়', 'প্রশংসাও', 'আশীর্বাদের', 'লিখিত', 'আশীর্বাদে', 'প্রশংসিত']
['লিখিত', 'লিখত', 'লিখে', 'লিখল', 'লিখা', 'লিখিয়েছে', 'লিখেন', 'লেখা', 'লেখে', 'লেখানো']
['লিখিত', 'লিখত', 'লিখা', 'লেখা', 'লেখে', 'লিখে', 'লিখন', 'ইহকাল', 'লিখেন', 'লিখল']
['উত্তর', 'উত্তরও', 'লিখিত', 'উত্তরেও', 'উত্তরণ', 'উত্তরই', 'উত্তরটা', 'উত্তরখান', 'লিখত', 'উপস্তর']
['', '', '', '', '', '', '', '', '', '']
['লিখিত', 'লিখত', 'লিখা', 'লেখা', 'লেখানো', 'লিখেন', 'লেখে', 'লিখন', 'উত্থান', 'লিখে']
['লিখিত', 'লিখত', 'লিখা', 'লিখে', 'লিখিয়েছে', 'লিখল', 'লেখানো', 'লিখেন', 'লেখে', 'লেখা']
['লিখিত', 'লিখত', 'লিখা', 'লিখে', 'লিখিয়েছে', 'লিখন', 'লিখল', 'লেখে', 'লিখনে', 'লিখেন']
['লিখিত', 'উজান', 'লিখত', 'লিখা', 'লিখেন', 'লেখা', 'লিখে', 'লেখেন', 'লিখল', 'লিখন']
['লিখিত', 'লিখত', 'লিখা', 'লিখে', 'লেখা', 'লিখল', 'লিখন', 'লিখেন', 'লেখে', 'লিখিয়েছে']
['লিখিত', 'লিখত', 'লেখানো', 'নিন্মলিখিত', 'লিখা', 'লিখে', 'লেখায়', 'লিখিয়ে', 'লিখল', 'সুলিখিত']
['', '', '', '', '', '', '', '', '', '']
['লিখিত', 'লিখত', 'লিখা', 'লেখা', 'লেখে', 'লিখে', 'লেখানো', 'লিখল', 'লিখন', 'লিখেন']
['লিখিত', 'লিখত', 'লিখা', 'লেখা', 'লিখে', 'লিখেন', 'লিখল', 'লেখে', 'লিখন', 'লেখায়']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'এখনে', 'এখনো', 'লিখিত', 'এখনের', 'লিখত', 'এখনই', 'লিখে', 'এখনেই', 'এখনোও']
['লিখিত', 'লিখত', 'লিখে', 'কল্পনা', 'লেখে', 'কল্পনাও', 'লিখল', 'লিখা', 'লেখা', 'লিখেন']
['লিখিত', 'লিখত', 'লিখা', 'লিখে', 'লেখা', 'লিখেন', 'লেখানো', 'লিখল', 'লেখে', 'লেখেন']
['লিখিত', 'লিখত', 'লিখে', 'লেখানো', 'লিখা', 'লিখিয়েছে', 'লিখিয়েছিল', 'লিখল', 'লিখেন', 'লিখিয়ে']
['লিখিত', 'লিখত', 'কৃষ্ণাঙ্গ', 'লিখে', 'লিখল', 'লিখা', 'লেখা', 'লিখেন', 'লেখায়', 'লেখানো']
['লিখিত', 'লিখত', 'ঘৃণা', 'লিখে', 'লিখল', 'লিখেন', 'লিখা', 'ঘৃণায়', 'ঘৃনা', 'লেখেন']
['লিখিত', 'লিখত', 'লিখে', 'লিখল', 'লেখানো', 'লিখেন', 'লিখা', 'লিখনে', 'লেখে', 'লেখায়']
['লিখিত', 'লিখত', 'লেখানো', 'লিখা', 'লিখল', 'লিখে', 'সুলিখিত', 'লেখায়', 'লিখনে', 'লেখা']
['লিখিত', 'লিখত', 'লিখা', 'লিখেন', 'লিখে', 'লিখল', 'লেখা', 'লেখেন', 'লেখে', 'লিখিয়েছে']
['লিখিত', 'লিখত', 'লিখা', 'লেখা', 'লেখানো', 'লেখায়', 'লেখে', 'লিখে', 'লিখেন', 'লিখন']
['লিখিত', 'লিখত', 'লিখা', 'লেখানো', 'লিখে', 'লিখন', 'লেখা', 'লেখে', 'লিখল', 'লিখিয়েছে']
['লিখিত', 'লিখত', 'জন্ম', 'জন্মাত', 'জন্মায়', 'জন্মে', 'জন্মানো', 'লিখে', 'লিখা', 'জন্মদানে']
['জরিমানা', 'লিখিত', 'লিখত', 'লিখল', 'লিখে', 'লিখেন', 'লিখলে', 'লিখা', 'লিখেছেন', 'লিখিয়েছেন']
['লিখিত', 'লিখত', 'লিখা', 'লিখে', 'লিখল', 'লিখন', 'লেখে', 'লিখিয়েছে', 'লিখেন', 'লেখা']
['লিখিত', 'লিখত', 'লিখা', 'লেখানো', 'লিখে', 'লিখেন', 'লেখা', 'লেখে', 'লিখন', 'লিখল']
['লিখিত', 'লিখত', 'লেখানো', 'দুর্লভ', 'লেখা', 'লিখে', 'লিখা', 'লিখেন', 'লেখায়', 'লিখল']
['লিখিত', 'লিখত', 'লিখা', 'লিখে', 'লেখানো', 'লিখল', 'লিখেন', 'লিখন', 'লেখা', 'লেখে']
['লিখিত', 'লিখত', 'লেখানো', 'লিখা', 'লিখে', 'লেখা', 'লেখে', 'লিখেন', 'লিখল', 'লেখায়']
['লিখিত', 'লিখত', 'লিখা', 'লেখা', 'লিখে', 'লেখে', 'লিখেন', 'লিখন', 'লিখল', 'দিবা']
['দিবস', 'লিখিত', 'লিখত', 'লিখে', 'লিখেন', 'লেখা', 'লিখল', 'লেখে', 'দিন', 'লিখা']
['লিখিত', 'লিখত', 'দীর্ঘায়িত', 'দীর্ঘায়ু', 'লিখল', 'লিখে', 'দীর্ঘতর', 'দীর্ঘকাল', 'দীর্ঘায়ন', 'দীর্ঘকালীন']
['লিখিত', 'লিখত', 'লিখে', 'দূর', 'দূরে', 'লিখা', 'লিখল', 'লিখেন', 'লেখা', 'লেখানো']
['লিখিত', 'লিখা', 'লিখত', 'লেখা', 'লিখে', 'লেখে', 'লিখন', 'লিখেন', 'লিখল', 'লিখিয়েছে']
['নিঃশ্বাস', 'নিঃশ্বাসে', 'শ্বাস', 'নিঃশ্বাসের', 'লিখিত', 'লিখত', 'লিখে', 'লেখে', 'লিখা', 'লেখা']
['নির্দিষ্ট', 'লিখিত', 'লিখত', 'নিদিষ্ট', 'সংজ্ঞাত', 'লেখানো', 'লিখিয়েছিল', 'লিখেন', 'লিখিয়েছেন', 'নিন্মলিখিত']
['লিখিত', 'লিখত', 'লিখা', 'লেখা', 'লেখে', 'লিখে', 'লিখিয়েছে', 'লিখেন', 'লেখন', 'লিখন']
['লিখিত', 'লিখত', 'লিখা', 'লেখানো', 'লিখে', 'লিখল', 'লেখায়', 'লেখা', 'লেখে', 'লিখেন']
['লিখিত', 'লিখত', 'লিখা', 'লেখানো', 'লিখে', 'লিখল', 'লিখেন', 'লেখা', 'লিখন', 'লেখায়']
['লিখিত', 'লিখত', 'লিখা', 'লেখা', 'লেখানো', 'লেখে', 'লেখায়', 'লেখন', 'লিখন', 'লেখেন']
['লিখিত', 'লিখত', 'লিখা', 'লিখেন', 'লিখে', 'নিন্মলিখিত', 'লেখা', 'লিখল', 'পোস্ত', 'লেখে']
['লিখিত', 'ভূমিকা', 'লিখত', 'লিখে', 'লিখা', 'লিখেন', 'লিখল', 'লেখা', 'লেখে', 'লেখেন']
['দূরে', 'লিখিত', 'লিখত', 'দূরই', 'দূরের', 'দূরহ', 'লিখে', 'দূরেই', 'লিখল', 'দূরেও']
['ভিতরে', 'ভিতরেই', 'ভিতর', 'ভিতরের', 'লিখিত', 'ভিতরেও', 'ভেতরে', 'লিখত', 'ভেতরের', 'লেখায়']
['লিখিত', 'লিখত', 'লিখা', 'লিখে', 'লিখেন', 'লেখা', 'আলো', 'লিখন', 'লেখে', 'জানাল']
['লিখিত', 'অনেক', 'লিখত', 'লিখে', 'লিখেন', 'লেখে', 'লেখা', 'লিখল', 'লেখেন', 'লিখা']
['ডান', 'লিখিত', 'লিখত', 'লেখা', 'লিখেন', 'লিখা', 'লেখে', 'লিখে', 'লিখল', 'লেখেন']
['লিখিত', 'লিখত', 'তরুণ', 'লিখে', 'লিখল', 'লিখেন', 'লিখা', 'লেখা', 'লিখেছেন', 'লেখে']
['কাছে', 'গত', 'অতীত', 'যুগে', 'যুগকে', 'ইছহাক', 'অাছে', 'ছিকে', 'পূর্বী', 'সূরী']
['কাছে', 'কাছ', 'অলীক', 'অাছে', 'কাছিন', 'অলুক', 'করম', 'অলক', 'যুযুধান', 'ইছাহক']
['কাছে', 'আকর্ষণ', 'আকর্ষণকে', 'আকর্ষন', 'কাছারি', 'কক্ষকে', 'আকর্ষনের', 'আসকর', 'আচ্ছাদন', 'হাছান']
['কাছে', 'আগমন', 'আগায়', 'পৌঁছোয়', 'আয়া', 'আসাকে', 'কাছা', 'আসন্ন', 'অছে', 'আয়ে']
['আজ', 'আজকে', 'আজকের', 'আজই', 'يَوْمًا', 'কাছে', 'ছে', 'ছি', 'হছে', 'আজকেও']
['আদি', 'কাছে', 'অ্যায়', 'আদা', 'অছি', 'কাছ', 'হই', 'খাই', 'অ্যাওয়ে', 'হাও']
['কাছে', 'আবশ্যক', 'অাছে', 'খণ্ড', 'কাছ', 'হয়্যা', 'যথা', 'ছাছি', 'অছে', 'দায়ে']
['কাছে', 'কাছ', 'কাছিন', 'করম', 'হানয়', 'কামনায়', 'অাছে', 'হোছাইন', 'হিয়ন', 'কাছিম']
['কাছে', 'আলো', 'কাছ', 'আকাবা', 'অাছে', 'জানাল', 'আকাবার', 'লাগায়', 'সঙ্কেত', 'সেঁক']
['আশীর্বাদ', 'করুণায়', 'করুণাময়', 'করুণাকণা', 'করুণার', 'আশীর্বাদের', 'করুণারত্নে', 'করুণারত্নের', 'করুণা', 'করুণারত্নেকে']
['কাছে', 'কাছ', 'অাছে', 'করম', 'ছ্যু', 'ইচ্ছুক', 'থাকুক', 'ইয়াছিন', 'যুযুধান', 'ইচ্ছার']
['ইহকাল', 'কাছে', 'কাছ', 'অাছে', 'সঙ্কেত', 'সমকাল', 'দাবায়', 'অছে', 'কাছিন', 'পুরাণের']
['উত্তর', 'উত্তরও', 'উত্তরই', 'উত্তরখান', 'উত্তরেও', 'উত্তরটা', 'উত্তরণ', 'কাছে', 'কাছ', 'রেহা']
['', '', '', '', '', '', '', '', '', '']
['উত্থান', 'কাছে', 'উতবা', 'উত্স', 'কাছ', 'হানয়', 'ওঠায়', 'তবলায়', 'উঠিয়া', 'উত্থানকে']
['কাছে', 'কাছ', 'অাছে', 'করম', 'কাছিন', 'হাবে', 'হাছান', 'হাছন', 'কাছের', 'হানয়']
['কাছে', 'কাছ', 'স্তনে', 'ছোঁয়া', 'লাগায়', 'অপরাহ্ন', 'ছিনিয়ে', 'অপারকুলাম', 'গোয়েন্দা', 'অাছে']
['উজান', 'ইউজেন', 'উজানে', 'উসাইন', 'উজানের', 'ইউকেন', 'ইউসার', 'অাসেন', 'ইউয়েন', 'উসেইন']
['কাছে', 'উৎরাই', 'কাছ', 'কাছিন', 'অাছে', 'করম', 'কাছের', 'আনতি', 'গেয়া', 'হাছন']
['কাছে', 'যোনীয়', 'তন্তুবায়', 'কাছের', 'কাছ', 'ভর্তিচ্ছু', 'ভর্তায়', 'দ্যায়', 'কাছারি', 'স্তবক']
['', '', '', '', '', '', '', '', '', '']
['কাছে', 'কাছ', 'ঊষা', 'কয়া', 'কাছিম', 'কাছিন', 'কয়ে', 'অাছে', 'কাছটা', 'করম']
['কাছে', 'একাল', 'কাছ', 'অাছে', 'কাছিন', 'কাছিম', 'করম', 'কাছের', 'কাছি', 'কাছটা']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'কাছে', 'সখনো', 'এখনো', 'অছে', 'œ', 'এখনে', 'অাছে', 'يَوْمًا', 'হছে']
['কল্পনা', 'কল্পনার', 'ধারনায়', 'কল্পনাকে', 'কাছে', 'কল্পনায়', 'ভেবে', 'কল্পনাও', 'ভাবনায়', 'ভাবের']
['কুমেরু', 'কুম', 'কাছ', 'কাছিম', 'কুমাই', 'কাছে', 'করমু', 'কুমারা', 'কুমারও', 'কমরু']
['কাছে', 'তন্তুবায়', 'সম্ভুরায়', 'ন্যাস্ত', 'অপরাহ্ন', 'যুযুধান', 'করাহয়', 'কাছের', 'ইয়ুর্ত', 'ভর্তিচ্ছু']
['কৃষ্ণাঙ্গ', 'কালুর', 'কালোয়', 'কালোটাকা', 'কালোরা', 'কৃষ্ণচূড়া', 'কালোকে', 'কালো', 'কৃষ্ণার', 'কৃষ্ণকায়']
['ঘৃণা', 'ঘৃণায়', 'ঘৃণার', 'ঘৃনা', 'কাছে', 'ঘৃণাকে', 'হুয়ে', 'ঘৃণাও', 'আহুরা', 'কাছ']
['কাছে', 'গোপন', 'গোপনের', 'কাছ', 'কাছের', 'গোয়েন্দা', 'সখা', 'জানাযার', 'কাছারি', 'গোপনে']
['কাছে', 'কাছ', 'শিরোপা', 'কাছারি', 'কাছের', 'ভায়া', 'শুকর', 'খেপ', 'গোয়েন্দা', 'খুকু']
['কাছে', 'গ্রহণ', 'গ্রহন', 'গ্রহণে', 'গ্রহনে', 'কাছ', 'গ্রহণকে', 'নেওয়া', 'গ্রহনের', 'গ্রহণের']
['গ্রাম্য', 'গ্রাহকে', 'গ্রাঁ', 'গ্রঁ', 'গ্রহকে', 'কাছে', 'গ্রহও', 'গ্র', 'কাছ', 'গ্রাহ্য']
['কাছে', 'কাছ', 'করম', 'হাছন', 'করালে', 'লাগায়', 'অাছে', 'হাছান', 'হানয়', 'কাছিন']
['জন্ম', 'জন্মু', 'জন্মাল', 'জন্মায়', 'জন্মকে', 'জন্মের', 'জন্মান', 'জন্মে', 'জন্মায়', 'কাছে']
['জরিমানা', 'জরিমানার', 'পণ্ড', 'কাছে', 'জরিমানাসহ', 'জরিমানাও', 'কাছটা', 'পয়সা', 'খাতা', 'পাকরা']
['কাছে', 'জলে', 'কাছ', 'গেয়া', 'অাছে', 'স্তনে', 'জলাবন', 'হাছন', 'কয়ে', 'কাছিন']
['জোয়ার', 'জোয়ার', 'কাছ', 'কাছে', 'অয়ার', 'জোয়ারে', 'জয়ার', 'জোয়', 'জেওর', 'হোয়ার']
['কাছে', 'স্বকীয়', 'কাছ', 'পাচু', 'দুর্লভ', 'ছাল', 'হলকা', 'স্বাহা', 'পোকাল', 'কাছাড়']
['তিরস্কার', 'কাছ', 'করাহয়', 'কাছে', 'করহার', 'কক্ষকে', 'যক্ষা', 'শিরোপা', 'শোনার', 'চক্রী']
['কাছে', 'কাছ', 'খেয়া', 'ছ্যু', 'কয়া', 'হাছান', 'সেঁক', 'অাছে', 'কয়ে', 'হানয়']
['কাছে', 'দিবা', 'দিয়', 'কাছ', 'অাছে', 'দেয়', 'দায়া', 'অছে', 'দিযে', 'কাছিন']
['দিবস', 'কাছে', 'দিবর', 'দিবা', 'দিনহাটা', 'অাছে', 'কাছ', 'দিবালোকে', 'দিনশা', 'অছে']
['কাছে', 'দীর্ঘকায়', 'প্রতিমান', 'যুগ্ন', 'কাছের', 'ক্ষিতি', 'সপ্রাণ', 'বয়ষ্ক', 'গ্রহই', 'থাকুক']
['কাছে', 'কাছি', 'অাছে', 'কাছ', 'কাছের', 'কাছিন', 'কাছটা', 'অছে', 'কাছিম', 'কাছা']
['দেনা', 'কাছে', 'দেয়া', 'দেয়', 'কাছ', 'দেন', 'দিয়', 'দেওন', 'দাওনা', 'দেয়']
['নিঃশ্বাস', 'শ্বাস', 'নিঃশ্বাসে', 'নিঃশ্বাসের', 'শ্বাসন', 'শ্বাসের', 'ভাসায়', 'শ্বাসকার্য', 'হানয়', 'ছোঁয়া']
['নির্দিষ্ট', 'নির্দিষ্টতা', 'কাছে', 'দ্বারকায়', 'নিদিষ্ট', 'এককক্ষীয়', 'নিযুক্ত', 'খণ্ড', 'কেষ্ট', 'রেখায়']
['কাছে', 'ন্যায়', 'অাছে', 'ন্যায়', 'ন্যা', 'কাছ', 'ন্যাশ', 'অছে', 'ছ্যু', 'ন্যয়']
['পূর্ণা', 'পূর্ণিমা', 'পূর্ণিমাকে', 'পূর্ণিমার', 'পূর্ণার', 'পূর্ণনাম', 'কাছে', 'পূর্ণের', 'পূর্ণিমায়', 'পুরেছেন']
['কাছে', 'কাছ', 'করম', 'করালে', 'প্রকোপ', 'ভায়া', 'কাছারি', 'প্রসব', 'কাছের', 'লাগায়']
['বক্তা', 'কাছে', 'কাছ', 'বক', 'ভায়া', 'কাছিন', 'বক্তাকে', 'কাছের', 'বক্তাই', 'কাহ্ন']
['প্রারম্ভ', 'প্রয়াস', 'প্রয়াস', 'প্রেয়ার', 'প্রমো', 'কাছে', 'প্রু', 'প্রয়াসকে', 'প্রারাম্ভ', 'প্রেরনায়']
['ভূমিকা', 'ভূমিকায়', 'ভূমিকাও', 'ভুমিকা', 'ভূমিকাকে', 'ভূমিকাই', 'কাছে', 'ভূমিকার', 'কাছ', 'ভূমিকায়']
['মৌখিক', 'কাছ', 'মাত্তা', 'তাম্রযুগীয়', 'কাছে', 'মৌজায়', 'কাছিম', 'করম', 'কাছিন', 'মাণিক্য']
['ভিতরে', 'ভিতর', 'ভেতরেই', 'ভেতরে', 'ভিতরের', 'ভেতরের', 'ভিতরেই', 'ভেতরই', 'ভিতরগড়', 'ভেতরও']
