['তুমি', 'আমরা', 'আপনা', 'আপনি', 'আমারা', 'আপনারই', 'তোমাদের', 'আমাদেরই', 'তোমরা', 'আমাদের']
['ভাই', 'ভাইবে', 'দোস্তাম', 'ভাইও', 'ভাইয়ে', 'ভাইব', 'সৎভাই', 'ভাইয়া', 'ব্রহ্মবান্ধব', 'ভাইগাই']
['পাখি', 'পাখতুনখাওয়া', 'পাখতুনখোয়া', 'পাখিটি', 'পাখতুনখাওয়ার', 'পাখতুন', 'পাশাটি', 'পাখপাখালি', 'মেয়েপাখি', 'পাখপাখালির']
['সদস্যভূক্ত', 'সদস্যবৃন্দ', 'সদস্যরূপ', 'সদস্যসচিব', 'সদস্যগণের', 'সদস্যপদের', 'সদস্যগন', 'সদস্যই', 'সদস্যভুক্ত', 'সদস্যের']
['সচিব', 'শব্দলিপি', 'সীতাকুণ্ড', 'কদমতলি', 'সোবণশিরি', 'মুণ্ডিতমস্তক', 'পূজামণ্ডপ', 'শশিভূষণ', 'শেকৃবি', 'মতিঝিল']
['দর্শকবৃন্দ', 'দর্শকের', 'দর্শকপ্রিয়তা', 'দর্শকাসন', 'দর্শকগন', 'দর্শকখরা', 'দর্শকসারি', 'দর্শক', 'দর্শকপ্রিয়তা', 'দর্শকপ্রিয়']
['শিক্ষকমণ্ডলী', 'শিক্ষকমন্ডলী', 'শিক্ষকমণ্ডলীর', 'শিখণ্ডী', 'শিক্ষকসংকটের', 'শিক্ষাথী', 'শিক্ষকবৃন্দ', 'শিক্ষকই', 'শিক্ষনুরাগী', 'শিক্ষাদানকারী']
['সুধী', 'সুতারখালী', 'সোবণশিরি', 'সাদবিরোধী', 'সুবর্ণখালি', 'সুলতত্তী', 'সাদামাটি', 'ঝিল্লী', 'সাদামাটাই', 'শয়নী']
['পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতের', 'পাণ্ডুলিপি', 'পাণ্ডিত্যের', 'পাণ্ডুলিপিটি', 'পণ্ডিতবিহারে', 'পাণ্ডিত্যে', 'পণ্ডিতবর্গ', 'পণ্ডিতবিহার']
['মন্ত্রমুগ্ধ', 'মন্ত্রীও', 'মন্ত্রসমূহের', 'মন্ত্রিত্বের', 'মন্ত্রীত্বের', 'মন্ত্রি', 'মন্ত্রিসভায়', 'মন্ত্রণালযয়ের', 'মন্ত্রীপর্যায়ের', 'মন্ত্রী']
['আমি', 'আমারই', 'আমানি', 'আমরাই', 'আমারো', 'আমটি', 'আমে', 'আমা', 'আমারে', 'আমামি']
['তুমি', 'আপনি', 'আপনাআপনি', 'তুমিই', 'আপনারই', 'তুই', 'আপনাআপনিই', 'তোমারই', 'আপনিই', 'আপনা']
['সে', '°সে', 'উনি', 'তিনি', 'সেই', 'সেটির', 'ওরই', 'তারই', 'উনাই', 'তুমসে']
['তিনি', 'তিনিই', 'উনাই', 'উনিই', 'তাঁরাই', 'উনি', 'তাঁরই', 'তারাই', 'বরবটি', 'তারই']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকের', 'শিক্ষকবৃন্দ', 'শিক্ষকবৃন্দের', 'শিক্ষকই', 'শিক্ষকনেতা', 'শিক্ষিকার', 'শিক্ষাদানকারী', 'শিক্ষকতার']
['মাঝি', 'মাঝামাঝি', 'ব্ঝি', 'মাঝামঝি', 'বারোমাসি', 'মাখজুমি', 'মাধবকুণ্ড', 'কোষঝিল্লি', 'মেঘডুবি', 'মাসাবিহ']
['ছাত্র', 'ছাত্রছাত্রীর', 'ছাত্রের', 'ছাত্রবৃন্দ', 'ছাত্রকে', 'ছাত্রসমাজ', 'ছাত্রীর', 'ছাত্রদের', 'ছাত্রীটির', 'ছাত্রলীগের']
['ধনী', 'ধনীর', 'ধনীদের', 'ধনীরা', 'ধনসম্পদের', 'সমৃদ্ধশালী', 'ধনসম্পদ', 'বহুভূজের', 'বড়লোক', 'ধনের']
['ভাই', 'ভাইও', 'ভাইবে', 'ভাইয়ে', 'ভাইব', 'ভাইয়া', 'ভাইপো', 'ভাইয়া', 'বড়ভাই', 'ব্রাদারহুড']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকের', 'শিক্ষকবৃন্দ', 'শিক্ষকবৃন্দের', 'শিক্ষকই', 'শিক্ষকনেতা', 'শিক্ষিকার', 'শিক্ষাদানকারী', 'শিক্ষকতার']
['গরু', 'গাবর', 'গাবুরা', 'গারুদা', 'গোরখপুরের', 'গর্ভস্রাব', 'গরসাচের', 'গরিয়াবন্দ', 'গালের', 'গোরখপুর']
['ছেলে', 'ছেলেরে', 'ছেলেই', 'ছেলেশিশুকে', 'যুবাইরের', 'ছেলের', 'বালকা', 'পুত্রই', 'ছেলেবেলা', 'বালকের']
['মেয়ে', 'মেয়ে', 'মেয়েকে', 'মেয়ের', 'মেয়েকে', 'মেয়েরে', 'মেয়েকেই', 'মেয়েশিশুর', 'মেয়েই', 'মেয়েই']
['ভাই', 'ভাইও', 'ভাইবে', 'ভাইয়ে', 'ভাইব', 'ভাইয়া', 'ভাইপো', 'ভাইয়া', 'বড়ভাই', 'ব্রাদারহুড']
['পাখি', 'পাখতুনখাওয়ার', 'পাতিপুকুর', 'পাখতুনখাওয়া', 'পাখতুন', 'পাখতুনখোয়া', 'পাখিটি', 'পাখীর', 'পাখতুনখোয়ার', 'পাখা']
['সদস্য', 'সদস্যের', 'সদস্যপদের', 'সদস্যগন', 'সদস্যবৃন্দ', 'সদস্যবৃন্দের', 'সদস্যকে', 'সদস্যে', 'সদস্যভূক্ত', 'সদস্যগণের']
['সচিব', 'শুরাহবিলের', 'পণ্ডিতবর্গ', 'শাকসব্জির', 'বেহিসাবি', 'খুবজিপুর', 'হাবসবার্গ', 'বিধুশেখর', 'শেইখুপুরা', 'বিপাকের']
['দর্শকগন', 'দর্শক', 'দর্শকের', 'দর্শকবৃন্দ', 'উপমহাপরিদর্শক', 'দর্শকগণ', 'দর্শককে', 'পরিদর্শক', 'মহাপরিদর্শক', 'দর্শকাসন']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকের', 'শিক্ষকবৃন্দ', 'শিক্ষকবৃন্দের', 'শিক্ষকই', 'শিক্ষকনেতা', 'শিক্ষিকার', 'শিক্ষাদানকারী', 'শিক্ষকতার']
['সুধী', 'সোবহানবাগ', 'শয়নী', 'সামছুল', 'সুধীরলাল', 'শীতলকুচি', 'সদ্যোজাত', 'শেণী', 'সামছুর', 'ঝাড়ুদার']
['সম্পাদক', 'সম্পাদিকার', 'সম্পাদকের', 'সম্পাদনার', 'সম্পাদকগণ', 'সম্পাদকমণ্ডলীর', 'সম্পাদককে', 'সম্পাদকদের', 'সম্পাদকরা', 'সম্পাদকমন্ডলীর']
['মন্ত্রী', 'মন্ত্রীর', 'মন্ত্রীও', 'মন্ত্রীগণের', 'মন্ত্রি', 'মন্ত্রীত্বের', 'প্রতিমন্ত্রীর', 'মন্ত্রীত্ব', 'মন্ত্রীপর্যায়ের', 'মন্ত্রীই']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
