['গরিবি', 'গরীবুল্লাহ', 'গরিবপুরের', 'গরিবের', 'গ্রীব', 'গেরী', 'গরিবপুর', 'গরিবুল্লাহ', 'সবুজবাগের', 'বাগদাদীর']
['দুর্বল', 'দুর্বলতম', 'দুর্বলের', 'বহুতলক', 'দুর্বলই', 'দূর্বল', 'দুর্বলকে', 'বহুমান', 'দুর্বোধ্য', 'দুর্বলতাই']
['পুরাতন', 'বুড়ো', 'পুরণ', 'বুড়োর', 'বয়স্ক', 'পুরোনো', 'বৃদ্ধ', 'বৃদ্ধের', 'প্রবীণ', 'বয়স্ক']
['উচ্চ', 'উচ্চমান', 'সৰ্বোচ্চ', 'উচ্চে', 'সর্ব্বোচ্চ', 'উচ্চতা', 'উচ্চতর', 'যথেচ্চ', 'সর্বোচ্চ', 'উচ্চহার']
['স্মার্ট', 'সার্জেণ্ট', 'স্মাদ', 'স্মাল্ট', 'মোৎসার্ট', 'স্নিগ্ধা', 'স্মার', 'মিষ্টিযুক্ত', 'স্প্রিন্ট', 'বুদ্ধিমত্তার']
['শান্ত', 'নীরস্ত', 'শান্তনু', 'নিরবিচ্ছিন্ন', 'নিরবের', 'নীরবে', 'নিরবধি', 'সাধে', 'শান্তিকে', 'নিরাময়']
['উচ্চ', 'উচ্চে', 'উচ্চমান', 'উচ্চতর', 'উচ্চতা', 'উচ্চতার', 'সর্বোচ্চ', 'উচ্চহার', 'সৰ্বোচ্চ', 'উচ্চকণ্ঠ']
['নিম্ন', 'নিম্নশ্রেণীর', 'নিম্নবিত্ত', 'নিম্নকক্ষ', 'নিম্নতম', 'নিম্নমুখী', 'নিম্নকক্ষের', 'নিম্নবিত্তের', 'নিম্নভূমি', 'নিম্নমাত্রার']
['সহজ', 'সহজে', 'সহজতম', 'সহজের', 'সাধল', 'সহজসাধ্য', 'সাধনে', 'সহজসরল', 'সহজগম্য', 'সহজেই']
['স্মার্ট', 'স্মার', 'স্মাদ', 'স্পঞ্জ', 'স্প্রিন্ট', 'স্পার', 'স্পার্স', 'স্নিগ্ধা', 'স্প্রেড', 'স্মাল্ট']
['সর্বশ্রেষ্ঠ', 'সর্বচ্চ', 'সর্বোচ্চ', 'সর্বোচ্চবার', 'সর্ব্বোচ্চ', 'সর্বোচ্চটা', 'সর্বোচ্চগুলির', 'সর্বোচ্চ্য', 'সর্বোচ্চে', 'সর্বোচ্চ']
['হট', 'আহট', 'হায়', 'হেতু', 'হ্যাটে', 'হচ্চে', 'খন্ড', 'হেয়া', 'হ্যাচ', 'থিতু']
['সহজ', 'সর্বশ্রেষ্ঠ', 'সহজতম', 'সহজে', 'সহজের', 'সহজভাবে', 'সহজেই', 'সহজসাধ্য', 'সাধরনত', 'সর্বশ্রেষ্ট']
['শান্ত', 'নীরস্ত', 'শান্তনু', 'নিরবধি', 'নিরবিচ্ছিন্ন', 'নিরবের', 'নীরবে', 'নীরবকে', 'সর্বশ্রেষ্ঠ', 'নিরবে']
['বড়', 'বড়ু', 'বড়ো', 'বড়ে', 'বুড়ো', 'বুড়া', 'বড', 'বড়া', 'বড়বড়', 'বড়ি']
['নিম্ন', 'নিম্নতম', 'নিম্নতল', 'সর্বনিম্ন', 'নিম্নভাগ', 'নিম্নমাত্রার', 'নিম্নমান', 'নিম্নসীমা', 'নিম্নতলের', 'নিম্নবিত্ত']
['সহজ', 'সহজে', 'সহজের', 'সহজতম', 'সহজসাধ্য', 'সহজেই', 'সাধল', 'সহজভাবে', 'সাধরনত', 'সহজই']
['স্মার্ট', 'সর্বোচ্চবার', 'সার্জেণ্ট', 'সর্বোচ্চ', 'সর্বোচ্চটা', 'সর্বোচ্চকরন', 'স্প্রিন্ট', 'চার্ট', 'সুব্রহ্মণ্যন', 'সুব্রহ্মণ্যম']
['দুর্বলতম', 'দুর্বল', 'দূর্বল', 'দুর্বলই', 'দুর্বলতাই', 'দুর্বলকে', 'দুর্বলের', 'দুর্বলতর', 'দুর্বলতারই', 'দুর্বলতার']
['চওড়া', 'চওড়ায়', 'চাওড়া', 'চকের', 'চওড়াভাবে', 'চিড়া', 'চৌধুরীকে', 'চকওয়াল', 'চৌধুরি', 'চুয়া']
['সহজ', 'সহজের', 'সহজতম', 'সহজসরল', 'সহজসাধ্য', 'সহজগম্য', 'সাধল', 'সহজবোধ্য', 'সহজভাবে', 'সহজে']
['দুর্বল', 'দুর্বলতম', 'দুর্বলতর', 'দূর্বল', 'দুর্বলের', 'দুর্বলতাই', 'দুর্বলকে', 'দুর্বলতার', 'দুর্বলদের', 'দুর্বলই']
['উচ্চ', 'উচ্চতার', 'উচ্চে', 'সৰ্বোচ্চ', 'সর্বোচ্চ', 'উচ্চতাপ', 'উচ্চতায়', 'উচ্চতা', 'উচ্চতর', 'সর্ব্বোচ্চ']
['নিম্নতম', 'নিম্নসীমা', 'নিম্নভাগ', 'নিম্নতল', 'নিম্নমাত্রার', 'নিম্নতলের', 'নিম্নমূখী', 'নিম্নমুখী', 'নিম্নবিত্তের', 'নিম্নবিত্ত']
['সর্বোচ্চটা', 'সর্বোচ্চগুলির', 'সর্বোচ্চবার', 'সর্বোচ্চতম', 'সর্বচ্চো', 'সর্বোচ্চটাই', 'সর্বোচ্চকরন', 'বিশতম', 'সর্বোচ্চটুকু', 'বৃহত্তম']
['সর্বনিম্ন', 'সহজ', 'স্বল্পতম', 'সর্বনিম্নে', 'সহজের', 'সহজসাধ্য', 'স্বল্পসময়ের', 'স্বল্পমেয়াদি', 'সহজে', 'স্বল্পপরিসরে']
['উচ্চ', 'সর্ব্বোচ্চ', 'সর্বোচ্চ', 'সর্বোচ্চ', 'উচ্চে', 'উচ্চতর', 'উচ্চতার', 'উচ্চতা', 'সর্বোচ', 'উচ্চকণ্ঠ']
['সহজ', 'সহজে', 'সহজের', 'সহজেই', 'সাধনে', 'সাধল', 'সহজসাধ্য', 'সহজই', 'সাধারণ্যে', 'সাধারাণ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['স্মার্ট', 'স্মার', 'স্মাদ', 'স্পঞ্জ', 'স্প্রিন্ট', 'স্পুনার', 'স্পার', 'সার্জেণ্ট', 'যন্ত্ৰ', 'স্মাল্ট']
['দুর্বল', 'দূর্বল', 'দুর্বলের', 'দুর্বলকে', 'দুর্বলই', 'দুর্বলতম', 'দুর্বলতর', 'বহুমান', 'দুর্বলতাই', 'পালোয়ান']
['শান্ত', 'শ্রাবন্তীর', 'নিরবিচ্ছিন্ন', 'নিরবের', 'নিরাময়ে', 'নিরবচ্ছিন্ন', 'মন্বন্তরের', 'নীরস্ত', 'নীরবিচ্ছিন্ন', 'বৃ্দ্ধি']
['উচ্চ', 'শাখায়', 'উচ্চে', 'উঁহু', 'উজাড়', 'স্বার', 'শিশ্ন', 'সুতোয়', 'উচ্ছন্ন', 'যথেচ্চ']
['হট', 'হেয়', 'আহট', 'হায়', 'হেয়া', 'যথা', 'থে', 'হটা', 'থলে', 'হইল']
['', '', '', '', '', '', '', '', '', '']
['সবল', 'মহালয়া', 'মহান', 'সাধুর', 'মহা', 'অাবার', 'মতিন', 'উল্লাহ', 'মজে', 'মহাজন']
['উচ্চ', 'উচ্চে', 'উচ্চমান', 'উচ্চতা', 'উচ্চহার', 'উচ্চতার', 'উচ্চতাপ', 'উচ্চকণ্ঠ', 'উচ্চতর', 'উচ্চতাই']
['সহজ', 'সহজে', 'সহজতম', 'সহজের', 'সহজেই', 'সাধল', 'সহজসাধ্য', 'সহজভাবে', 'সহজই', 'সহজভাবেই']
['উচ্চ', 'উচ্চে', 'উচ্চমান', 'উচ্চহার', 'উচ্চতা', 'উচ্চতর', 'উচ্চতার', 'সৰ্বোচ্চ', 'উচ্চমানের', 'উচ্চতাপ']
['মহাযানী', 'প্রশস্ত', 'মহাবৃত্ত', 'মহান', 'মহাভক্ত', 'মহাযান', 'মহাভারত', 'বিয়ন্ত', 'প্রশস্থ', 'মহিত']
['প্রশস্ত', 'বেষ্টিত', 'প্রশমিত', 'উচ্চারিত', 'উচ্চকিত', 'উচ্ছ্বসিত', 'প্রকম্পিত', 'প্রচলিত', 'প্রক্ষেপন', 'বিদ্যমান']
['স্মার্ট', 'চওড়া', 'স্মার্টওয়াচ', 'স্কোয়াড', 'স্কোয়াট', 'স্কুয়াট', 'স্মোকার', 'চেস্ট', 'শোয়ার্জ', 'চুটিয়া']
['ডিবাগ', 'ডিবাগিং', 'ডিজং', 'ডেবিউ', 'দিব্বোক', 'দিগ্বিজয়', 'ডিয়েঙ্গ', 'ডেবিড', 'ডাব্বু', 'দাগলেন']
['জেনারেট', 'জেনারেটিং', 'জেনারেশন', 'জেনারেটেড', 'জেনেরাল', 'জেনারাল', 'জেনারেটর', 'জেনারেশনের', 'জননেন্দ্রিয়', 'জেন্টার']
['জাম্প', 'জাম্পে', 'জাম্পিং', 'জাম্পের', 'জাম্পা', 'জাম্বু', 'জাম্বো', 'হ্যাম্পডেন', 'জাম্পাকে', 'জামালপুর']
['চেহারা', 'চেহারায়', 'চেহারাই', 'চেহারাটা', 'চেহারায়', 'চেহারাটি', 'দৃষ্টিটা', 'দৃষ্টিকে', 'চেহারাকে', 'দৃষ্টি']
['সরানো', 'সরানোর', 'সরানোয়', 'সরাবে', 'নড়ার', 'সরাচ্ছে', 'নড়তে', 'সরানো', 'নড়ে', 'নড়বে']
['ভবিষ্যদ্বাণী', 'ভবিষ্যদ্বাণীগুলির', 'ভবিষ্যদ্বাণীতে', 'ভবিষ্যদ্বাণীগুলি', 'ভবিষ্যদ্বাণীর', 'ভবিষ্যদ্বাণীকে', 'ভবিষ্যদ্বাণীগুলো', 'ভবিষ্যদ্বাণীও', 'ভবিষ্যদ্বানী', 'ভবিষ্যদ্বাণীপূর্ণ']
['রান', 'রাংআন', 'রানিং', 'রাঢ়াঙ', 'রনিং', 'রাং', 'রঞ্জন', 'রানাও', 'রাঢ়াঙ', 'রানে']
['গান', 'গ্যাংওন', 'গিং', 'গাওন', 'গাঙ্গেয়', 'গুনান', 'গ্তান', 'গাওয়ানো', 'গ্ঝান', 'গানা']
['ধীর', 'ধীরে', 'ধীরলয়ে', 'ধীরেই', 'ধীরলয়ে', 'ধীরাজ', 'ধীরগতিতে', 'ধীবর', 'ধীরলয়ের', 'ধীরেসুস্থে']
['', '', '', '', '', '', '', '', '', '']
['লিখন', 'লিখা', 'লেখন', 'লিখনে', 'লেখেন', 'লিখেন', 'লিখতে', 'লিখনের', 'লিখে', 'লিখিয়ে']
['ফ্লাই', 'ফ্লি', 'ফ্লাফি', 'ফ্লাশিং', 'ফ্লেমিং', 'ফ্লাইং', 'ফ্লিম', 'ফ্লেমিশ', 'ফ্লুইড', 'ফ্লায়িং']
['জাম্প', 'জাম্পিং', 'জাম্পে', 'জাম্পের', 'জাম্পা', 'জাম্বু', 'জাম্পার', 'জাম্বি', 'জাম্বো', 'জামালপুর']
['চেহারা', 'চেহারায়', 'চেহারাই', 'চেহারাটা', 'চেহারায়', 'চেহারাটি', 'দৃশ্যাংশের', 'মুখভর্তি', 'চেহারার', 'দৃষ্টিটা']
['সরানো', 'সরানোর', 'সরানোয়', 'নড়ার', 'সরাচ্ছে', 'সরাবে', 'নড়তে', 'নড়বে', 'নড়ে', 'সরিয়ে']
['ভবিষ্যদ্বাণী', 'ভবিষ্যদ্বাণীগুলির', 'ভবিষ্যদ্বাণীতে', 'ভবিষ্যদ্বাণীগুলি', 'ভবিষ্যদ্বাণীর', 'ভবিষ্যদ্বাণীকে', 'ভবিষ্যদ্বাণীগুলো', 'ভবিষ্যদ্বাণীও', 'ভবিষ্যদ্বানী', 'ভবিষ্যদ্বাণীপূর্ণ']
['রান', 'রানিং', 'রাঙানি', 'রঞ্জন', 'রানের', 'রাংআন', 'রনিং', 'রানে', 'রানাও', 'রিঙ']
['এলোমেলো', 'লালমাটিয়া', 'রামলোচন', 'লালমাটিয়ায়', 'লোজানো', 'লুমিয়ের', 'লাজলো', 'রামলীলার', 'লালমাটিয়া', 'লালগোলার']
['গান', 'গাইন', 'গানের', 'গ্যাংওন', 'গুনান', 'হ্যাংগিং', 'গিং', 'গানা', 'গাং', 'গাইন্দ্যা']
['ধীর', 'ধীরে', 'ধীরলয়ে', 'ধীরগতিতে', 'ধীরগতির', 'ধীরেই', 'ধীরলয়ের', 'ধীরলয়ে', 'ধীবর', 'ধীরতম']
['সাঁতার', 'সাঁতারের', 'সাঁতারে', 'সাঁতগাও', 'সাঁতারুর', 'সাঁতরাতে', 'সাঁতাহার', 'সাঁতরা', 'সাঁতরাগাছি', 'সাঁতরাগাছিতে']
['চিন্তা', 'চিন্তন', 'চিন্তার', 'চিন্তাভাবনা', 'চিন্তাধারার', 'ভাবনাচিন্তার', 'চিন্তাকে', 'চিন্তাশক্তি', 'ভাবনাচিন্তা', 'চিন্তাধারাকে']
['', '', '', '', '', '', '', '', '', '']
['লিখন', 'লিখা', 'লিখনে', 'লেখন', 'লিখেন', 'লিখনের', 'লেখেন', 'লিখতে', 'লেখালেন', 'লিখল']
['কোড', 'কোডিং', 'কোডিংয়ের', 'কোডেড', 'কোডের', 'কোডে', 'কোডগুলি', 'কোডটির', 'কোটিং', 'কোডকৃত']
['চিৎকার', 'চিৎকারের', 'যাওয়া', 'চিৎকারে', 'যাইয়া', 'যাওয়াতে', 'যাওয়া', 'ওংয়ের', 'ছড়ায়', 'যাবা']
['বর্ণনা', 'বর্ণনাও', 'বর্ণনাই', 'বর্ণনাকে', 'বর্ণনায়', 'বর্ণন', 'বর্ণনাকারী', 'বর্ণনার', 'বর্ণনাতে', 'বর্ণিত']
['জাম্প', 'জাম্পে', 'জাম্পা', 'হাম্প', 'জাম্বো', 'জাম', 'জাম্বু', 'জামেহকে', 'জাম্মু', 'জাম্পের']
['চেহারা', 'চেহারায়', 'চেহারাই', 'চেহারাটা', 'চেহারায়', 'চেহারাটি', 'দৃষ্টিটা', 'দৃষ্টিকে', 'দৃষ্টি', 'চেহারাকে']
['অনুমান', 'অনুমানমূলক', 'অনুমানের', 'অনুমানও', 'পূর্বাভাস', 'আপাতত', 'অনুমানকে', 'অনুমানিক', 'পূর্বাভাসে', 'ধারণাকৃত']
['দেখ', 'দেখুন', 'দেখো', 'তাকাও', 'রেখো', 'করলো', 'করে', 'করা', 'করছ', 'করো']
['আবিষ্কার', 'আবিষ্কারে', 'আবিষ্কারক', 'আবিষ্কারের', 'আবিষ্কারকে', 'আবিষ্কারকের', 'অবিষ্কার', 'আবিষ্কৃত', 'আবিষ্ট', 'আবিষ্কারই']
['', '', '', '', '', '', '', '', '', '']
['রানিং', 'রান', 'রনিং', 'রাংআন', 'রানুর', 'রেইনিং', 'রাঙ্গাকে', 'রঞ্জু', 'রানস', 'রানাই']
['সাঁতারের', 'সাঁতার', 'সাঁতগাও', 'সাঁতারুর', 'সাঁতারে', 'সাঁতারু', 'সাঁতরাতে', 'সাঁতারুই', 'সাঁতাহার', 'সাঁতরাগাছি']
['', '', '', '', '', '', '', '', '', '']
['জাম্প', 'জাম্পিং', 'জাম্পে', 'জাম্পের', 'জাম্পার', 'জাম্পা', 'জাম্বু', 'গাম্প', 'জাম্বো', 'পম্পের']
['', '', '', '', '', '', '', '', '', '']
['রিডিং', 'রিসিট', 'রেস্তোরাঁয়', 'রেটে', 'রিসেট', 'রেস্তোরাঁয়', 'রেডে', 'রেয়াত', 'রেখা', 'রিলেশন']
['গাওয়া', 'করা', 'হাছন', 'করলা', 'করাতেন', 'গান', 'গায়ন', 'করাত', 'কামকে', 'কররে']
['সাঁতারের', 'সাঁতার', 'সাঁতারে', 'সাঁতগাও', 'সাঁতারুর', 'সাঁতরাতে', 'সাঁতরাগাছি', 'সাঁতরা', 'সাঁতারু', 'সাঁতরে']
['তৈরি', 'ওয়াকিং', 'গড়ে', 'ওয়াকা', 'উন্নাও', 'গোড়ে', 'বানাম', 'গড়ন', 'উহান', 'ঠেকান']
['দাড়াঁয়', 'নাড়ায়', 'নাড়া', 'নাড়াচাড়া', 'খাটায়', 'তাড়ন', 'করিয়ে', 'তাড়ানো', 'চড়ার', 'চড়ে']
['যেতে', 'যাওয়াতে', 'যাওয়া', 'যাওয়ায়', 'গিয়ে', 'যাওয়া', 'যেতেই', 'যাইতে', 'যাবা', 'যায়ে']
['শুনা', 'শুনাতেন', 'শোনা', 'করা', 'শুখা', 'করন', 'রেখা', 'শুনিয়ে', 'শুনার', 'শোনে']
['জাম্প', 'জাম্পা', 'জাম্পাকে', 'জাম্পিং', 'জাম্পের', 'জাম্পে', 'জাম্বি', 'জাম্বো', 'গাম্প', 'জাম্বু']
['রান', 'রাংআন', 'রত্ন', 'রাইন্ড', 'রওনক', 'রানুর', 'রাঢ়াঙ', 'হয়রান', 'রায়হান', 'রানের']
['এলোমেলো', 'লালু', 'লাজলো', 'কুলো', 'উল্টো', 'নাড়ু', 'দোলনায়', 'নাড়া', 'লাখো', 'স্তিলো']
['ধীর', 'ধীরে', 'গতি', 'ধীরগতি', 'ধীরেই', 'গতিকে', 'ধীরগতির', 'গতিও', 'ধীরলয়ে', 'ধীরগতিতে']
['', '', '', '', '', '', '', '', '', '']
['কোড', 'কোডিং', 'কোডে', 'কোডেড', 'কোডও', 'কোডের', 'কোডন', 'কোডা', 'কোডকে', 'কোডেক']
['ডিবাগ', 'ডিবাগিং', 'ডেবিউ', 'ডেবিড', 'ডিবির', 'ডেবিয়ান', 'দিব্বোক', 'ডেবি', 'ডিবা', 'ডিবিতে']
['মাছি', 'মাছও', 'উড়ল', 'মাছির', 'মাছ', 'মাছের', 'মাছটি', 'উড়ি', 'উড়ান', 'উড়ো']
['চেহারা', 'চেহারাই', 'চেহারাটা', 'চেহারায়', 'চেহারাটি', 'চেহারায়', 'দৃশ্যাংশের', 'মুখভর্তি', 'চেহারাটাই', 'দৃষ্টিটা']
['সরানো', 'সরানোর', 'সরানোয়', 'নড়ার', 'সরাচ্ছে', 'সরাবে', 'নড়তে', 'নড়বে', 'নড়ে', 'সরিয়ে']
['ভবিষ্যদ্বাণী', 'ভবিষ্যদ্বাণীগুলির', 'ভবিষ্যদ্বাণীগুলি', 'ভবিষ্যদ্বাণীতে', 'ভবিষ্যদ্বাণীর', 'ভবিষ্যদ্বাণীকে', 'ভবিষ্যদ্বাণীগুলো', 'ভবিষ্যদ্বাণীও', 'ভবিষ্যদ্বানী', 'ভবিষ্যদ্বাণীপূর্ণ']
['রান', 'রানিং', 'রনিং', 'রাংআন', 'রানের', 'রঞ্জন', 'রানে', 'রানটা', 'রানারে', 'রঙ্গন']
['ধীর', 'ধীরে', 'ধীরলয়ে', 'ধীরগতিতে', 'ধীরগতির', 'ধীরেই', 'ধীবর', 'ধীরাজ', 'ধীরেসুস্থে', 'ধীরলয়ের']
['চিন্তা', 'চিন্তন', 'চিন্তাধারার', 'চিন্তাভাবনা', 'চিন্তার', 'ভাবনাচিন্তার', 'ভাবনাচিন্তা', 'চিন্তাশক্তি', 'চিন্তাকে', 'চিন্তাধারাকে']
['', '', '', '', '', '', '', '', '', '']
['কোড', 'কোডিং', 'কোডের', 'কোডেড', 'কোডিংয়ের', 'কোডগুলি', 'কোটিং', 'কোডটির', 'কোডে', 'কোডকৃত']
['ডিবাগ', 'ডিবাগিং', 'ডিজং', 'দেবপ্রয়াগ', 'ডিগবাজি', 'ডিকাব', 'ডোপিং', 'ডিকোডিং', 'ডকিং', 'দাগলেন']
['ফ্লাই', 'ফ্লি', 'ফ্লাশিং', 'ফ্লাইং', 'ফ্লায়িং', 'ফ্লেমিং', 'ফ্লাড', 'ফ্লুইড', 'ফ্লাশের', 'ফ্লেম']
['কোডের', 'কোড', 'কোডেড', 'কোডিংয়ের', 'কোডির', 'কোডটির', 'কোডশেয়ার', 'কোডার', 'কোকান্দের', 'কোটানের']
['অদৃশ্য', 'অদৃশ্যের', 'অদৃশ্যমান', 'অদৃশ্যতা', 'অবকক্ষ', 'অদৃশ্যকরণ', 'অদৃঢ়', 'অযোধ্যা', 'অযোধ্যায়', 'অক্ষমতাজনিত']
['বিলুপ্ত', 'বিক্ষিপ্ত', 'বিক্রান্ত', 'লুপ্ত', 'বিবর্জিত', 'বিকাশিত', 'ঘূর্ণনরত', 'বিস্ফারিত', 'ধ্বংসাত্বক', 'শৃঙ্খলাবদ্ধ']
['লেখা', 'লিখা', 'লিখন', 'লেখায়', 'লেখায়', 'লেখে', 'লেখন', 'লেখ্য', 'লেখান', 'লিখত']
['কোড', 'কোডেড', 'কোডের', 'কোডে', 'কোডিং', 'কোডটির', 'কোডার', 'কোডেক', 'কোডগুলি', 'কোডার্স']
['ডিবাগ', 'দিগ্বিজয়', 'ডিবাগিং', 'ডিবির', 'দিপা', 'ডিজং', 'ডেবিউ', 'ডাব্বু', 'ডয়েচে', 'ডেব্যু']
['জাম্প', 'জাম্পে', 'জাম্পা', 'জাম্পের', 'জাম্বু', 'জাম্পিং', 'জাম্বো', 'পাম্পে', 'পাম্প', 'জাম্মু']
['চেহারা', 'চেহারায়', 'চেহারাই', 'চেহারায়', 'চেহারাটা', 'দৃষ্টিকে', 'দৃষ্টিটা', 'দৃষ্টি', 'চেহারাটি', 'মুখভর্তি']
['গান', 'গানের', 'গানই', 'গানকে', 'গানটির', 'গানা', 'গানটা', 'গানি', 'গানে', 'গানটি']
['খেলায়', 'খেলতেই', 'খেলাতেই', 'খেলাকেই', 'খেলাকালে', 'খেলতে', 'খেলা', 'খেলাটায়', 'খেলাতে', 'খেলে']
['লেখা', 'লেখন', 'লেখি', 'লেখে', 'লেখায়', 'লেখেন', 'লেখো', 'লিখা', 'লেখানো', 'লিখে']
['খেলান', 'খেলা', 'খেলতেন', 'খেলবা', 'খেলাতেন', 'খেলাফতের', 'খেলালেন', 'খেলতে', 'খেলাতে', 'খেলে']
['রান', 'রানাও', 'রেয়ন', 'রানে', 'রত্ন', 'রানও', 'রন', 'রতন', 'রুন', 'রেহান']
['সাঁতারের', 'সাঁতগাও', 'সাঁতার', 'সাঁতারে', 'সাঁতারুর', 'সাঁতরা', 'সাঁতরে', 'সাঁতরাতে', 'সাঁতাহার', 'সাঁতারু']
['কোড', 'কোডেড', 'কোডে', 'কোডিং', 'কোক', 'ককেড', 'কোহাট', 'কোডের', 'কস্ট', 'কোডিংয়ের']
['ডিবাগ', 'ডেপ', 'ডেব', 'ডয়েচে', 'ডেবিউ', 'দুর', 'ডাব্বু', 'ডিপে', 'দিগ্বিজয়', 'দিউফ']
['যেয়ে', 'যেয়ো', 'যাওয়া', 'গিয়ে', 'যায়', 'যেতে', 'করতে', 'যায', 'যায়ে', 'করছ']
['জাম্প', 'জাম্পে', 'জাম্বু', 'জাম্পের', 'জাম্পা', 'জাম্বো', 'জাম্মু', 'হাম্প', 'জামেহকে', 'জামায়']
['চেহারা', 'ভবিষ্যদ্বাণী', 'চেহারাই', 'চেহারাটা', 'ভবিষ্যদ্বাণীগুলির', 'চেহারাটি', 'ভবিষ্যদ্বাণীগুলি', 'চেহারায়', 'মুখভর্তি', 'অভিব্যক্তিগুলো']
['কোড', 'কোডে', 'কোডিং', 'কোডেড', 'কোডও', 'কোডের', 'কোডন', 'কোডেক', 'কোডা', 'কোডকে']
['ডিবাগ', 'ডিবাগিং', 'দিব্বোক', 'ডিবা', 'ডিবির', 'ডেবিউ', 'দেবগ্রামের', 'ডেবরা', 'দিব্বোকের', 'ডেবিড']
['', '', '', '', '', '', '', '', '', '']
['কোড', 'কোডিং', 'কোডেড', 'কোডে', 'কোডও', 'কোডের', 'কোডেক', 'কোডকে', 'কোডেক্স', 'কোডন']
['ডিবাগ', 'ডিবাগিং', 'ডেবিড', 'দিব্বোক', 'দিব্বোকের', 'ডেবোরাহ', 'ডেবিউ', 'ডেবিয়ান', 'ডিবির', 'ডিবিতে']
['', '', '', '', '', '', '', '', '', '']
['কোডিং', 'কোডেড', 'কোড', 'কোডে', 'কোডেক', 'কোডন', 'কোডের', 'কোডেক্স', 'কোডও', 'কোডাক']
['ডিবাগিং', 'ডিবাগ', 'দিব্বোক', 'ডেবিড', 'ডেবিয়ান', 'ডেবোরাহ', 'ডেবিউ', 'ডিবির', 'ডিব্রু', 'ডিব্ৰুগড়']
['গান', 'গানই', 'গানি', 'গানা', 'গানাম', 'ধান', 'গাণি', 'গুনা', 'গুনাহ', 'গানদুটি']
['', '', '', '', '', '', '', '', '', '']
['লেখা', 'লেখি', 'লেখাই', 'লেখায়', 'লেখানো', 'লেখন', 'লেখে', 'লেখো', 'লিখা', 'লেখাকে']
['ডিবাগ', 'ডিগবাজি', 'ডয়েচে', 'ডেবিউ', 'ডেবিড', 'ডিবাগিং', 'ডেবি', 'দিগ্বিজয়ী', 'দিব্বোক', 'ডিবা']
['কমে', 'কমতি', 'কমছেই', 'কমবে', 'কমতে', 'কমেই', 'খননে', 'কমায়', 'কমদামে', 'কমি']
['জেনারেট', 'জেনারেশন', 'জেনারাল', 'জেনারেটিং', 'জেনারেশনের', 'জেনারেটেড', 'জেনারেলে', 'জেনারেলের', 'জেনেরাল', 'জেনারেলগণ']
['চলে', 'চলব', 'চলেছ', 'যাইত', 'চলো', 'চলবে', 'চলেও', 'যাওয়ায়', 'চলবেন', 'যাওয়াতে']
['ভবিষ্যদ্বাণী', 'ভবিষ্যদ্বাণীগুলি', 'ভবিষ্যদ্বাণীগুলির', 'ভবিষ্যদ্বাণীতে', 'ভবিষ্যদ্বাণীর', 'ভবিষ্যদ্বাণীও', 'ভবিষ্যদ্বাণীগুলো', 'ভবিষ্যদ্বাণীকে', 'ভবিষ্যদ্বাণীপূর্ণ', 'ভবিষ্যদ্বানী']
['দেখা', 'দেখার', 'দেখবার', 'দেখাবার', 'দেখিতে', 'দেখুক', 'দেখাটা', 'দেখাক', 'দেখেতে', 'দেখাযায়']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['দাড়াঁয়', 'নাড়ায়', 'নাড়া', 'নাড়াচাড়া', 'খাটায়', 'তাড়ন', 'করিয়ে', 'তাড়ানো', 'চড়ার', 'চড়ে']
['নাড়াচাড়া', 'নাড়াচাড়ার', 'থাপ্পড়', 'নাড়ান', 'নড়াচড়া', 'ছাপায়', 'টানাপোড়েন', 'কামড়ের', 'নাড়ানো', 'ব্যাখার']
['চিন্তা', 'চিন্তন', 'চিন্তাশক্তি', 'চিন্তাভাবনা', 'চিন্তামণি', 'চিন্তাধারা', 'চিন্তাহরণ', 'চিন্তাকে', 'ভাবকী', 'চিন্তাটা']
['কোড', 'কোডে', 'কোডের', 'কোডেড', 'কোডিংয়ের', 'কোডগুলি', 'কোডিং', 'কোডকৃত', 'কোডটির', 'কোড়া']
['ডিবাগ', 'দেবপ্রয়াগ', 'ডেবিউ', 'দিগ্বিজয়ে', 'দিগ্বিজয়', 'ডিকাব', 'ডিবাগিং', 'ডায়াপসিড', 'ডয়েচে', 'ডাব্বু']
['কোড', 'কোডের', 'কোডটির', 'কোডগুলি', 'কোডে', 'কোডেড', 'কোডগুলোর', 'কোডার', 'কোডকে', 'কোডির']
['ভবিষ্যদ্বাণী', 'ভবিষ্যদ্বাণীগুলির', 'ভবিষ্যদ্বাণীগুলি', 'ভবিষ্যদ্বাণীর', 'ভবিষ্যদ্বাণীতে', 'ভবিষ্যদ্বাণীগুলো', 'ভবিষ্যদ্বাণীকে', 'ভবিষ্যদ্বাণীও', 'ভবিষ্যদ্বানী', 'ভবিষ্যতবাণী']
['গান', 'গানা', 'গানের', 'গ্তান', 'গাউন', 'গিউন', 'গানার', 'গুনকে', 'গুনের', 'গাইন্দ্যা']
['সাঁতারের', 'সাঁতার', 'সাঁতগাও', 'সাঁতরাগাছিতে', 'সাঁতারে', 'সাঁতরাতে', 'সাঁতরাগাছি', 'সাঁতারুই', 'সাঁতারুর', 'সাঁতরা']
