['হইয়াছি', 'হইয়াও', 'হইয়াছিল', 'লইলাম', 'হইয়াছে', 'অতছ', 'আসিয়াছিল', 'আছিলাম', 'খসিয়া', 'হইয়া']
['গিয়াছিল', 'গিয়াছি', 'গিয়াছিলাম', 'দিয়াছিলেন', 'গিয়াছিলুম', 'গিয়াছেন', 'আসিয়াছিলেন', 'রাখিয়াছিলেন', 'গিয়াছিলো', 'পড়িয়াছিলেন']
['গিয়াছিলেন', 'পাইয়াছিলেন', 'লইয়াছিলেন', 'পাঠাইয়াছিলেন', 'দিয়াছিলেন', 'রাখিয়াছিলেন', 'পড়িয়াছিলেন', 'করাইয়াছিলেন', 'আসিয়াছিলেন', 'নিয়াছিলেন']
['দিয়াছে', 'রাখিয়াছে', 'রহিয়াছি', 'লইয়াছে', 'রহিয়াছেন', 'আনিয়াছে', 'বসিয়াছে', 'গিয়াছে', 'পড়িয়াছে', 'আসিয়াছে']
['হইলো', 'কইলেন', 'লইলেন', 'হইলে', 'হইছেন', 'আসিলাম', 'হইলেই', 'আসিলেন', 'হইয়াও', 'লইতে']
['হইলো', 'হইলেই', 'হইলে', 'হইতেসে', 'হইলো', 'চাইয়া', 'হইব', 'যাইব', 'যাইত', 'করাইতে']
['যাইয়া', 'চাইয়া', 'উঠাইয়া', 'হইয়াও', 'পাইয়া', 'আগাইয়া', 'এড়াইয়া', 'উড়াইয়া', 'ছড়াইয়া', 'পলাইয়া']
['দেখিয়াই', 'লইতে', 'দেখিল', 'লইয়াই', 'দেখিবার', 'দেখিলে', 'বুঝিয়া', 'বুঝিল', 'যাইয়া', 'দেখিয়াছ']
['করিলো', 'করিলেক', 'করিলম', 'করিলে', 'আসিলেন', 'ধরিলেন', 'করিলাম', 'করিলেও', 'বসিলেন', 'রহিলেন']
['লইল', 'লইত', 'পড়িব', 'উঠিবে', 'পড়িত', 'কেহবা', 'ধরিল', 'গনোরী', 'বসিয়া', 'উইড়া']
['লইল', 'লইত', 'পড়িব', 'উঠিবে', 'পড়িত', 'কেহবা', 'ধরিল', 'গনোরী', 'বসিয়া', 'উইড়া']
['লাগিলো', 'দেখিল', 'লইল', 'লাগিত', 'লাগিবে', 'লাগিলাম', 'লাগিছে', 'লাগিলেন', 'লইতেছে', 'কেহবা']
['তুলিয়া', 'উঠাইয়া', 'ভাংগিয়া', 'আনিয়া', 'লইল', 'যাইয়া', 'টানিয়া', 'আগাইয়া', 'চাইয়া', 'খুলিল']
['বলিয়অ', 'বলিয়াই', 'যাইয়া', 'উঠাইয়া', 'উড়াইয়া', 'বলিবে', 'পাইয়া', 'লইতে', 'করিয়া', 'আগাইয়া']
['ভাঙিল', 'ভাঙিলে', 'লইল', 'ধরিছে', 'সুযুগও', 'ভাংগিয়া', 'ভাঙিবে', 'মরিছে', 'ভাঙিয়া', 'আইছ']
['ফুটিবে', 'জাগিয়া', 'ফুটিয়াছে', 'আনিয়া', 'ফুটিছে', 'টানিয়া', 'কাটিয়া', 'ছড়াইয়া', 'ফুটিল', 'ছাইয়া']
['ছুটিতেও', 'ছুটি', 'ছুটিছে', 'ছুটিছাটায়', 'ছুটিটাও', 'ছুটিতেছে', 'পরাইতে', 'ছুটিকে', 'উঠাইতে', 'ছুটিতেই']
['খসিয়া', 'বসিয়া', 'আসিয়াই', 'আনিয়া', 'ঘসিয়া', 'আসিয়াছিল', 'ধরিয়া', 'পড়িয়া', 'ডাকিয়া', 'আসিয়াছি']
['লইলাম', 'হইয়াছি', 'হইয়াও', 'আছিলাম', 'বসিলাম', 'হইয়াছিল', 'আনিয়া', 'গিয়াছিলাম', 'হইয়াছিলাম', 'কহিয়া']
['করিয়া', 'করিবো', 'করিয়াছে', 'করিয়াছি', 'করিবারে', 'করিয়াছিল', 'লইয়াছে', 'করিয়াছিলেন', 'করিয়াছেন', 'দেখিবার']
['করিয়া', 'করিবো', 'করিয়াছে', 'করিয়াছি', 'করিবারে', 'করিয়াছিল', 'লইয়াছে', 'করিয়াছিলেন', 'করিয়াছেন', 'দেখিবার']
['লইয়াছিলেন', 'লইয়াছিল', 'দিয়াছিলেন', 'রাখিয়াছিলেন', 'পড়িয়াছিলেন', 'চাহিয়াছিলেন', 'পাইয়াছিল', 'পাইয়াছিলাম', 'করিয়াছিলেন', 'নিয়াছিলেন']
['গিয়াছিল', 'রাখিয়াছিলেন', 'গিয়াছিলাম', 'পড়িয়াছিলেন', 'চাহিয়াছিলেন', 'গিয়াছিলো', 'বলিয়াছিলেন', 'গিয়াছিলুম', 'লইয়াছিলেন', 'গিয়াছেন']
['লইয়াছিলেন', 'রাখিয়াছিলেন', 'পড়িয়াছিলেন', 'গিয়াছিলেন', 'চাহিয়াছিলেন', 'নিয়াছিলেন', 'করাইয়াছিলেন', 'হইয়াছিলেন', 'ভাবিয়াছিলেন', 'পাইয়াছিলেন']
['আনিয়াছে', 'রাখিয়াছে', 'লইয়াছে', 'গিয়াছে', 'পড়িয়াছে', 'ফুটিয়াছে', 'ঘটিয়াছে', 'ধরিয়াছে', 'বসিয়াছে', 'করিয়াছে']
['হইয়াও', 'হইয়াছি', 'লইলেন', 'হইয়াছিলেন', 'হইয়াছিল', 'উঠিলেন', 'দেখিলেন', 'গিয়াছেন', 'হইয়াছেন', 'গিয়াছিল']
['হইয়াও', 'হইয়াছিল', 'হইলেই', 'ফুটিয়াছিল', 'করিয়া', 'আনিয়াছি', 'হইলেও', 'আনিয়া', 'আনিয়াছিল', 'পড়িয়াছিল']
['হইয়াও', 'করিয়া', 'হইয়াছি', 'হইয়াছিল', 'পড়িয়া', 'আনিয়া', 'হইয়াছে', 'উঠাইয়া', 'ছাইয়া', 'ছড়াইয়া']
['দেখিয়াই', 'করিয়া', 'রাখিয়া', 'দেখিয়াছি', 'চাখিয়া', 'দেখিয়াছ', 'দেখিয়াছে', 'দেখিল', 'আনিয়া', 'তুলিয়া']
['করিলম', 'ধরিলেন', 'করিলো', 'করিয়াছিলেন', 'উঠিলেন', 'করিয়াছিলাম', 'করিয়াছিল', 'করিল', 'করিলেক', 'করিয়াছেন']
['উঠিলে', 'উঠিল', 'বসিল', 'নাঢ়া', 'পড়িয়া', 'পড়িয়াছে', 'লইল', 'বহিয়া', 'কহিয়া', 'খসিয়া']
['উঠিলে', 'উঠিল', 'বসিল', 'নাঢ়া', 'পড়িয়া', 'পড়িয়াছে', 'লইল', 'বহিয়া', 'কহিয়া', 'খসিয়া']
['লাগিলো', 'লাগিলেন', 'লাগিত', 'উঠিলে', 'উঠিল', 'দেখিল', 'লাগিলাম', 'উঠিলেন', 'লাগিলা', 'লাগিছে']
['তুলিয়া', 'আনিয়া', 'খুলিল', 'অাঁটিয়া', 'পরিয়া', 'লবটুলিয়া', 'খুলিয়াছে', 'টানিয়া', 'ধরিয়া', 'চটিয়া']
['বলিয়াই', 'করিয়া', 'বলিয়াছিল', 'বলিয়অ', 'বলিয়াছি', 'আনিয়া', 'বলিয়াÂ', 'রাখিয়া', 'তুলিয়া', 'আনাইয়া']
['ভাঙিল', 'ভাঙিলে', 'অাঁটিয়া', 'উঠিলে', 'চলিল', 'ভাঙিবে', 'আনিয়া', 'পড়িয়া', 'টুটিয়া', 'নাঢ়া']
['পাডাইতে', 'বসাইতে', 'চরাইতে', 'শুকাইতে', 'ধরাইতে', 'ফুটাইতে', 'জাইতে', 'ভিজাইতে', 'ছুটাইতে', 'গড়াইতে']
['ছুটিয়া', 'ছুটিতেছে', 'ছুটিতেও', 'ছুটিতেই', 'ছুটিপুর', 'অাঁটিয়া', 'বেকুটিয়া', 'ছুটিছে', 'ছুটিল', 'ছুটিসহ']
['আসিয়াই', 'আসিয়াছো', 'আসিয়াছ', 'আসিয়ার', 'আসিয়াছি', 'আসিয়াছিল', 'আসিয়াছিলাম', 'আসিয়াছিলেন', 'চলিয়া', 'আসিয়াছে']
['আইলাম', 'আছিলাম', 'লইলাম', 'বইলাম', 'হইয়াছিলাম', 'হইয়াছি', 'অইলাম', 'ছুটিতেছে', 'আসিয়াছিলাম', 'ছুইলাম']
['করিবারে', 'করিবারও', 'হইবার', 'লিখিবার', 'করিবেন', 'ছুটিকালীন', 'করিবর', 'করিবা', 'করিয়াছিলেন', 'ছুটিতেছে']
['করিবারে', 'করিবারও', 'হইবার', 'লিখিবার', 'করিবেন', 'ছুটিকালীন', 'করিবর', 'করিবা', 'করিয়াছিলেন', 'ছুটিতেছে']
['লইয়াছিলেন', 'পড়িয়াছিলেন', 'আসিয়াছিলেন', 'জানাইয়াছিলেন', 'পাইয়াছিলাম', 'লিখিয়াছিলেন', 'নিয়াছিলেন', 'দেখিয়াছিলেন', 'রাখিয়াছিলেন', 'গিয়াছিলেন']
['আসিয়াছিলেন', 'পড়িয়াছিলেন', 'গিয়াছিলো', 'গিয়াছিলাম', 'রাখিয়াছিলেন', 'লিখিয়াছিলেন', 'লইয়াছিলেন', 'নিয়াছিলেন', 'দেখিয়াছিলেন', 'গিয়াছিলুম']
['লইয়াছিলেন', 'আসিয়াছিলেন', 'পড়িয়াছিলেন', 'গিয়াছিলেন', 'পারিয়াছিলেন', 'জানাইয়াছিলেন', 'পাইয়াছিলেন', 'রাখিয়াছিলেন', 'লিখিয়াছিলেন', 'নিয়াছিলেন']
['রহিয়াছেন', 'রহিয়াছি', 'গিয়াছে', 'রাখিয়াছে', 'হইয়াছিল', 'আসিয়াছে', 'ধরিয়াছে', 'বলিয়াছে', 'কমিয়াছে', 'দেখিয়াছে']
['হইয়াছিলেন', 'হইয়াছিলাম', 'হইয়াছি', 'হইয়াছিল', 'পাইলেন', 'হইয়াছেন', 'হইলো', 'জিগাইলেন', 'আছিলেন', 'হইয়াছিলো']
['হইলো', 'হইয়াছিল', 'ছুটিতেছে', 'হইয়াও', 'হইলো', 'হইব', 'হইলেই', 'হইলে', 'Bleibtrey', 'যাইত']
['হইয়াছ', 'হইয়াছি', 'হইয়াও', 'হইয়াছিল', 'হইয়াছে', 'ছুটিতেছে', 'ভহইয়া', 'হইয়াই', 'হইয়াছেন', 'ধুবলিয়া']
['দেখিয়াই', 'দেখিয়াছি', 'দেখিয়াছ', 'দেখিয়াও', 'দেখিয়াছে', 'দেখিয়ার', 'দেখিয়াছিলাম', 'ছুটিতেছে', 'আসিয়াছিল', 'লাখিয়া']
['করিলেক', 'করিলেনঃ', 'করিলম', 'করিলেও', 'পরিলেন', 'ছুটিতেছে', 'করিলি', 'করিয়াছিলেন', 'রহিলেন', 'ধরিলেন']
['ছুটিতেছে', 'আসিয়াছি', 'লবটুলিয়া', 'পড়িয়াছে', 'আসিয়াছে', 'পড়িয়াছি', 'নাঢ়া', 'আসিয়াই', 'পড়িয়াছিল', 'আসিয়াছিল']
['ছুটিতেছে', 'আসিয়াছি', 'লবটুলিয়া', 'পড়িয়াছে', 'আসিয়াছে', 'পড়িয়াছি', 'নাঢ়া', 'আসিয়াই', 'পড়িয়াছিল', 'আসিয়াছিল']
['ছুটিতেছে', 'লাগিলো', 'লাগিলেন', 'লাগিলা', 'লাগিত', 'রহিলেন', 'লাগিবে', 'লাগিলাম', 'লাগিলোরে', 'লাগিয়াছিল']
['ঢুলিয়া', 'নুলিয়া', 'লবটুলিয়া', 'হুলহুলিয়া', 'দলিয়া', 'চকদুবুলিয়া', 'রুলিয়া', 'মুলিয়া', 'গলিয়া', 'সুলিয়া']
['বলিয়াÂ', 'বলিয়াছি', 'বলিয়াই', 'ধুবলিয়া', 'চকদুবলিয়া', 'বলিয়অ', 'বলিয়াছিল', 'বলিয়াও', 'দলিয়া', 'দুবলিয়া']
['ভাঙিবে', 'ছুটিতেছে', 'ভাঙিল', 'ভাঙিলে', 'ছুটিবে', 'লবটুলিয়া', 'ছুটিয়া', 'ছুটিল', 'ভাঙিব', 'ভাঙি']
['মারাইতে', 'লিখাইতে', 'সাজাইতে', 'পাডাইতে', 'ছুটিতেও', 'হারাইতে', '621.2', 'ছুটিতেই', 'খাওয়াইলে', 'আইগাইতে']
['ফুটিয়াছিল', 'ফুটিয়াছে', 'ছুটিয়া', 'ফুটিতে', 'ফুটিলে', 'ফুটিল', 'ফুটিবে', 'ছুটিতেছে', 'সাতুটিয়া', 'কুটিয়া']
